angular_degree	radial_order	mode_frequency_microhz	surface_velocity_cm_s	coupling_coefficient
2	0	117.62	0.07	2.055749e-09
3	0	163.24	0.11	1.115455e-09
4	0	196.43	0.17	7.311542e-10
5	0	223.29	0.22	5.292634e-10
6	0	246.37	0.29	4.081751e-10
7	0	266.88	0.36	3.290119e-10
8	0	285.53	0.43	2.739711e-10
2	1	385.71	1.15	5.588154e-09
3	1	445.75	1.95	3.725933e-09
4	1	485.91	2.72	2.627833e-09
5	1	524.60	3.68	2.046458e-09
6	1	559.28	4.76	1.669001e-09
7	1	590.81	5.94	1.403498e-09
8	1	620.04	7.23	1.207464e-09
2	2	572.74	5.24	6.072983e-09
3	2	633.71	7.90	4.116627e-09
4	2	689.27	11.09	3.116529e-09
5	2	739.75	14.64	2.490189e-09
6	2	784.68	18.30	2.041594e-09
7	2	825.08	21.95	1.701491e-09
8	2	862.22	25.54	1.436285e-09
2	3	765.23	16.66	8.234286e-09
3	3	825.49	21.99	5.205762e-09
4	3	879.97	27.30	3.647228e-09
5	3	929.54	32.30	2.699277e-09
6	3	975.23	36.81	2.065687e-09
7	3	1017.50	40.70	1.615402e-09
8	3	1057.53	43.94	1.283155e-09
2	4	940.03	33.35	8.612073e-09
3	4	996.81	38.84	5.005364e-09
4	4	1052.19	43.54	3.255070e-09
5	4	1107.42	47.16	2.244295e-09
6	4	1159.02	49.28	1.596029e-09
7	4	1205.98	50.00	1.158762e-09
8	4	1248.44	49.59	8.553727e-10
2	5	1114.83	47.55	7.265716e-09
3	5	1174.54	49.65	3.876232e-09
4	5	1223.69	49.95	2.321571e-09
5	5	1273.24	48.90	1.478258e-09
6	5	1324.85	46.47	9.693186e-10
7	5	1379.69	42.61	6.398981e-10
8	5	1431.84	38.04	4.265156e-10
2	6	1268.39	49.06	4.894164e-09
3	6	1341.92	45.39	2.332969e-09
4	6	1404.10	40.56	1.248086e-09
5	6	1455.60	35.76	7.241819e-10
6	6	1501.50	31.19	4.425160e-10
7	6	1547.51	26.55	2.756336e-10
8	6	1594.90	21.95	1.721580e-10
2	7	1436.78	37.57	2.559705e-09
3	7	1505.57	30.77	1.101663e-09
4	7	1564.95	24.83	5.401229e-10
