candidate_rank	max_velocity_cm_s	min_velocity_cm_s	peak_frequency_microhz	frequency_width_microhz	delta_information_criterion
1	30	0.050000000000000003	1010	275	0
2	20	0.050000000000000003	1060	300	2
3	20	0.029999999999999999	1060	300	5.7000000000000002
4	30	0.029999999999999999	1060	275	9.4000000000000004
5	30	0.029999999999999999	1010	275	11.9
6	20	0.050000000000000003	1110	300	16.399999999999999
7	30	0.029999999999999999	1010	250	17.100000000000001
8	30	0.050000000000000003	1160	300	18.5
9	20	0	1060	325	19.300000000000001
10	30	0.029999999999999999	1160	300	21
11	30	0.050000000000000003	1110	300	22.100000000000001
12	20	0.029999999999999999	1110	300	22.300000000000001
13	30	0.029999999999999999	1110	275	24.800000000000001
14	30	0.02	1010	275	25.600000000000001
15	20	0.029999999999999999	1010	300	25.699999999999999
16	30	0.029999999999999999	1060	300	27
17	20	0.02	1010	300	27.300000000000001
18	30	0.029999999999999999	1110	300	27.699999999999999
19	30	0.050000000000000003	1060	300	28.100000000000001
20	30	0.050000000000000003	1110	275	29.800000000000001
21	20	0.01	1060	300	32.100000000000001
22	30	0.02	1060	300	32.799999999999997
23	20	0.01	1010	300	32.899999999999999
24	20	0.050000000000000003	1010	275	33.399999999999999
25	30	0.02	1110	275	35.700000000000003
26	20	0.02	1110	300	36.399999999999999
27	50	0.050000000000000003	1110	275	36.600000000000001
28	20	0.050000000000000003	1010	300	36.700000000000003
29	20	0	1110	325	37
30	30	0.02	1110	300	38.399999999999999
31	20	0.029999999999999999	960	275	39.899999999999999
32	50	0.029999999999999999	1110	275	41.299999999999997
33	3	0.02	1010	275	42.600000000000001
34	20	0.029999999999999999	1060	275	42.600000000000001
35	30	0.01	1060	300	42.600000000000001
36	30	0.02	1010	300	42.899999999999999
37	30	0.01	1010	275	43.100000000000001
38	30	0.01	1010	300	43.5
39	30	0.10000000000000001	1010	275	43.600000000000001
40	20	0	1010	300	43.899999999999999
41	30	0.01	1060	275	43.899999999999999
42	20	0.029999999999999999	1010	275	44.100000000000001
43	30	0.029999999999999999	1010	300	45.100000000000001
44	30	0.0030000000000000001	1010	300	46
45	30	0.001	1010	300	46.700000000000003
46	30	0	1010	300	47.200000000000003
47	30	0.01	1160	300	50.299999999999997
48	30	0.029999999999999999	1210	300	50.700000000000003
49	20	0.029999999999999999	910	275	51.100000000000001
50	30	0.01	1110	325	51.799999999999997
51	30	0.01	1010	250	52
52	50	0.02	1110	275	52
53	50	0.029999999999999999	1160	275	52.299999999999997
54	30	0.01	1110	300	54.600000000000001
55	30	0.0030000000000000001	1110	325	54.700000000000003
56	30	0.001	1110	325	55.100000000000001
57	30	0	1160	325	55.200000000000003
58	30	0	1110	325	55.600000000000001
59	20	0	1010	325	56.600000000000001
60	20	0	1060	300	56.700000000000003
61	20	0.01	910	275	56.799999999999997
62	30	0.01	1110	275	56.899999999999999
63	30	0	1060	300	57.299999999999997
64	30	0.01	1210	325	57.600000000000001
65	20	0	960	300	58
66	30	0.050000000000000003	1010	300	58.100000000000001
67	30	0.050000000000000003	1210	300	58.100000000000001
68	30	0.0030000000000000001	1010	275	58.100000000000001
69	20	0.029999999999999999	1160	300	58.5
70	20	0.02	1010	275	59.600000000000001
71	20	0.01	960	300	60.100000000000001
72	20	0.01	1110	300	60.100000000000001
73	50	0.050000000000000003	1160	300	61.600000000000001
74	30	0.02	1210	300	61.600000000000001
75	30	0.10000000000000001	1060	275	62.100000000000001
76	30	0.001	1010	275	62.799999999999997
77	30	0.029999999999999999	960	275	64.799999999999997
78	20	0	910	275	64.900000000000006
79	20	0.01	960	275	65
80	50	0.029999999999999999	1210	300	65.099999999999994
81	20	0.029999999999999999	1110	275	65.299999999999997
82	30	0	1010	275	65.700000000000003
83	50	0.029999999999999999	1160	300	67.599999999999994
84	50	0.050000000000000003	1210	300	68.299999999999997
85	50	0.01	1110	275	68.400000000000006
86	30	0	1060	325	68.799999999999997
87	30	0.0030000000000000001	1110	300	68.900000000000006
88	30	0.029999999999999999	910	250	70
