orientation_series_id	relative_coordinate	event_count
orientation_series_1	-33.0	0.0
orientation_series_1	-32.0	0.0
orientation_series_1	-31.0	0.0
orientation_series_1	-30.0	14.0
orientation_series_1	-29.0	21.0
orientation_series_1	-28.0	0.0
orientation_series_1	-27.0	20.0
orientation_series_1	-26.0	14.0
orientation_series_1	-25.0	13.0
orientation_series_1	-24.0	62.0
orientation_series_1	-23.0	66.0
orientation_series_1	-22.0	155.0
orientation_series_1	-21.0	552.0
orientation_series_1	-20.0	369.0
orientation_series_1	-19.0	1104.0
orientation_series_1	-18.0	551.0
orientation_series_1	-17.0	1070.0
orientation_series_1	-16.0	882.0
orientation_series_1	-15.0	1002.0
orientation_series_1	-14.0	743.0
orientation_series_1	-13.0	1300.0
orientation_series_1	-12.0	1439.0
orientation_series_1	-11.0	789.0
orientation_series_1	-10.0	394.0
orientation_series_1	-8.0	115.0
orientation_series_1	-7.0	92.0
orientation_series_1	-6.0	53.0
orientation_series_1	-5.0	74.0
orientation_series_1	-4.0	86.0
orientation_series_1	-3.0	108.0
orientation_series_1	-2.0	50.0
orientation_series_1	-1.0	0.0
orientation_series_1	0.0	0.0
orientation_series_1	2.0	0.0
orientation_series_1	3.0	24.0
orientation_series_1	4.0	32.0
orientation_series_1	5.0	6.0
orientation_series_1	6.0	1.0
orientation_series_1	7.0	14.0
orientation_series_1	8.0	6.0
orientation_series_1	9.0	0.0
orientation_series_1	10.0	3.0
orientation_series_1	11.0	0.0
orientation_series_1	12.0	3.0
orientation_series_1	13.0	1.0
orientation_series_1	14.0	2.0
orientation_series_1	15.0	0.0
orientation_series_1	16.0	0.0
orientation_series_1	17.0	6.0
orientation_series_1	18.0	0.0
orientation_series_1	19.0	0.0
orientation_series_1	20.0	4.0
orientation_series_2	-33.0	0.0
orientation_series_2	-32.0	0.0
orientation_series_2	-31.0	0.0
orientation_series_2	-30.0	17.0
orientation_series_2	-29.0	14.0
orientation_series_2	-28.0	0.0
orientation_series_2	-27.0	10.0
orientation_series_2	-26.0	27.0
orientation_series_2	-25.0	51.0
orientation_series_2	-24.0	44.0
orientation_series_2	-23.0	47.0
orientation_series_2	-22.0	66.0
orientation_series_2	-21.0	488.0
orientation_series_2	-20.0	447.0
orientation_series_2	-19.0	1452.0
orientation_series_2	-18.0	1037.0
orientation_series_2	-17.0	1986.0
orientation_series_2	-16.0	1897.0
orientation_series_2	-15.0	2458.0
orientation_series_2	-14.0	1295.0
orientation_series_2	-13.0	1477.0
orientation_series_2	-12.0	936.0
orientation_series_2	-11.0	471.0
orientation_series_2	-10.0	272.0
orientation_series_2	-8.0	163.0
orientation_series_2	-7.0	111.0
orientation_series_2	-6.0	123.0
orientation_series_2	-5.0	106.0
orientation_series_2	-4.0	139.0
orientation_series_2	-3.0	176.0
orientation_series_2	-2.0	64.0
orientation_series_2	-1.0	0.0
orientation_series_2	0.0	0.0
orientation_series_2	2.0	0.0
orientation_series_2	3.0	42.0
orientation_series_2	4.0	32.0
orientation_series_2	5.0	19.0
orientation_series_2	6.0	18.0
orientation_series_2	7.0	27.0
orientation_series_2	8.0	11.0
orientation_series_2	9.0	1.0
orientation_series_2	10.0	3.0
orientation_series_2	11.0	0.0
