effective_temperature_K	wavelength_nm	metallicity_index	photon_flux_cm2
5300	179.40000000000001	-1.0	153000000000.0
5300	179.40000000000001	-0.95	133000000000.0
5300	179.40000000000001	-0.9	116000000000.0
5300	179.40000000000001	-0.85	102000000000.0
5300	179.40000000000001	-0.8	90200000000.0
5300	179.40000000000001	-0.75	79900000000.0
5300	179.40000000000001	-0.7	71200000000.0
5300	179.40000000000001	-0.65	64100000000.0
5300	179.40000000000001	-0.6	57900000000.0
5300	179.40000000000001	-0.55	52700000000.0
5300	179.40000000000001	-0.5	48100000000.0
5300	179.40000000000001	-0.45	44300000000.0
5300	179.40000000000001	-0.4	40700000000.0
5300	179.40000000000001	-0.35	37300000000.0
5300	179.40000000000001	-0.3	34300000000.0
5300	179.40000000000001	-0.25	31500000000.0
5300	179.40000000000001	-0.2	28900000000.0
5300	179.40000000000001	-0.15	26400000000.0
5300	179.40000000000001	-0.1	24100000000.0
5300	179.40000000000001	-0.05	21900000000.0
5300	179.40000000000001	0.0	19900000000.0
5300	179.40000000000001	0.05	18000000000.0
5300	179.40000000000001	0.1	16200000000.0
5300	179.40000000000001	0.15	14600000000.0
5300	179.40000000000001	0.2	13100000000.0
5300	179.40000000000001	0.25	11700000000.0
5300	179.40000000000001	0.3	10400000000.0
5300	179.40000000000001	0.35	9220000000.0
5300	179.40000000000001	0.4	8140000000.0
5300	179.40000000000001	0.45	7130000000.0
5300	179.40000000000001	0.5	6240000000.0
5300	179.40000000000001	0.6	4700000000.0
5300	179.40000000000001	0.7	3460000000.0
5300	179.40000000000001	0.8	2520000000.0
5300	179.40000000000001	0.9	1790000000.0
5300	181	-1.0	139000000000.0
5300	181	-0.95	123000000000.0
5300	181	-0.9	110000000000.0
5300	181	-0.85	98900000000.0
5300	181	-0.8	89200000000.0
5300	181	-0.75	80900000000.0
5300	181	-0.7	73500000000.0
5300	181	-0.65	67400000000.0
5300	181	-0.6	61900000000.0
5300	181	-0.55	57000000000.0
5300	181	-0.5	52600000000.0
5300	181	-0.45	48800000000.0
5300	181	-0.4	45100000000.0
5300	181	-0.35	41600000000.0
5300	181	-0.3	38400000000.0
5300	181	-0.25	35400000000.0
5300	181	-0.2	32600000000.0
5300	181	-0.15	29900000000.0
5300	181	-0.1	27300000000.0
5300	181	-0.05	24900000000.0
5300	181	0.0	22600000000.0
5300	181	0.05	20500000000.0
5300	181	0.1	18500000000.0
5300	181	0.15	16700000000.0
5300	181	0.2	14900000000.0
5300	181	0.25	13400000000.0
5300	181	0.3	12000000000.0
5300	181	0.35	10600000000.0
5300	181	0.4	9390000000.0
5300	181	0.45	8240000000.0
5300	181	0.5	7230000000.0
5300	181	0.6	5460000000.0
5300	181	0.7	4060000000.0
5300	181	0.8	2960000000.0
5300	181	0.9	2140000000.0
5300	182.59999999999999	-1.0	180000000000.0
5300	182.59999999999999	-0.95	159000000000.0
5300	182.59999999999999	-0.9	142000000000.0
5300	182.59999999999999	-0.85	127000000000.0
5300	182.59999999999999	-0.8	115000000000.0
5300	182.59999999999999	-0.75	104000000000.0
5300	182.59999999999999	-0.7	94300000000.0
5300	182.59999999999999	-0.65	86400000000.0
5300	182.59999999999999	-0.6	79400000000.0
5300	182.59999999999999	-0.55	73200000000.0
5300	182.59999999999999	-0.5	67700000000.0
5300	182.59999999999999	-0.45	62900000000.0
5300	182.59999999999999	-0.4	58300000000.0
5300	182.59999999999999	-0.35	53800000000.0
5300	182.59999999999999	-0.3	49800000000.0
5300	182.59999999999999	-0.25	46000000000.0
5300	182.59999999999999	-0.2	42400000000.0
5300	182.59999999999999	-0.15	39000000000.0
5300	182.59999999999999	-0.1	35700000000.0
5300	182.59999999999999	-0.05	32700000000.0
5300	182.59999999999999	0.0	29700000000.0
5300	182.59999999999999	0.05	27000000000.0
5300	182.59999999999999	0.1	24500000000.0
5300	182.59999999999999	0.15	22100000000.0
5300	182.59999999999999	0.2	19800000000.0
5300	182.59999999999999	0.25	17800000000.0
5300	182.59999999999999	0.3	15900000000.0
5300	182.59999999999999	0.35	14200000000.0
5300	182.59999999999999	0.4	12600000000.0
5300	182.59999999999999	0.45	11000000000.0
5300	182.59999999999999	0.5	9700000000.0
5300	182.59999999999999	0.6	7320000000.0
5300	182.59999999999999	0.7	5460000000.0
5300	182.59999999999999	0.8	4000000000.0
5300	182.59999999999999	0.9	2890000000.0
5300	184.30000000000001	-1.0	137000000000.0
5300	184.30000000000001	-0.95	125000000000.0
5300	184.30000000000001	-0.9	115000000000.0
5300	184.30000000000001	-0.85	105000000000.0
5300	184.30000000000001	-0.8	97400000000.0
5300	184.30000000000001	-0.75	90200000000.0
5300	184.30000000000001	-0.7	83600000000.0
5300	184.30000000000001	-0.65	77800000000.0
5300	184.30000000000001	-0.6	72400000000.0
5300	184.30000000000001	-0.55	67400000000.0
5300	184.30000000000001	-0.5	62800000000.0
5300	184.30000000000001	-0.45	58600000000.0
5300	184.30000000000001	-0.4	54500000000.0
5300	184.30000000000001	-0.35	50500000000.0
5300	184.30000000000001	-0.3	46800000000.0
5300	184.30000000000001	-0.25	43300000000.0
5300	184.30000000000001	-0.2	39800000000.0
5300	184.30000000000001	-0.15	36600000000.0
5300	184.30000000000001	-0.1	33600000000.0
5300	184.30000000000001	-0.05	30700000000.0
5300	184.30000000000001	0.0	28000000000.0
5300	184.30000000000001	0.05	25400000000.0
5300	184.30000000000001	0.1	23100000000.0
5300	184.30000000000001	0.15	20800000000.0
5300	184.30000000000001	0.2	18700000000.0
5300	184.30000000000001	0.25	16800000000.0
5300	184.30000000000001	0.3	15100000000.0
5300	184.30000000000001	0.35	13400000000.0
5300	184.30000000000001	0.4	11900000000.0
5300	184.30000000000001	0.45	10500000000.0
5300	184.30000000000001	0.5	9270000000.0
5300	184.30000000000001	0.6	7020000000.0
5300	184.30000000000001	0.7	5270000000.0
5300	184.30000000000001	0.8	3900000000.0
5300	184.30000000000001	0.9	2850000000.0
5300	186	-1.0	301000000000.0
5300	186	-0.95	262000000000.0
5300	186	-0.9	229000000000.0
5300	186	-0.85	201000000000.0
5300	186	-0.8	178000000000.0
5300	186	-0.75	158000000000.0
5300	186	-0.7	141000000000.0
5300	186	-0.65	127000000000.0
5300	186	-0.6	115000000000.0
5300	186	-0.55	105000000000.0
5300	186	-0.5	96000000000.0
5300	186	-0.45	88500000000.0
5300	186	-0.4	81600000000.0
5300	186	-0.35	75100000000.0
5300	186	-0.3	69300000000.0
5300	186	-0.25	63900000000.0
5300	186	-0.2	58700000000.0
5300	186	-0.15	53900000000.0
5300	186	-0.1	49300000000.0
5300	186	-0.05	45100000000.0
5300	186	0.0	41000000000.0
5300	186	0.05	37100000000.0
5300	186	0.1	33600000000.0
5300	186	0.15	30300000000.0
5300	186	0.2	27200000000.0
5300	186	0.25	24400000000.0
5300	186	0.3	21800000000.0
5300	186	0.35	19400000000.0
5300	186	0.4	17200000000.0
5300	186	0.45	15100000000.0
5300	186	0.5	13200000000.0
5300	186	0.6	10000000000.0
5300	186	0.7	7450000000.0
5300	186	0.8	5450000000.0
5300	186	0.9	3890000000.0
5300	187.80000000000001	-1.0	403000000000.0
5300	187.80000000000001	-0.95	350000000000.0
5300	187.80000000000001	-0.9	304000000000.0
5300	187.80000000000001	-0.85	265000000000.0
5300	187.80000000000001	-0.8	232000000000.0
5300	187.80000000000001	-0.75	205000000000.0
5300	187.80000000000001	-0.7	181000000000.0
5300	187.80000000000001	-0.65	162000000000.0
5300	187.80000000000001	-0.6	145000000000.0
5300	187.80000000000001	-0.55	131000000000.0
5300	187.80000000000001	-0.5	120000000000.0
5300	187.80000000000001	-0.45	110000000000.0
5300	187.80000000000001	-0.4	101000000000.0
5300	187.80000000000001	-0.35	92700000000.0
5300	187.80000000000001	-0.3	85400000000.0
5300	187.80000000000001	-0.25	78700000000.0
5300	187.80000000000001	-0.2	72300000000.0
5300	187.80000000000001	-0.15	66300000000.0
5300	187.80000000000001	-0.1	60700000000.0
5300	187.80000000000001	-0.05	55500000000.0
5300	187.80000000000001	0.0	50500000000.0
5300	187.80000000000001	0.05	45800000000.0
5300	187.80000000000001	0.1	41500000000.0
5300	187.80000000000001	0.15	37500000000.0
5300	187.80000000000001	0.2	33700000000.0
5300	187.80000000000001	0.25	30200000000.0
5300	187.80000000000001	0.3	27100000000.0
5300	187.80000000000001	0.35	24100000000.0
5300	187.80000000000001	0.4	21400000000.0
5300	187.80000000000001	0.45	18800000000.0
5300	187.80000000000001	0.5	16500000000.0
5300	187.80000000000001	0.6	12500000000.0
5300	187.80000000000001	0.7	9360000000.0
5300	187.80000000000001	0.8	6810000000.0
5300	187.80000000000001	0.9	4950000000.0
5300	189.59999999999999	-1.0	526000000000.0
5300	189.59999999999999	-0.95	458000000000.0
5300	189.59999999999999	-0.9	398000000000.0
5300	189.59999999999999	-0.85	347000000000.0
5300	189.59999999999999	-0.8	304000000000.0
5300	189.59999999999999	-0.75	269000000000.0
5300	189.59999999999999	-0.7	238000000000.0
5300	189.59999999999999	-0.65	213000000000.0
5300	189.59999999999999	-0.6	191000000000.0
5300	189.59999999999999	-0.55	173000000000.0
5300	189.59999999999999	-0.5	158000000000.0
5300	189.59999999999999	-0.45	145000000000.0
5300	189.59999999999999	-0.4	134000000000.0
5300	189.59999999999999	-0.35	123000000000.0
5300	189.59999999999999	-0.3	114000000000.0
5300	189.59999999999999	-0.25	105000000000.0
5300	189.59999999999999	-0.2	96300000000.0
5300	189.59999999999999	-0.15	88600000000.0
5300	189.59999999999999	-0.1	81300000000.0
5300	189.59999999999999	-0.05	74400000000.0
5300	189.59999999999999	0.0	67900000000.0
5300	189.59999999999999	0.05	61700000000.0
5300	189.59999999999999	0.1	56000000000.0
5300	189.59999999999999	0.15	50700000000.0
5300	189.59999999999999	0.2	45700000000.0
5300	189.59999999999999	0.25	41000000000.0
5300	189.59999999999999	0.3	36800000000.0
5300	189.59999999999999	0.35	32800000000.0
5300	189.59999999999999	0.4	29200000000.0
5300	189.59999999999999	0.45	25600000000.0
5300	189.59999999999999	0.5	22600000000.0
5300	189.59999999999999	0.6	17200000000.0
5300	189.59999999999999	0.7	12900000000.0
5300	189.59999999999999	0.8	9520000000.0
5300	189.59999999999999	0.9	6950000000.0
5300	191.40000000000001	-1.0	641000000000.0
5300	191.40000000000001	-0.95	553000000000.0
5300	191.40000000000001	-0.9	478000000000.0
5300	191.40000000000001	-0.85	414000000000.0
5300	191.40000000000001	-0.8	360000000000.0
5300	191.40000000000001	-0.75	317000000000.0
5300	191.40000000000001	-0.7	280000000000.0
5300	191.40000000000001	-0.65	249000000000.0
5300	191.40000000000001	-0.6	224000000000.0
5300	191.40000000000001	-0.55	203000000000.0
5300	191.40000000000001	-0.5	185000000000.0
5300	191.40000000000001	-0.45	170000000000.0
5300	191.40000000000001	-0.4	156000000000.0
5300	191.40000000000001	-0.35	143000000000.0
5300	191.40000000000001	-0.3	132000000000.0
5300	191.40000000000001	-0.25	122000000000.0
5300	191.40000000000001	-0.2	112000000000.0
5300	191.40000000000001	-0.15	103000000000.0
5300	191.40000000000001	-0.1	94400000000.0
5300	191.40000000000001	-0.05	86400000000.0
5300	191.40000000000001	0.0	78800000000.0
5300	191.40000000000001	0.05	71600000000.0
5300	191.40000000000001	0.1	65000000000.0
5300	191.40000000000001	0.15	58800000000.0
5300	191.40000000000001	0.2	52900000000.0
5300	191.40000000000001	0.25	47500000000.0
5300	191.40000000000001	0.3	42700000000.0
5300	191.40000000000001	0.35	38100000000.0
5300	191.40000000000001	0.4	33900000000.0
5300	191.40000000000001	0.45	29900000000.0
5300	191.40000000000001	0.5	26400000000.0
5300	191.40000000000001	0.6	20200000000.0
5300	191.40000000000001	0.7	15300000000.0
5300	191.40000000000001	0.8	11300000000.0
5300	191.40000000000001	0.9	8300000000.0
5300	193.19999999999999	-1.0	451000000000.0
5300	193.19999999999999	-0.95	400000000000.0
5300	193.19999999999999	-0.9	356000000000.0
5300	193.19999999999999	-0.85	320000000000.0
5300	193.19999999999999	-0.8	290000000000.0
5300	193.19999999999999	-0.75	262000000000.0
5300	193.19999999999999	-0.7	238000000000.0
5300	193.19999999999999	-0.65	219000000000.0
5300	193.19999999999999	-0.6	201000000000.0
5300	193.19999999999999	-0.55	185000000000.0
5300	193.19999999999999	-0.5	171000000000.0
5300	193.19999999999999	-0.45	159000000000.0
5300	193.19999999999999	-0.4	147000000000.0
