candidate_family	max_velocity_cm_s	min_velocity_cm_s	peak_frequency_microhz	peak_width_microhz	information_criterion
frequency_amplitude_scan	1.0e-01	0.0e+00	1010.0	300.0	5066.3
frequency_amplitude_scan	1.0e-01	0.0e+00	1060.0	300.0	5477.2
frequency_amplitude_scan	1.0e-01	0.0e+00	1110.0	300.0	5743.1
frequency_amplitude_scan	1.0e-01	0.0e+00	1160.0	300.0	5821.4
frequency_amplitude_scan	1.0e-01	0.0e+00	1210.0	300.0	5770.8
frequency_amplitude_scan	1.0e-01	0.0e+00	1260.0	300.0	5699.5
frequency_amplitude_scan	1.0e-01	0.0e+00	1310.0	300.0	5665.9
frequency_amplitude_scan	1.0e-01	0.0e+00	1360.0	300.0	5639.0
frequency_amplitude_scan	1.0e-01	0.0e+00	1410.0	300.0	5629.0
frequency_amplitude_scan	1.0e-01	0.0e+00	1460.0	300.0	5633.6
frequency_amplitude_scan	1.0e-01	0.0e+00	1510.0	300.0	5666.8
frequency_amplitude_scan	1.0e-01	0.0e+00	610.0	300.0	1888.6
frequency_amplitude_scan	1.0e-01	0.0e+00	660.0	300.0	2012.1
frequency_amplitude_scan	1.0e-01	0.0e+00	710.0	300.0	2229.5
frequency_amplitude_scan	1.0e-01	0.0e+00	760.0	300.0	2469.8
frequency_amplitude_scan	1.0e-01	0.0e+00	810.0	300.0	2784.0
frequency_amplitude_scan	1.0e-01	0.0e+00	860.0	300.0	3268.0
frequency_amplitude_scan	1.0e-01	0.0e+00	910.0	300.0	3881.6
frequency_amplitude_scan	1.0e-01	0.0e+00	960.0	300.0	4468.0
frequency_amplitude_scan	2.0e-01	0.0e+00	1010.0	300.0	3949.5
frequency_amplitude_scan	2.0e-01	0.0e+00	1060.0	300.0	4598.8
frequency_amplitude_scan	2.0e-01	0.0e+00	1110.0	300.0	5158.4
frequency_amplitude_scan	2.0e-01	0.0e+00	1160.0	300.0	5605.7
frequency_amplitude_scan	2.0e-01	0.0e+00	1210.0	300.0	5843.8
frequency_amplitude_scan	2.0e-01	0.0e+00	1260.0	300.0	5891.8
frequency_amplitude_scan	2.0e-01	0.0e+00	1310.0	300.0	5830.0
frequency_amplitude_scan	2.0e-01	0.0e+00	1360.0	300.0	5742.7
frequency_amplitude_scan	2.0e-01	0.0e+00	1410.0	300.0	5691.6
frequency_amplitude_scan	2.0e-01	0.0e+00	1460.0	300.0	5650.6
frequency_amplitude_scan	2.0e-01	0.0e+00	1510.0	300.0	5612.3
frequency_amplitude_scan	2.0e-01	0.0e+00	610.0	300.0	1416.9
frequency_amplitude_scan	2.0e-01	0.0e+00	660.0	300.0	1578.2
frequency_amplitude_scan	2.0e-01	0.0e+00	710.0	300.0	1713.0
frequency_amplitude_scan	2.0e-01	0.0e+00	760.0	300.0	1941.2
frequency_amplitude_scan	2.0e-01	0.0e+00	810.0	300.0	2126.5
frequency_amplitude_scan	2.0e-01	0.0e+00	860.0	300.0	2436.5
frequency_amplitude_scan	2.0e-01	0.0e+00	910.0	300.0	2834.9
frequency_amplitude_scan	2.0e-01	0.0e+00	960.0	300.0	3356.9
frequency_amplitude_scan	3.0e-01	0.0e+00	1010.0	300.0	3279.4
frequency_amplitude_scan	3.0e-01	0.0e+00	1060.0	300.0	3912.8
frequency_amplitude_scan	3.0e-01	0.0e+00	1110.0	300.0	4515.3
frequency_amplitude_scan	3.0e-01	0.0e+00	1160.0	300.0	5055.1
frequency_amplitude_scan	3.0e-01	0.0e+00	1210.0	300.0	5512.6
frequency_amplitude_scan	3.0e-01	0.0e+00	1260.0	300.0	5804.4
frequency_amplitude_scan	3.0e-01	0.0e+00	1310.0	300.0	5917.6
frequency_amplitude_scan	3.0e-01	0.0e+00	1360.0	300.0	5866.6
frequency_amplitude_scan	3.0e-01	0.0e+00	1410.0	300.0	5738.9
frequency_amplitude_scan	3.0e-01	0.0e+00	1460.0	300.0	5738.9
frequency_amplitude_scan	3.0e-01	0.0e+00	1510.0	300.0	5681.2
frequency_amplitude_scan	3.0e-01	0.0e+00	610.0	300.0	1165.0
frequency_amplitude_scan	3.0e-01	0.0e+00	660.0	300.0	1331.0
frequency_amplitude_scan	3.0e-01	0.0e+00	710.0	300.0	1490.3
frequency_amplitude_scan	3.0e-01	0.0e+00	760.0	300.0	1678.2
frequency_amplitude_scan	3.0e-01	0.0e+00	810.0	300.0	1891.7
frequency_amplitude_scan	3.0e-01	0.0e+00	860.0	300.0	2095.6
frequency_amplitude_scan	3.0e-01	0.0e+00	910.0	300.0	2397.9
frequency_amplitude_scan	3.0e-01	0.0e+00	960.0	300.0	2761.7
frequency_amplitude_scan	5.0e-01	0.0e+00	1010.0	300.0	2627.2
frequency_amplitude_scan	5.0e-01	0.0e+00	1060.0	300.0	3059.9
frequency_amplitude_scan	5.0e-01	0.0e+00	1110.0	300.0	3621.3
frequency_amplitude_scan	5.0e-01	0.0e+00	1160.0	300.0	4153.5
frequency_amplitude_scan	5.0e-01	0.0e+00	1210.0	300.0	4761.7
frequency_amplitude_scan	5.0e-01	0.0e+00	1260.0	300.0	5298.4
frequency_amplitude_scan	5.0e-01	0.0e+00	1310.0	300.0	5687.0
frequency_amplitude_scan	5.0e-01	0.0e+00	1360.0	300.0	5908.5
frequency_amplitude_scan	5.0e-01	0.0e+00	1410.0	300.0	5908.8
frequency_amplitude_scan	5.0e-01	0.0e+00	1460.0	300.0	5868.4
frequency_amplitude_scan	5.0e-01	0.0e+00	1510.0	300.0	5826.8
frequency_amplitude_scan	5.0e-01	0.0e+00	610.0	300.0	886.9
frequency_amplitude_scan	5.0e-01	0.0e+00	660.0	300.0	994.9
frequency_amplitude_scan	5.0e-01	0.0e+00	710.0	300.0	1154.3
frequency_amplitude_scan	5.0e-01	0.0e+00	760.0	300.0	1321.7
frequency_amplitude_scan	5.0e-01	0.0e+00	810.0	300.0	1523.3
frequency_amplitude_scan	5.0e-01	0.0e+00	860.0	300.0	1734.5
frequency_amplitude_scan	5.0e-01	0.0e+00	910.0	300.0	1982.2
frequency_amplitude_scan	5.0e-01	0.0e+00	960.0	300.0	2269.5
frequency_amplitude_scan	1.0e+00	0.0e+00	1010.0	300.0	1911.2
frequency_amplitude_scan	1.0e+00	0.0e+00	1060.0	300.0	2215.9
frequency_amplitude_scan	1.0e+00	0.0e+00	1110.0	300.0	2563.5
frequency_amplitude_scan	1.0e+00	0.0e+00	1160.0	300.0	2991.3
frequency_amplitude_scan	1.0e+00	0.0e+00	1210.0	300.0	3469.3
frequency_amplitude_scan	1.0e+00	0.0e+00	1260.0	300.0	4005.8
frequency_amplitude_scan	1.0e+00	0.0e+00	1310.0	300.0	4559.2
frequency_amplitude_scan	1.0e+00	0.0e+00	1360.0	300.0	5109.0
frequency_amplitude_scan	1.0e+00	0.0e+00	1410.0	300.0	5541.2
frequency_amplitude_scan	1.0e+00	0.0e+00	1460.0	300.0	5770.9
frequency_amplitude_scan	1.0e+00	0.0e+00	1510.0	300.0	5844.7
frequency_amplitude_scan	1.0e+00	0.0e+00	610.0	300.0	850.0
frequency_amplitude_scan	1.0e+00	0.0e+00	660.0	300.0	734.7
frequency_amplitude_scan	1.0e+00	0.0e+00	710.0	300.0	760.9
frequency_amplitude_scan	1.0e+00	0.0e+00	760.0	300.0	871.8
frequency_amplitude_scan	1.0e+00	0.0e+00	810.0	300.0	1030.6
frequency_amplitude_scan	1.0e+00	0.0e+00	860.0	300.0	1217.8
frequency_amplitude_scan	1.0e+00	0.0e+00	910.0	300.0	1417.0
frequency_amplitude_scan	1.0e+00	0.0e+00	960.0	300.0	1660.3
frequency_amplitude_scan	2.0e+00	0.0e+00	1010.0	300.0	1261.5
frequency_amplitude_scan	2.0e+00	0.0e+00	1060.0	300.0	1519.6
frequency_amplitude_scan	2.0e+00	0.0e+00	1110.0	300.0	1773.5
frequency_amplitude_scan	2.0e+00	0.0e+00	1160.0	300.0	2077.0
frequency_amplitude_scan	2.0e+00	0.0e+00	1210.0	300.0	2385.7
frequency_amplitude_scan	2.0e+00	0.0e+00	1260.0	300.0	2715.7
frequency_amplitude_scan	2.0e+00	0.0e+00	1310.0	300.0	3140.7
frequency_amplitude_scan	2.0e+00	0.0e+00	1360.0	300.0	3642.2
frequency_amplitude_scan	2.0e+00	0.0e+00	1410.0	300.0	4226.2
frequency_amplitude_scan	2.0e+00	0.0e+00	1460.0	300.0	4817.9
frequency_amplitude_scan	2.0e+00	0.0e+00	1510.0	300.0	5274.9
frequency_amplitude_scan	2.0e+00	0.0e+00	610.0	300.0	992.9
frequency_amplitude_scan	2.0e+00	0.0e+00	660.0	300.0	701.9
frequency_amplitude_scan	2.0e+00	0.0e+00	710.0	300.0	589.5
frequency_amplitude_scan	2.0e+00	0.0e+00	760.0	300.0	634.9
frequency_amplitude_scan	2.0e+00	0.0e+00	810.0	300.0	619.6
frequency_amplitude_scan	2.0e+00	0.0e+00	860.0	300.0	739.8
frequency_amplitude_scan	2.0e+00	0.0e+00	910.0	300.0	891.6
frequency_amplitude_scan	2.0e+00	0.0e+00	960.0	300.0	1068.8
frequency_amplitude_scan	3.0e+00	0.0e+00	1010.0	300.0	925.3
frequency_amplitude_scan	3.0e+00	0.0e+00	1060.0	300.0	1130.4
frequency_amplitude_scan	3.0e+00	0.0e+00	1110.0	300.0	1364.4
frequency_amplitude_scan	3.0e+00	0.0e+00	1160.0	300.0	1614.6
frequency_amplitude_scan	3.0e+00	0.0e+00	1210.0	300.0	1871.2
frequency_amplitude_scan	3.0e+00	0.0e+00	1260.0	300.0	2160.6
frequency_amplitude_scan	3.0e+00	0.0e+00	1310.0	300.0	2466.3
frequency_amplitude_scan	3.0e+00	0.0e+00	1360.0	300.0	2847.1
frequency_amplitude_scan	3.0e+00	0.0e+00	1410.0	300.0	3303.2
frequency_amplitude_scan	3.0e+00	0.0e+00	1460.0	300.0	3883.0
frequency_amplitude_scan	3.0e+00	0.0e+00	1510.0	300.0	4548.8
