wavelength_nm	response_level_1	response_level_2	response_level_3	response_level_4	response_level_5
179.31	0.024811	0.0071204	0.0013122	0.00046264	0.00020763
180.94	0.017839	0.005046	0.0012482	0.00048911	0.00022483
182.59	0.020902	0.0061197	0.0015424	0.00062245	0.00029103
184.27	0.013031	0.0040574	0.0013586	0.00056718	0.00026428
185.99	0.031955	0.0097711	0.0020885	0.00080561	0.00037375
187.73	0.038348	0.012239	0.0025296	0.0009596	0.00044894
189.51	0.043943	0.014423	0.0031154	0.0012235	0.00058107
191.33	0.050097	0.015842	0.0033868	0.0013432	0.00063893
193.18	0.028911	0.0089424	0.0028359	0.0011972	0.00055683
195.06	0.063411	0.02066	0.0046672	0.0019173	0.00092326
196.98	0.073993	0.024738	0.005654	0.0023625	0.0011534
198.95	0.057953	0.022084	0.0061432	0.0026501	0.0013006
200.95	0.078065	0.028266	0.0068076	0.0028532	0.0013988
202.99	0.078239	0.028782	0.0070462	0.0029566	0.0014399
205.07	0.11368	0.042444	0.0093758	0.0038841	0.0019127
207.19	0.10764	0.036288	0.0089385	0.0038783	0.0018936
209.36	0.098916	0.056853	0.0201	0.0071972	0.0036465
211.58	0.079541	0.058527	0.029637	0.011139	0.0053969
213.84	0.08081	0.061866	0.03365	0.013333	0.006506
216.15	0.064639	0.051407	0.030554	0.013722	0.0069842
218.52	0.10744	0.082868	0.04424	0.01668	0.0079551
220.93	0.085734	0.066066	0.037246	0.016071	0.008191
223.4	0.13782	0.10827	0.059311	0.022712	0.010915
225.93	0.088892	0.069241	0.041328	0.019556	0.010424
228.51	0.10403	0.081115	0.048197	0.022563	0.01208
231.15	0.086671	0.06974	0.04447	0.022782	0.012505
233.85	0.065381	0.051756	0.035235	0.021107	0.012975
236.62	0.083794	0.063474	0.040396	0.022832	0.013678
239.46	0.1363	0.077624	0.038118	0.020567	0.01288
242.36	0.14568	0.10947	0.063281	0.030872	0.017644
245.33	0.064276	0.057786	0.046721	0.03278	0.02181
248.38	0.068411	0.057074	0.041261	0.025612	0.015784
251.51	0.05957	0.051386	0.039479	0.027251	0.018623
254.71	0.097693	0.079379	0.057591	0.038236	0.025811
258.0	0.20966	0.16726	0.11843	0.076633	0.050349
261.37	0.13825	0.1098	0.082045	0.059791	0.044841
264.83	0.32239	0.28891	0.23523	0.17301	0.12355
268.39	0.31904	0.28351	0.22785	0.16534	0.11719
272.04	0.32165	0.26833	0.19972	0.13647	0.094155
275.79	0.37959	0.29802	0.20896	0.14037	0.10006
279.65	0.083497	0.075477	0.064604	0.053462	0.045027
283.62	0.56736	0.4385	0.29475	0.18591	0.12512
287.7	0.41326	0.36062	0.29061	0.22089	0.16841
291.9	0.69033	0.63821	0.55107	0.44161	0.34573
296.23	0.64349	0.58436	0.49424	0.39302	0.31042
298.92	0.56757	0.52455	0.45615	0.3764	0.30777
299.91	0.56678	0.50669	0.42031	0.32482	0.24594
300.91	0.54758	0.51612	0.46047	0.38479	0.313
301.91	0.59186	0.53422	0.44252	0.33767	0.25657
302.91	0.72745	0.68506	0.61038	0.51365	0.42601
303.91	0.77287	0.71136	0.61031	0.48197	0.36827
304.91	0.84166	0.78481	0.68697	0.56224	0.45127
305.91	0.72551	0.66155	0.56306	0.45135	0.35714
306.91	0.70435	0.65874	0.59465	0.51614	0.44007
307.91	0.76725	0.71834	0.63338	0.52543	0.43122
308.91	0.71066	0.65838	0.59216	0.51706	0.44859
309.91	0.71267	0.63228	0.53535	0.4414	0.36494
310.91	0.72898	0.7087	0.67493	0.62152	0.56216
311.91	0.79299	0.73157	0.6525	0.56196	0.47944
312.91	0.75144	0.70726	0.65124	0.58311	0.51877
313.91	0.78506	0.73311	0.66178	0.58108	0.50952
314.91	0.71746	0.67305	0.62766	0.57945	0.53183
315.91	0.75861	0.67402	0.58814	0.51375	0.45459
316.91	0.79966	0.74338	0.67929	0.61213	0.54968
317.91	0.81982	0.75657	0.68357	0.60732	0.54058
318.91	0.79399	0.73158	0.65602	0.57664	0.50742
319.91	0.87763	0.81568	0.73217	0.63505	0.54698
322.41	0.99696	0.889	0.7536	0.62443	0.52203
324.41	1.0675	0.9702	0.83611	0.68936	0.56664
326.41	1.2695	1.2159	1.1267	1.009	0.89051
329.91	1.238	1.1609	1.042	0.89923	0.77196
334.9	1.1371	1.0466	0.92907	0.79825	0.68359
339.9	1.1786	1.0778	0.94189	0.79966	0.68745
344.9	1.2684	1.177	1.0364	0.87566	0.74288
349.9	1.3273	1.2554	1.1302	0.96818	0.82315
354.9	1.3511	1.2734	1.1239	0.91188	0.72094
359.9	1.2878	1.1891	1.0293	0.84001	0.68332
364.9	1.4892	1.4203	1.3105	1.1688	1.0307
369.89	1.4048	1.3399	1.2335	1.0966	0.96977
374.89	1.3911	1.2937	1.1371	0.94007	0.77074
379.89	1.6077	1.5149	1.3191	1.0469	0.81921
384.89	1.4886	1.3138	1.0126	0.7007	0.50211
389.89	1.547	1.4409	1.2822	1.1108	0.96978
394.89	1.2197	1.0836	0.92811	0.78421	0.67589
399.89	1.8199	1.7843	1.704	1.5774	1.4395
404.89	1.8284	1.7957	1.7125	1.5741	1.4233
409.88	1.8601	1.8606	1.8242	1.7207	1.5788
414.88	1.9079	1.9012	1.8372	1.6669	1.45
419.88	1.8512	1.8383	1.784	1.66	1.514
424.88	1.7575	1.7198	1.673	1.6122	1.5429
429.88	1.5716	1.5074	1.4545	1.408	1.3642
