dataset_path	index_0	index_1	value
CoefLeg_22.5eV	0	0	0
CoefLeg_22.5eV	0	1	1.0000199999999999
CoefLeg_22.5eV	0	2	0.0037790200000000001
CoefLeg_22.5eV	0	3	1.3212699999999999
CoefLeg_22.5eV	0	4	0.019105799999999999
CoefLeg_22.5eV	0	5	0
CoefLeg_22.5eV	0	6	0
CoefLeg_22.5eV	0	7	0
CoefLeg_22.5eV	0	8	0
CoefLeg_22.5eV	0	9	0
CoefLeg_22.5eV	0	10	0
CoefLeg_22.5eV	1	0	1
CoefLeg_22.5eV	1	1	0.16327800000000001
CoefLeg_22.5eV	1	2	0.0065455000000000001
CoefLeg_22.5eV	1	3	0.103644
CoefLeg_22.5eV	1	4	0.033092499999999997
CoefLeg_22.5eV	1	5	-0.0052039599999999997
CoefLeg_22.5eV	1	6	0.0115853
CoefLeg_22.5eV	1	7	0
CoefLeg_22.5eV	1	8	0
CoefLeg_22.5eV	1	9	0.91010800000000003
CoefLeg_22.5eV	1	10	0.0098685500000000002
CoefLeg_22.5eV	2	0	2
CoefLeg_22.5eV	2	1	0.307863
CoefLeg_22.5eV	2	2	0.0084504599999999999
CoefLeg_22.5eV	2	3	0.62966599999999995
CoefLeg_22.5eV	2	4	0.042723499999999998
CoefLeg_22.5eV	2	5	0.111098
CoefLeg_22.5eV	2	6	0.0086350799999999998
CoefLeg_22.5eV	2	7	0.053031500000000002
CoefLeg_22.5eV	2	8	0.0024587400000000001
CoefLeg_22.5eV	2	9	-0.026993199999999998
CoefLeg_22.5eV	2	10	0.0073554700000000002
CoefLeg_22.5eV	3	0	3
CoefLeg_22.5eV	3	1	0.16197500000000001
CoefLeg_22.5eV	3	2	0.0099994100000000002
CoefLeg_22.5eV	3	3	0.032598700000000001
CoefLeg_22.5eV	3	4	0.050554700000000001
CoefLeg_22.5eV	3	5	-0.011730000000000001
CoefLeg_22.5eV	3	6	0.0072243799999999999
CoefLeg_22.5eV	3	7	0.0052707800000000001
CoefLeg_22.5eV	3	8	0.00130105
CoefLeg_22.5eV	3	9	0.12987899999999999
CoefLeg_22.5eV	3	10	0.0061538199999999999
CoefLeg_22.5eV	4	0	4
CoefLeg_22.5eV	4	1	0.54295599999999999
CoefLeg_22.5eV	4	2	0.011339699999999999
CoefLeg_22.5eV	4	3	2.0626899999999999
CoefLeg_22.5eV	4	4	0.057330600000000002
CoefLeg_22.5eV	4	5	0.230099
CoefLeg_22.5eV	4	6	0.0063448599999999999
CoefLeg_22.5eV	4	7	0.017884000000000001
CoefLeg_22.5eV	4	8	0.00085173400000000004
CoefLeg_22.5eV	4	9	0.056339300000000002
CoefLeg_22.5eV	4	10	0.0054046299999999997
CoefLeg_22.5eV	5	0	5
CoefLeg_22.5eV	5	1	0.204378
CoefLeg_22.5eV	5	2	0.0125389
CoefLeg_22.5eV	5	3	0.92405800000000005
CoefLeg_22.5eV	5	4	0.063393500000000005
CoefLeg_22.5eV	5	5	0.082393900000000006
CoefLeg_22.5eV	5	6	0.00572677
CoefLeg_22.5eV	5	7	0.0057795099999999999
CoefLeg_22.5eV	5	8	0.00061644
CoefLeg_22.5eV	5	9	-0.0063980199999999999
CoefLeg_22.5eV	5	10	0.0048781400000000004
CoefLeg_22.5eV	6	0	6
CoefLeg_22.5eV	6	1	0.023976600000000001
CoefLeg_22.5eV	6	2	0.0136349
CoefLeg_22.5eV	6	3	0.319745
CoefLeg_22.5eV	6	4	0.068934999999999996
CoefLeg_22.5eV	6	5	0.017547299999999998
CoefLeg_22.5eV	6	6	0.0052609199999999997
CoefLeg_22.5eV	6	7	0.00037320499999999999
CoefLeg_22.5eV	6	8	0.00047386100000000001
CoefLeg_22.5eV	6	9	0.00184973
CoefLeg_22.5eV	6	10	0.0044813199999999996
CoefLeg_22.5eV	7	0	7
CoefLeg_22.5eV	7	1	0.020136600000000001
CoefLeg_22.5eV	7	2	0.0146517
