dataset_path	index_0	index_1	value
experiment/DME_22.5eV	0	0	0
experiment/DME_22.5eV	0	1	0
experiment/DME_22.5eV	0	2	0.19164
experiment/DME_22.5eV	0	3	0
experiment/DME_22.5eV	0	4	0.0089826000000000003
experiment/DME_22.5eV	0	5	0
experiment/DME_22.5eV	1	0	1
experiment/DME_22.5eV	1	1	0
experiment/DME_22.5eV	1	2	0.11738999999999999
experiment/DME_22.5eV	1	3	0.34472000000000003
experiment/DME_22.5eV	1	4	0.0056537000000000002
experiment/DME_22.5eV	1	5	0.0061802000000000003
experiment/DME_22.5eV	2	0	2
experiment/DME_22.5eV	2	1	0
experiment/DME_22.5eV	2	2	-0.45573999999999998
experiment/DME_22.5eV	2	3	0.17255999999999999
experiment/DME_22.5eV	2	4	0.0061434999999999997
experiment/DME_22.5eV	2	5	0.0072269999999999999
experiment/DME_22.5eV	3	0	3
experiment/DME_22.5eV	3	1	0
experiment/DME_22.5eV	3	2	0.055708000000000001
experiment/DME_22.5eV	3	3	-0.088828000000000004
experiment/DME_22.5eV	3	4	0.0059096000000000001
experiment/DME_22.5eV	3	5	0.010354
experiment/DME_22.5eV	4	0	1
experiment/DME_22.5eV	4	1	1
experiment/DME_22.5eV	4	2	-0.027063
experiment/DME_22.5eV	4	3	-0.091145000000000004
experiment/DME_22.5eV	4	4	0.0023105000000000001
experiment/DME_22.5eV	4	5	0.0042938000000000004
experiment/DME_22.5eV	5	0	2
experiment/DME_22.5eV	5	1	1
experiment/DME_22.5eV	5	2	0.21285999999999999
experiment/DME_22.5eV	5	3	-0.092517000000000002
experiment/DME_22.5eV	5	4	0.0019139999999999999
experiment/DME_22.5eV	5	5	0.0036351999999999999
experiment/DME_22.5eV	6	0	3
experiment/DME_22.5eV	6	1	1
experiment/DME_22.5eV	6	2	-0.049223000000000003
experiment/DME_22.5eV	6	3	0.022168
experiment/DME_22.5eV	6	4	0.0026048
experiment/DME_22.5eV	6	5	0.0047698000000000003
experiment/DME_23.25eV	0	0	0
experiment/DME_23.25eV	0	1	0
