observation_index	numeric_feature_1	numeric_feature_2	numeric_feature_3
0	-60.0	-55.423477	0.0
1	-40.0	-34.483763	
2	-20.0	-19.962238	
3	0.0	-0.3938423	
4	20.0	20.393799	
5	40.0	39.070107	
6	60.0	59.717625	
7	80.0	79.799498	
8	-0.22	0.82	
9	69.75	70.49	
10	-48.45	-52.26	
11	-6.74	-7.31	
12	5.48	2.54	
13	9.58	9.86	
14	13.17	12.45	
15	23.49	23.41	
16	27.99	26.26	
17	31.03	28.23	
18	26.63	27.63	
19	84.86	78.11	
20	83.78	77.29	
21	78.49	74.8	
22	-0.65	2.23	
23	-0.1	5.26	
24	41.21	38.34	
25	0.24	-0.43	
26	0.48	-3.94	
27	-0.06	0.21	
28	77.83	75.91	
29	71.65	74.06	
30	76.83	76.0	
31	-82.55	-77.2	
32	-73.7	-74.16	
33	-73.34	-75.67	
34	-1.09	-3.48	
35	68.4	65.88	
36	67.58	66.16	
37	-58.23	-59.02	
38	-6.99	-4.23	
39	45.19	43.86	
40	16.96	17.86	
