observation_index	numeric_feature_1	numeric_feature_2	numeric_feature_3	numeric_feature_4	numeric_feature_5	numeric_feature_6	numeric_feature_7
0	1	0	0	0	0	0.1890756056225383	0.00632184822114726
1	2	0	0	3	3	0.5664872222948484	0.4466148625317987
2	3	0	0	4	4	0.3914443575025714	0.7994880271621501
3	4	0	0	5	5	1.1771516386118819	-0.6087893063046023
4	5	0	0	6	6	0.4124385350866482	-0.05161786183046337
5	6	0	0	7	7	0.10350236431106617	0.40525216410077625
6	7	0	0	8	8	0.7101398303902818	-0.1443737779794458
7	8	0	0	9	9	0.40320062065395923	-0.04264411489607331
8	9	0	0	10	10	0.22930663513595093	-0.21214889967033632
9	10	0	0	1	1	0.5564462312209819	-0.4338250686435678
10	11	0	0	2	2	0.11768552920756231	0.02185008454971714
11	12	0	5	0	55	0.14084702715456002	0.07137807949578077
12	13	0	5	3	58	0.8159738636978682	0.48056182952425125
13	14	0	5	4	59	0.3160256630564789	0.8075040744635714
14	15	0	5	5	60	1.0085433699157276	-0.5943973304823191
15	16	0	5	6	61	0.41161393384002243	-0.036054569646651075
16	17	0	5	7	62	0.08736933760491254	0.3475008581739894
17	18	0	5	8	63	0.23682118393657822	-0.1779688576154932
18	19	0	5	9	64	0.3261130004773286	-0.05239937784769893
19	20	0	5	10	65	0.40287018381069484	-0.22985019632921957
20	21	0	5	1	56	0.37094097662226144	-0.41823380007185634
21	22	0	5	2	57	0.0656702777902284	0.0373722175593218
22	23	0	6	0	66	0.17506180028612922	0.04099543239035678
23	24	0	6	3	69	0.814801909921787	0.45338266061688437
24	25	0	6	4	70	0.33302894166911334	0.7438849417297371
25	26	0	6	5	71	0.8416287539360625	-0.5872819269975584
26	27	0	6	6	72	0.4842778307263476	-0.0293388292852118
27	28	0	6	7	73	0.09866417175276379	0.47153899327666254
28	29	0	6	8	74	0.45812604765740467	-0.15166778714098622
29	30	0	6	9	75	0.28011113497779944	-0.06673136865516804
30	31	0	6	10	76	0.5395052810823048	-0.19281568840585117
31	32	0	6	1	67	0.45254884694615666	-0.40176016378857826
32	33	0	6	2	68	0.16203280662084213	0.0025495021685159216
33	34	0	7	0	77	0.18051819968721522	0.059130040064658766
34	35	0	7	3	80	0.6688279151766736	0.4475549362900105
35	36	0	7	4	81	0.2502612699987793	0.7788614340386688
36	37	0	7	5	82	1.1283697663699241	-0.5437167995060385
37	38	0	7	6	83	0.28963859690648136	-0.03725226939774718
38	39	0	7	7	84	0.07653650011017768	0.371242447642996
39	40	0	7	8	85	0.4487775485984247	-0.12457908707718848
40	41	0	7	9	86	0.25560933843268874	-0.06670839648761745
41	42	0	7	10	87	0.5564278981989113	-0.1425558008363275
42	43	0	7	1	78	0.6287890774369742	-0.47716427150930973
43	44	0	7	2	79	0.14856344358649035	0.004758865810182809
44	45	0	8	0	88	0.15779567112821008	0.06426804999633921
45	46	0	8	3	91	0.7365352479592344	0.4425298780408543
46	47	0	8	4	92	0.24300919512781924	0.729188233775695
47	48	0	8	5	93	0.7023951937632	-0.5902874800472707
48	49	0	8	6	94	0.42600004264956265	-0.03319545566192391
49	50	0	8	7	95	0.0715297992077049	0.39204572076816835
50	51	0	8	8	96	0.330729277613992	-0.16372188663737802
51	52	0	8	9	97	0.20457224217438055	-0.07832179634594073
52	53	0	8	10	98	0.43975803884821857	-0.16436109909802865
53	54	0	8	1	89	0.38950605158704804	-0.3969379773602001
54	55	0	8	2	90	0.0652249274434488	0.0172016645813269
55	56	0	9	0	99	0.18805117001046354	0.03176485729346718
56	57	0	9	3	102	0.8177456770439616	0.4269435285518795
57	58	0	9	4	103	0.23931385875997072	0.7260038174356449
58	59	0	9	5	104	1.1971284819028973	-0.592188756845002
59	60	0	9	6	105	0.3911332651088305	-0.026866824137056555
60	61	0	9	7	106	0.07837593911861611	0.36551153773178496
61	62	0	9	8	107	0.4661913220957195	-0.14021040061865764
62	63	0	9	9	108	0.2674141713766912	-0.06245407289078167
63	64	0	9	10	109	0.5104113801211785	-0.15604317227687167
64	65	0	9	1	100	0.45654701113949847	-0.4058731544697289
65	66	0	9	2	101	0.08541875936842028	0.024083361271065227
66	67	0	10	0	110	0.05046224651464936	0.05086287718573523
67	68	0	10	3	113	0.23378902583599326	0.47315713906204804
68	69	0	10	4	114	0.08025575995735507	0.6743539704073628
69	70	0	10	5	115	0.19867355936828604	-0.6373887008695807
70	71	0	10	6	116	0.08500198641826352	-0.011140999074255519
71	72	0	10	7	117	0.06143317617660198	0.37787771936086895
72	73	0	10	8	118	0.12817950165450606	-0.07437545664060834
73	74	0	10	9	119	0.05354263610969181	-0.07188295854443974
74	75	0	10	10	120	0.07826834688547414	-0.11307906155618397
75	76	0	10	1	111	0.6955621841174376	-0.5827362574806925
76	77	0	10	2	112	0.13541910822203207	-0.21532178984624736
77	78	0	11	0	121	0.05791282929739703	0.0224560121130711
78	79	0	11	3	124	0.28017930262827917	0.4587762336781066
79	80	0	11	4	125	0.12212437550828943	0.6585592722963876
80	81	0	11	5	126	0.4008928111864591	-0.5974779503015225
81	82	0	11	6	127	0.16069186712568742	-0.02277533595057524
82	83	0	11	7	128	0.0848748212141592	0.35078321999167966
83	84	0	11	8	129	0.37968001470362445	-0.11585153860693403
84	85	0	11	9	130	0.15533430521002922	-0.05258805672984097
85	86	0	11	10	131	0.298540034063297	-0.10831117517740964
86	87	0	11	1	122	0.7923679542043993	-0.5747388198601547
87	88	0	11	2	123	0.06406536640652886	0.0068244802465106625
88	89	0	12	0	132	0.06879350549488329	0.005555287788219596
89	90	0	12	3	135	0.4274644012698117	0.459220313025037
90	91	0	12	4	136	0.2884565784090473	0.7670910818811584
91	92	0	12	5	137	0.665864082432531	-0.5590573356720749
92	93	0	12	6	138	0.13849135188515563	-0.026443529621054142
93	94	0	12	7	139	0.10742391276355354	0.34760822036032046
94	95	0	12	8	140	0.3137986741200409	-0.14687199764390552
95	96	0	12	9	141	0.16256563440840305	-0.05735735096472972
96	97	0	12	10	142	0.20233073039586286	-0.19010690089758578
97	98	0	12	1	133	0.5397128321013013	-0.5985358273533118
98	99	0	12	2	134	0.16531898762564995	0.008384187850884158
99	100	0	1	0	11	0.06307748031854787	0.016186848073426404
100	101	0	1	3	14	0.1442434048543032	0.5345286387884474
101	102	0	1	4	15	0.07653460835329508	0.6078906373251834
102	103	0	1	5	16	0.11338200372687003	-0.5400810639549273
103	104	0	1	6	17	0.0818780340263459	-0.04089004043223998
104	105	0	1	7	18	0.05104315516063583	0.38841793805100805
105	106	0	1	8	19	0.11904122883177569	-0.04028721553245786
106	107	0	1	9	20	0.04301779777844168	-0.019086833260767756
107	108	0	1	10	21	0.09948435905810595	-0.09777372379528831
108	109	0	1	1	12	0.20333092776192496	-0.6468616371036494
109	110	0	1	2	13	0.07884980427320709	0.012521399213916899
110	111	0	2	0	22	0.044927722815028416	0.016742897661432134
111	112	0	2	3	25	0.1707251254092544	0.5108035450288464
112	113	0	2	4	26	0.12054425373883595	0.8035999819892312
113	114	0	2	5	27	0.30067846227069916	-0.6427692259632699
114	115	0	2	6	28	0.13582753863935987	-0.029445615977094358
115	116	0	2	7	29	0.07483990966969181	0.5204927877069155
