observation_index	numeric_feature_1	numeric_feature_2	numeric_feature_3	numeric_feature_4	numeric_feature_5	numeric_feature_6	numeric_feature_7	numeric_feature_8	numeric_feature_9	numeric_feature_10	numeric_feature_11	numeric_feature_12	numeric_feature_13	numeric_feature_14	numeric_feature_15	numeric_feature_16	numeric_feature_17	numeric_feature_18	numeric_feature_19	numeric_feature_20	numeric_feature_21
0	0.0	0	21.279396	190.741379	0.7992706516613762	0.7992706516613762		0.0	5.0	5.0	4.0	3.0	4.0	6.0	7.0	3.0	5.0	7.0	7.0	7.0	7.0
1		5	18.239706	187.331467	0.8225460726441444	0.8225460726441444		1.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
2		6	22.221956	209.384857	0.8081061976359045	0.8081061976359045		2.0	3.0	1.0	3.0	4.0	7.0	7.0	6.0	7.0	6.0	5.0	3.0	3.0	3.0
3		7	18.162481	174.756744	0.8117089574665253	0.8117089574665253		3.0	4.0	4.0	5.0	6.0	5.0	4.0	5.0	5.0	7.0	6.0	5.0	5.0	6.0
4		8	9.18621	107.946335	0.8431484605751544	0.8431484605751544		4.0	1.0	3.0	1.0	2.0	1.0	2.0	3.0	6.0	4.0	3.0	4.0	4.0	5.0
5		9	10.989029	156.575485	0.8688382314646884	0.8688382314646884		5.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
6		10	2.320565	31.388474	0.8623179379275691	0.8623179379275691		6.0	6.0	6.0	7.0	7.0	6.0	5.0	4.0	4.0	3.0	4.0	6.0	6.0	4.0
7		11	8.283046	89.697205	0.8309241726682247	0.8309241726682247		7.0	7.0	7.0	6.0	5.0	3.0	3.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0
8		12	5.615468	62.418488	0.8349216088507333	0.8349216088507333															
9		1	2.855579	28.026207	0.8150638696868115	0.8150638696868115															
10		2	4.566775	51.621532	0.8374474959710033	0.8374474959710033															
11		3	7.46377	91.386467	0.848988323619295	0.848988323619295															
12		4	2.88084	35.758686	0.8508863695688192	0.8508863695688192															
13	1.0	0	18.27207	88.741386	0.65850892620457	0.65850892620457															
14		5	0.454574	2.509918	0.6933208117950731	0.6933208117950731															
15		6	24.650764	97.251747	0.5955659354711734	0.5955659354711734															
16		7	30.4191	160.511566	0.6813597245819067	0.6813597245819067															
17		8	16.873203	123.518364	0.7596265450901335	0.7596265450901335															
18		9	10.483134	76.35862	0.7585692707220076	0.7585692707220076															
19		10	3.856019	24.914873	0.731949986117914	0.731949986117914															
20		11	8.398432	57.043781	0.7433328851516681	0.7433328851516681															
21		12	4.7337	34.651821	0.7596223241530816	0.7596223241530816															
22		1	3.317332	19.231674	0.7057668972193275	0.7057668972193275															
23		2	6.248813	43.671318	0.7496475720386231	0.7496475720386231															
24		3	7.698755	58.32864	0.7668011891124888	0.7668011891124888															
25		4	4.064394	26.39843	0.7331571097938917	0.7331571097938917															
26	2.0	0	0.426514	2.077936	0.6593950767633612	0.6593950767633612															
27		5	6.291533	32.461891	0.6753044066506226	0.6753044066506226															
28		6	5.516595	42.03178	0.7679586316041294	0.7679586316041294															
29		7	14.235603	141.807434	0.8175426052493454	0.8175426052493454															
30		8	4.079239	61.828949	0.8762145000860895	0.8762145000860895															
31		9	4.403563	65.455307	0.8739297386287525	0.8739297386287525															
32		10	1.447796	18.71657	0.8564005434140602	0.8564005434140602															
33		11	2.545664	35.616032	0.8665853844650928	0.8665853844650928															
34		12	3.363648	41.467075	0.8499400511564358	0.8499400511564358															
35		1	0.887879	7.561033	0.7898240625538531	0.7898240625538531															
36		2	0.801548	6.460909	0.7792625828972205	0.7792625828972205															
37		3	1.560498	13.712135	0.7956478100403513	0.7956478100403513															
38		4	0.596805	3.915556	0.7354799405455369	0.7354799405455369															
39	3.0	0	23.496962	196.401794	0.7862929065410448	0.7862929065410448															
40		5	34.352623	344.358276	0.8185812814433947	0.8185812814433947															
41		6	29.443531	284.460541	0.8124042748958031	0.8124042748958031															
42		7	38.341869	447.180115	0.8420591846980096	0.8420591846980096															
43		8	13.153497	171.130203	0.857247309447336	0.857247309447336															
44		9	13.611808	175.982086	0.8564109031907958	0.8564109031907958															
