observation_index	numeric_feature_1	numeric_feature_2	numeric_feature_3	numeric_feature_4	numeric_feature_5	numeric_feature_6	numeric_feature_7	numeric_feature_8	numeric_feature_9	numeric_feature_10	numeric_feature_11	numeric_feature_12	numeric_feature_13	numeric_feature_14	numeric_feature_15	numeric_feature_16	numeric_feature_17	numeric_feature_18	numeric_feature_19	numeric_feature_20	numeric_feature_21	numeric_feature_22	numeric_feature_23
0	0.0	0.0	0	2.32237	26.962568	0.841394917756015				1.0	4.0	3.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	2.0	5.0
1			5	10.769092	149.079102	0.8652585089575676				3.0	1.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	2.0	3.0	2.0	4.0	2.0
2			6	10.557347	152.073395	0.8701678800678412				4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3			7	16.673519	191.928299	0.8401402331018994				5.0	2.0	5.0	5.0	4.0	6.0	5.0	4.0	4.0	4.0	2.0	4.0	6.0	6.0
4			8	9.492892	137.996719	0.8712737536476381				6.0	5.0	6.0	4.0	6.0	4.0	4.0	3.0	5.0	5.0	4.0	1.0	5.0	4.0
5			9	7.217313	105.742058	0.8722140016165635				7.0	6.0	4.0	3.0	2.0	3.0	1.0	2.0	2.0	3.0	5.0	5.0	3.0	1.0
6			10	4.227502	41.023262	0.8131522376064192				2.0	3.0	1.0	1.0	3.0	0.0	2.0	5.0	1.0	1.0	1.0	3.0	1.0	3.0
7			11	4.327651	46.112675	0.8284051137972422				0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
8			12	9.729883	115.822426	0.8450067055317955																	
9			1	5.902109	60.731915	0.8228499902692354																	
10			2	3.330829	26.65963	0.7778740898897212																	
11			3	2.956357	21.80579	0.761219655145412																	
12			4	4.29833	35.634838	0.7847238165526963																	
13	2.0		0	2.713708	24.377279	0.7996597170859814																	
14			5	11.041075	108.892372	0.8158799688297126																	
15			6	7.836829	77.651299	0.8166569046873972																	
16			7	8.298831	72.865494	0.7955054514406423																	
17			8	2.911618	30.620802	0.8263401209933551																	
18			9	4.457515	45.530956	0.8216582779657333																	
19			10	1.355839	6.828032	0.6686558231428624																	
20			11	5.40048	41.295719	0.7686972337941252																	
21			12	2.987394	22.173187	0.7625337825068506																	
22			1	2.138875	13.49867	0.7264436329359883																	
23			2	3.649475	22.310463	0.7188379263463572																	
24			3	3.539356	30.290083	0.7907529001589414																	
25			4	2.212039	13.649097	0.7210743291022788																	
26	3.0		0	5.75834	42.782593	0.7627429204955745																	
27			5	17.439537	108.80722	0.7237230101680948																	
28			6	7.964602	53.467312	0.7407014862014555																	
29			7	10.247028	55.803261	0.6897204189371526																	
30			8	1.109189	11.106722	0.8184025734961559																	
31			9	5.066597	25.038807	0.6634094662871821																	
32			10	4.574265	11.734534	0.4390433041697307																	
33			11	7.439801	31.27496	0.6156607553382546																	
34			12	6.246267	19.55727	0.51585962808122																	
35			1	3.696705	12.097096	0.5318789948030876																	
36			2	2.263341	7.923538	0.5556360294453286																	
37			3	2.938561	8.712985	0.4955929453481967																	
38			4	1.579505	5.277419	0.5392963375414398																	
39	4.0		0	3.764458	35.219002	0.8068689644274777																	
40			5	6.293007	115.489059	0.8966513345240833																	
41			6	3.759904	52.789711	0.8670228258848447																	
42			7	3.375256	37.574837	0.8351527064908009																	
43			8	0.630064	13.062646	0.9079708837768418																	
44			9	4.729074	60.460457	0.854913084126959																	
45			10	0.979498	8.205011	0.7867065076641551																	
46			11	3.467876	36.154907	0.8249554555519234																	
47			12	1.244881	12.001607	0.812043614881167																	
48			1	1.004635	5.877186	0.7080322199603853																	
49			2	2.09352	15.198991	0.7578697506683675																	
50			3	1.9894	21.131855	0.8279159154639314																	
51			4	0.488833	5.130804	0.826026841235475																	
52	5.0		0	1.995783	33.502415	0.8875558133964997																	
53			5	1.825445	37.129295	0.9062786710936845																	
54			6	4.593565	61.288433	0.8605517397939267																	
55			7	8.466825	123.526291	0.8717080821093731																	
56			8	3.88146	50.486488	0.8572151371245427																	
57			9	3.348426	39.180145	0.842532870431974																	
58			10	2.069155	17.320446	0.7865706468121753																	
59			11	1.04426	10.946588	0.8258238283063885																	
60			12	2.206177	22.413651	0.8207804701153882																	
61			1	1.059737	6.904398	0.7338726679042984																	
62			2	1.815547	10.894095	0.7143039906238113																	
63			3	1.303142	11.429552	0.7953077329903633																	
64			4	0.505805	3.487315	0.7466617582241455																	
65	6.0		0	1.468667	28.903351	0.903288151613765																	
66			5	3.275077	47.882309	0.8719607370087282																	
67			6	7.602367	92.674271	0.8483721203337511																	
68			7	7.87862	73.910049	0.8073420170219423																	
69			8	4.938416	56.282455	0.8386688748678534																	
70			9	4.090568	34.860462	0.7899635516698789																	
71			10	1.004045	7.397503	0.7609857135851632																	
72			11	2.711436	20.455162	0.7659185004203035																	
73			12	2.550769	21.613384	0.7888799164613799																	
74			1	1.246769	8.196081	0.7359337488152411																	
75			2	0.575228	4.533136	0.7747897369882021																	
76			3	1.557544	12.844839	0.7837102373961309																	
77			4	0.690584	4.247535	0.7203048367202167																	
78	1.0		0	7.423079	70.484642	0.8094391953783373																	
79			5	9.593132	78.266991	0.7816271666271172																	
80			6	13.08244	107.000626	0.7821101603118628																	
81			7	11.26825	110.5281718	0.8149658284953																	
82			8	9.314361	71.184013	0.7685826300044272																	
83			9	7.297384	62.65567	0.7913633906533946																	
84			10	4.408255	37.334076	0.7887873104163734																	
85			11	8.235715	59.377483	0.756387355024976																	
86			12	4.534584	27.459291	0.7165342428824267																	
87			1	3.78827	20.589941	0.6892085313397279																	
88			2	2.731937	16.916916	0.7219240227406659																	
89			3	2.47105	17.058697	0.7469450065072527																	
90			4	3.034864	20.758379	0.7448969860897063																	
