sample_id	collection_group_id	depth_min_m	depth_max_m	particle_total_per_L	polymer_count_PE_per_L	polymer_PE_percent	polymer_count_varnish_per_L	polymer_varnish_percent	polymer_count_PA_per_L	polymer_PA_percent	polymer_count_EVA_per_L	polymer_EVA_percent	polymer_count_CE_alkylated_per_L	polymer_CE_alkylated_percent	polymer_count_PES_per_L	polymer_PES_percent	polymer_count_PP_per_L	polymer_PP_percent	polymer_count_PE_Cl_per_L	polymer_PE_Cl_percent	polymer_count_PS_per_L	polymer_PS_percent	polymer_count_PC_per_L	polymer_PC_percent	polymer_count_PVC_per_L	polymer_PVC_percent	polymer_count_nitrile_rubber_per_L	polymer_nitrile_rubber_percent	polymer_count_PCL_per_L	polymer_PCL_percent	polymer_count_rubber_per_L	polymer_rubber_percent	polymer_count_AB_per_L	polymer_AB_percent	polymer_count_PLA_per_L	polymer_PLA_percent	polymer_count_PI_per_L	polymer_PI_percent	particle_size_11um_per_L	particle_size_11um_percent	particle_size_11_25um_per_L	particle_size_11_25um_percent	particle_size_25_50um_per_L	particle_size_25_50um_percent	particle_size_50_75um_per_L	particle_size_50_75um_percent	particle_size_75_100um_per_L	particle_size_75_100um_percent	particle_size_100_125um_per_L	particle_size_100_125um_percent	particle_size_125_150um_per_L	particle_size_125_150um_percent	particle_size_150_175um_per_L	particle_size_150_175um_percent	particle_size_175_200um_per_L	particle_size_175_200um_percent	particle_size_200_225um_per_L	particle_size_200_225um_percent	particle_size_225_250um_per_L	particle_size_225_250um_percent	particle_size_250_275um_per_L	particle_size_250_275um_percent	particle_size_275_300um_per_L	particle_size_275_300um_percent	particle_size_300_325um_per_L	particle_size_300_325um_percent	particle_size_325_350um_per_L	particle_size_325_350um_percent	particle_size_350_375um_per_L	particle_size_350_375um_percent	particle_size_375_400um_per_L	particle_size_375_400um_percent	particle_size_400_425um_per_L	particle_size_400_425um_percent	particle_size_425_450um_per_L	particle_size_425_450um_percent	particle_size_450_475um_per_L	particle_size_450_475um_percent	particle_size_475_500um_per_L	particle_size_475_500um_percent	particle_size_gt_500um_per_L	particle_size_gt_500um_percent
sample_001	group_01	0.000	0.280	260	2.01	0.77	234.31	90.21	0.00	0.00	8.03	3.09	8.03	3.09	4.02	1.55	1.340	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	204.85	78.87	41.51	15.98	13.39	5.15	0.000	0.00	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_002	group_01	0.290	0.480	8774	7401.31	84.36	181.96	2.07	2.90	0.03	1173.06	13.37	0.00	0.00	10.65	0.12	0.970	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.90	0.03	0.00	0.00	0.00	0.00	4739.67	54.02	2741.98	31.25	1071.43	12.21	165.510	1.89	34.84	0.40	17.42	0.200	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	2.9	0.033	0	0
sample_003	group_01	0.490	0.720	4156	1532.32	36.87	1542.65	37.12	136.30	3.28	536.93	12.92	2.07	0.05	7.57	0.18	3.440	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.46	0.35	379.98	9.14	0.00	0.00	0.00	0.00	0.00	0.00	2732.85	65.76	1063.54	25.59	311.83	7.50	41.300	0.99	6.20	0.15	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_004	group_01	0.730	0.910	7017	6092.62	86.82	41.61	0.59	769.81	10.97	79.76	1.14	0.00	0.00	3.47	0.05	2.310	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.74	0.40	0.00	0.00	0.00	0.00	0.00	0.00	4528.72	64.54	1865.58	26.59	532.86	7.59	62.420	0.89	24.27	0.35	3.47	0.050	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_005	group_01	0.920	1.160	2665	2583.03	96.94	31.31	1.18	7.42	0.28	2.47	0.09	0.00	0.00	6.59	0.25	21.420	0.80	0.00	0.00	2.47	0.09	0.00	0.00	0.00	0.00	0.00	0.00	9.89	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2035.94	76.41	431.74	16.20	174.67	6.56	19.770	0.74	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	2.47	0.09	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_006	group_02	0.000	0.180	75143	75034.48	99.86	0.00	0.00	0.00	0.00	47.25	0.06	0.00	0.00	8.40	0.01	8.400	0.01	6.30	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	37.80	0.05	0.00	0.00	0.00	0.00	0.00	0.00	58464.81	77.81	14861.14	19.78	1618.22	2.15	182.720	0.24	9.45	0.01	3.15	0.004	0.00	0.00	3.15	0.004	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_007	group_02	0.190	0.420	14558	14514.77	99.71	3.65	0.03	8.22	0.06	0.00	0.00	0.00	0.00	5.48	0.04	0.910	0.01	0.00	0.00	2.74	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.91	0.15	0.00	0.00	0.00	0.00	0.00	0.00	10949.98	75.22	2627.27	18.05	835.28	5.74	98.590	0.68	38.34	0.26	5.48	0.038	0.00	0.00	0.00	0.000	2.74	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_008	group_02	0.430	0.660	3710	3650.89	98.41	15.38	0.41	5.13	0.14	7.69	0.21	0.00	0.00	15.38	0.41	7.690	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.13	0.14	2.56	0.07	0.00	0.00	0.00	0.00	2909.09	78.42	686.25	18.50	109.39	2.95	2.560	0.07	2.56	0.07	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_009	group_02	0.670	0.850	9857	9695.84	98.36	18.61	0.19	32.33	0.33	70.54	0.72	5.88	0.06	25.47	0.26	0.000	0.00	0.00	0.00	2.94	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.06	0.00	0.00	0.00	0.00	0.00	0.00	6427.65	65.21	2289.50	23.23	949.30	9.63	149.890	1.52	29.39	0.30	11.76	0.120	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_010	group_02	0.860	1.040	4530	4458.50	98.41	17.97	0.40	3.17	0.07	0.00	0.00	0.00	0.00	27.48	0.61	20.080	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.17	0.07	0.00	0.00	0.00	0.00	0.00	0.00	3185.85	70.32	959.77	21.19	337.19	7.44	31.710	0.70	3.17	0.07	6.34	0.140	6.34	0.14	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
