sample_id	collection_group_id	latitude_deg	longitude_deg	ice_regime	depth_min_m	depth_max_m	temperature_C	salinity_PSU	chlorophyll_a_ug_L	particulate_organic_carbon_mg_L	particle_total_per_L	particle_total_std_or_error_per_L	particulate_organic_nitrogen_ug_L	carbon_to_nitrogen_ratio
sample_001	group_01	78.7667	-8.7700	Landfast ice	0.000	0.280	-0.43	5.33	0.09	0.53	260	167	70	7.57
sample_002	group_01	78.7667	-8.7700	Landfast ice	0.290	0.480	-0.85	4.78	0.03	0.56	8774	5532	90	6.04
sample_003	group_01	78.7667	-8.7700	Landfast ice	0.490	0.720	-1.53	4.20	0.04	0.67	4156	1084	100	6.48
sample_004	group_01	78.7667	-8.7700	Landfast ice	0.730	0.910	-1.67	3.27	0.03	0.49	7017	3410	80	6.38
sample_005	group_01	78.7667	-8.7700	Landfast ice	0.920	1.160	-1.43	3.90	0.07	0.48	2665	1389	80	6.31
sample_006	group_02	79.7362	4.2855	Pack ice	0.000	0.180	-0.30	2.25	0.02	0.44	75143	72193	60	7.11
sample_007	group_02	79.7362	4.2855	Pack ice	0.190	0.420	-1.05	4.43	0.05	0.58	14558	36940	90	6.29
sample_008	group_02	79.7362	4.2855	Pack ice	0.430	0.660	-1.32	4.33	0.06	0.45	3710	4150	70	5.96
sample_009	group_02	79.7362	4.2855	Pack ice	0.670	0.850	-1.52	4.00	0.04	0.27	9857	6962	50	6.04
sample_010	group_02	79.7362	4.2855	Pack ice	0.860	1.040	-1.53	4.10	0.06	0.28	4530	2173	40	6.78
sample_011	group_02	79.7362	4.2855	Pack ice	1.050	1.390	-1.38	3.30	0.81	0.32	41	23	40	7.63
sample_012	group_02	79.7362	4.2855	Pack ice	1.400	1.660	-1.20	3.23	1.74	1.34	67	76	150	9.27
sample_013	group_04	81.9372	13.5700	Pack ice	0.000	0.230	-2.25	6.93	0.44	0.11	992	633	10	8.18
sample_014	group_04	81.9372	13.5700	Pack ice	0.240	0.420	-2.48	6.13	0.56	0.13	186	112	20	8.01
sample_015	group_04	81.9372	13.5700	Pack ice	0.430	0.610	-2.45	5.02	0.95	0.14	4159	3575	20	8.76
sample_016	group_04	81.9372	13.5700	Pack ice	0.620	0.865	-2.32	4.48	0.52	0.08	430	220	10	9.40
sample_017	group_04	81.9372	13.5700	Pack ice	0.875	1.130	-1.83	4.43	4.19	0.12	456	64	20	7.41
sample_018	group_03	81.2290	19.4450	Pack ice	0.000	0.260	-1.18	4.58	0.27	0.12	144	102	20	7.60
sample_019	group_03	81.2290	19.4450	Pack ice	0.255	0.470	-1.23	5.12	0.19	0.09	13794	12591	10	8.59
sample_020	group_03	81.2290	19.4450	Pack ice	0.475	0.640	-1.98	5.60	0.19	0.10	90	125	10	9.15
sample_021	group_03	81.2290	19.4450	Pack ice	0.650	0.830	-2.60	5.90	0.26	0.10	2303	702	10	8.78
sample_022	group_03	81.2290	19.4450	Pack ice	0.835	0.980	-2.45	6.05	0.24	0.10	423	133	10	8.22
sample_023	group_03	81.2290	19.4450	Pack ice	0.990	1.210		5.80	0.40	0.10	270	117	10	7.97
sample_024	group_03	81.2290	19.4450	Pack ice	1.220	1.320		6.15	6.64	0.25	33	16	40	6.18
sample_025	group_05	85.0852	42.6175	Pack ice	0.000	0.290	-1.43	0.43	0.05	0.42	6421	4416	60	6.97
sample_026	group_05	85.0852	42.6175	Pack ice	0.300	0.500	-1.43	0.77	0.08	0.39	557	260	60	6.92
sample_027	group_05	85.0852	42.6175	Pack ice	0.510	0.840	-1.43	2.87	0.19	0.24	1454	578	40	6.31
sample_028	group_05	85.0852	42.6175	Pack ice	0.850	1.120	-1.70	3.67	0.17	0.29	791	498	40	6.99
sample_029	group_05	85.0852	42.6175	Pack ice	1.130	1.400	-1.73	3.43	0.27	0.19	351	113	30	5.41
sample_030	group_05	85.0852	42.6175	Pack ice	1.410	1.670	-1.70	3.53	0.51	0.52	4437	561	60	8.16
