c01_depth_sed_m_merged	c02_age_ka_bp_1_see_reference_s	c03_age_ka_bp_2_see_reference_s	c04_c_wuellerstorfi_18o_pdb_vs_vpdb_analytical_error_0
0.03	2.76	1.98	2.84
0.04	3.20	2.64	2.52
0.05	3.64	3.30	2.65
0.06	4.08	3.96	2.39
0.07	4.38	4.21	2.75
0.08	4.68	4.46	2.42
0.09	4.98	4.71	2.73
0.10	5.24	4.96	2.44
0.11	5.49	5.21	2.85
0.12	5.73	5.46	3.05
0.13	5.97	5.71	2.85
0.14	6.21	5.96	3.26
0.15	6.46	6.32	3.07
0.16	6.70	6.67	2.90
0.17	6.94	7.02	3.35
0.18	7.18	7.38	2.83
0.19	7.43	7.73	3.41
0.20	7.71	8.09	3.35
0.21	8.12	8.44	2.96
0.22	8.52	8.80	2.79
0.23	8.93	9.15	3.36
0.24	9.33	9.51	3.24
0.25	9.73	9.86	3.48
0.26	10.14	10.21	3.33
0.27	10.59	10.57	3.73
0.28	11.05	11.44	3.15
0.29	11.50	12.31	3.73
0.30	11.96	13.17	3.91
0.31	12.41	14.04	3.66
0.32	12.87	14.40	3.92
0.33	13.32	14.76	3.67
0.34	13.77	15.13	3.89
0.35	14.33	15.49	3.93
0.36	14.93	15.85	3.79
0.37	16.05	17.00	3.84
0.38	17.56	18.15	4.08
0.39	19.08	19.30	3.99
0.40	20.59	20.45	3.98
0.41	21.76	21.19	3.89
0.42	22.37	21.94	4.00
0.43	22.98	22.69	3.92
0.44	23.58	23.43	4.06
0.45	24.19	24.18	4.07
0.46	24.79	24.92	4.07
0.47	25.40	25.67	3.95
0.49	26.62	26.41	3.89
0.50	27.63	27.16	3.90
0.51	28.64	28.04	3.88
0.52	29.65	29.09	3.59
0.53	30.66	30.26	3.60
0.54	31.67	31.47	3.61
0.55	32.68	32.58	3.63
0.56	33.62	33.62	3.81
0.57	34.52	34.52	3.63
0.58	35.43	35.43	3.66
0.59	36.34	36.34	3.60
0.60	37.19	37.19	3.55
0.61	38.00	38.00	3.64
0.62	38.81	38.81	3.63
0.63	39.62	39.62	3.51
0.64	40.43	40.43	3.52
0.65	41.23	41.23	3.57
0.66	41.91	41.91	
0.67	42.59	42.59	3.49
0.71	44.53	44.53	3.54
0.72	44.98	44.98	3.65
0.73	45.43	45.43	3.60
0.74	45.89	45.89	3.64
0.75	46.34	46.34	3.62
0.76	46.80	46.80	3.84
0.77	47.21	47.21	3.64
