formulation_id	illumination_time_h	gaseous_product_umol
formulation_1	0.0	0.0
formulation_1	1.0	2.4
formulation_1	2.0	4.8
formulation_1	3.0	7.24
formulation_1	4.0	9.48
formulation_2	0.0	0.0
formulation_2	1.0	1.21
formulation_2	2.0	2.16
formulation_2	3.0	3.16
formulation_2	4.0	4.13
formulation_3	0.0	0.0
formulation_3	1.0	0.124
formulation_3	2.0	0.256
formulation_3	3.0	0.445
formulation_3	4.0	0.636
formulation_4	0.0	0.0
formulation_4	1.0	0.0329
formulation_4	2.0	0.0724
formulation_4	3.0	0.121
formulation_4	4.0	0.173
