measurement_role	wavelength_nm	response_au_or_percent
absorption	350.0	0.882
action_response	400.0	81.3
absorption	350.5	0.883
action_response	450.0	82.6
absorption	351.0	0.88
action_response	500.0	81.0
absorption	351.5	0.881
action_response	550.0	51.6
absorption	352.0	0.876
action_response	600.0	17.6
absorption	352.5	0.875
action_response	650.0	4.2
absorption	353.0	0.872
absorption	353.5	0.869
absorption	354.0	0.874
absorption	354.5	0.874
absorption	355.0	0.881
absorption	355.5	0.885
absorption	356.0	0.887
absorption	356.5	0.892
absorption	357.0	0.897
absorption	357.5	0.898
absorption	358.0	0.896
absorption	358.5	0.891
absorption	359.0	0.886
absorption	359.5	0.889
absorption	360.0	0.888
absorption	360.5	0.887
absorption	361.0	0.885
absorption	361.5	0.881
absorption	362.0	0.88
absorption	362.5	0.879
absorption	363.0	0.879
absorption	363.5	0.877
absorption	364.0	0.874
absorption	364.5	0.875
absorption	365.0	0.874
absorption	365.5	0.874
absorption	366.0	0.876
absorption	366.5	0.88
absorption	367.0	0.882
absorption	367.5	0.886
absorption	368.0	0.889
absorption	368.5	0.884
absorption	369.0	0.882
absorption	369.5	0.88
absorption	370.0	0.877
absorption	370.5	0.876
absorption	371.0	0.876
absorption	371.5	0.873
absorption	372.0	0.872
absorption	372.5	0.874
absorption	373.0	0.871
absorption	373.5	0.872
absorption	374.0	0.872
absorption	374.5	0.868
absorption	375.0	0.871
absorption	375.5	0.867
absorption	376.0	0.867
absorption	376.5	0.873
absorption	377.0	0.877
absorption	377.5	0.882
absorption	378.0	0.886
absorption	378.5	0.886
absorption	379.0	0.886
absorption	379.5	0.886
absorption	380.0	0.887
absorption	380.5	0.884
absorption	381.0	0.883
absorption	381.5	0.885
absorption	382.0	0.883
absorption	382.5	0.885
absorption	383.0	0.887
absorption	383.5	0.884
absorption	384.0	0.886
absorption	384.5	0.884
absorption	385.0	0.885
absorption	385.5	0.889
absorption	386.0	0.888
absorption	386.5	0.886
absorption	387.0	0.881
absorption	387.5	0.88
absorption	388.0	0.88
absorption	388.5	0.885
absorption	389.0	0.889
absorption	389.5	0.892
absorption	390.0	0.892
absorption	390.5	0.891
absorption	391.0	0.89
absorption	391.5	0.887
absorption	392.0	0.886
absorption	392.5	0.887
absorption	393.0	0.885
absorption	393.5	0.884
absorption	394.0	0.882
absorption	394.5	0.88
absorption	395.0	0.881
absorption	395.5	0.885
absorption	396.0	0.889
absorption	396.5	0.893
absorption	397.0	0.891
absorption	397.5	0.888
absorption	398.0	0.883
