formulation_id	delay_ps	normalized_transient_signal
formulation_1	0.000321615	-0.06145
formulation_2	0.000321615	-0.05478
formulation_1	0.02031	-0.00457
formulation_2	0.02031	-0.00527
formulation_1	0.03633	-0.01099
formulation_2	0.03633	-0.01053
formulation_1	0.06436	0.02338
formulation_2	0.06436	-0.11572
formulation_1	0.08699	-0.00601
formulation_2	0.08699	0.00778
formulation_1	0.11502	-0.06169
formulation_2	0.11502	-0.11368
formulation_1	0.13902	-0.02262
formulation_2	0.13902	-0.0295
formulation_1	0.167	0.00422
formulation_2	0.167	-0.05832
formulation_1	0.19635	-0.00708
formulation_2	0.19635	0.04627
formulation_1	0.22702	0.00392
formulation_2	0.22702	-0.01961
formulation_1	0.26033	0.01201
formulation_2	0.26033	0.05629
formulation_1	0.29502	-0.04427
formulation_2	0.29502	0.01743
formulation_1	0.33235	-0.0098
formulation_2	0.33235	-0.03755
formulation_1	0.37101	-0.05411
formulation_2	0.37101	0.07019
formulation_1	0.41099	-0.00765
formulation_2	0.41099	-0.09161
formulation_1	0.45498	0.00708
formulation_2	0.45498	0.07873
formulation_1	0.50167	-0.02149
formulation_2	0.50167	0.0171
formulation_1	0.55101	-0.04522
formulation_2	0.55101	0.03343
formulation_1	0.60167	-0.10089
formulation_2	0.60167	-0.01329
formulation_1	0.65635	-0.03527
formulation_2	0.65635	-0.13837
formulation_1	0.71367	0.0595
formulation_2	0.71367	-0.2201
formulation_1	0.77501	0.6814
formulation_2	0.77501	-0.01526
formulation_1	0.83767	0.82411
formulation_2	0.83767	0.15055
formulation_1	0.90568	0.73597
formulation_2	0.90568	0.61948
formulation_1	0.97765	0.56737
formulation_2	0.97765	0.30073
formulation_1	1.05501	0.83611
formulation_2	1.05501	-0.02696
formulation_1	1.13634	0.99928
formulation_2	1.13634	0.51181
formulation_1	1.22031	0.88794
formulation_2	1.22031	0.61446
formulation_1	1.311	0.47285
formulation_2	1.311	0.37921
formulation_1	1.40566	0.53497
formulation_2	1.40566	0.41359
formulation_1	1.50565	0.48332
formulation_2	1.50565	0.5161
formulation_1	1.61231	0.58165
formulation_2	1.61231	0.80134
formulation_1	1.72431	0.65434
formulation_2	1.72431	0.71518
formulation_1	1.84302	0.49717
formulation_2	1.84302	0.91049
