cycle_index	capacity_like_value
1	581.36364
2	573.18182
3	586.81818
4	586.81818
5	581.36364
6	573.18182
7	595.0
8	581.36364
9	595.0
10	586.81818
11	573.18182
12	581.36364
13	600.45455
14	581.36364
15	595.0
16	600.45455
17	581.36364
18	573.18182
19	586.81818
20	586.81818
21	581.36364
22	595.0
23	586.81818
24	586.81818
25	586.81818
26	573.18182
27	581.36364
28	581.36364
29	586.81818
30	581.36364
31	586.81818
32	586.81818
33	586.81818
34	573.18182
35	581.36364
36	586.81818
37	573.18182
38	581.36364
39	586.81818
40	567.72727
41	581.36364
42	581.36364
43	567.72727
44	581.36364
45	581.36364
46	595.0
47	595.0
48	573.18182
49	586.81818
50	581.36364
51	591.81818
52	572.72727
53	586.36364
54	586.36364
55	572.72727
56	586.36364
57	586.36364
58	600.0
59	600.0
60	578.18182
61	591.81818
62	586.36364
63	591.81818
64	578.18182
65	591.81818
66	586.36364
67	578.18182
68	586.36364
69	600.0
70	578.18182
71	586.36364
72	586.36364
73	586.36364
74	586.36364
75	600.0
76	591.81818
77	591.81818
78	591.81818
79	586.36364
80	600.0
81	591.81818
82	591.81818
83	586.36364
84	578.18182
85	578.18182
86	600.0
87	600.0
88	586.36364
89	586.36364
90	600.0
91	586.36364
92	578.18182
93	591.81818
94	591.81818
95	572.72727
96	586.36364
97	578.18182
98	586.36364
99	591.81818
100	600.0
101	586.36364
102	591.81818
103	591.81818
104	578.18182
105	570.90909
106	578.18182
107	586.36364
108	572.72727
109	578.18182
110	572.72727
111	600.0
112	586.36364
113	572.72727
114	578.18182
115	586.36364
116	572.72727
117	572.72727
118	586.36364
119	591.81818
120	578.18182
121	586.36364
122	613.63636
123	578.18182
124	600.0
125	586.36364
126	572.72727
127	600.0
128	574.54545
129	578.18182
130	572.72727
131	578.18182
132	586.36364
133	586.36364
134	591.81818
135	586.36364
136	564.54545
137	578.18182
138	572.72727
139	572.72727
140	578.18182
141	586.36364
142	586.36364
143	572.72727
144	586.36364
145	572.72727
146	578.18182
147	578.18182
148	586.36364
149	572.72727
150	591.81818
151	591.81818
152	591.81818
153	572.72727
154	572.72727
155	586.36364
156	578.18182
157	572.72727
158	591.81818
159	572.72727
160	578.18182
161	586.36364
162	578.18182
163	578.18182
164	572.72727
165	564.54545
166	586.36364
167	578.18182
168	578.18182
169	578.18182
170	578.18182
171	586.36364
172	572.72727
173	578.18182
174	586.36364
175	586.36364
176	572.72727
177	586.36364
178	578.18182
179	578.18182
180	578.18182
181	586.36364
182	578.18182
183	586.36364
184	572.72727
185	600.0
186	578.18182
187	578.18182
188	572.72727
189	578.18182
190	591.81818
191	578.18182
192	578.18182
193	578.18182
194	578.18182
195	572.72727
196	572.72727
197	572.72727
198	586.36364
199	586.36364
200	572.72727
201	586.36364
202	578.18182
203	586.36364
204	572.72727
205	578.18182
206	572.72727
207	564.54545
208	564.54545
209	578.18182
210	578.18182
211	578.18182
212	572.72727
213	578.18182
214	572.72727
215	572.72727
216	572.72727
217	578.18182
218	572.72727
219	578.18182
220	586.36364
221	578.18182
222	564.54545
223	572.72727
224	586.36364
225	564.54545
226	572.72727
227	572.72727
228	586.36364
229	564.54545
230	578.18182
231	572.72727
232	572.72727
233	572.72727
234	586.36364
235	564.54545
236	578.18182
237	572.72727
238	572.72727
239	586.36364
240	564.54545
241	578.18182
242	572.72727
243	578.18182
244	564.54545
245	578.18182
246	578.18182
247	564.54545
248	564.54545
249	550.90909
250	572.72727
251	572.72727
252	564.54545
253	572.72727
254	564.54545
255	559.09091
256	559.09091
257	578.18182
258	564.54545
259	564.54545
260	572.72727
261	559.09091
262	572.72727
263	564.54545
264	559.09091
265	559.09091
266	564.54545
267	564.54545
268	572.72727
269	578.18182
270	572.72727
271	559.09091
272	564.54545
273	572.72727
274	559.09091
275	586.36364
276	572.72727
277	559.09091
278	572.72727
279	559.09091
280	572.72727
281	572.72727
282	572.72727
283	564.54545
284	578.18182
285	564.54545
286	550.90909
287	564.54545
288	564.54545
289	559.09091
290	572.72727
291	559.09091
292	550.90909
293	564.54545
294	559.09091
295	572.72727
296	559.09091
297	559.09091
298	564.54545
299	564.54545
300	564.54545
301	559.09091
302	559.09091
303	564.54545
304	545.45455
305	564.54545
306	559.09091
307	559.09091
308	559.09091
309	572.72727
310	564.54545
311	550.90909
312	564.54545
313	550.90909
314	559.09091
315	559.09091
316	572.72727
317	559.09091
318	559.09091
319	550.90909
320	572.72727
321	559.09091
322	559.09091
323	550.90909
324	564.54545
325	559.09091
326	559.09091
327	550.90909
328	559.09091
329	550.90909
330	550.90909
331	550.90909
332	550.90909
333	550.90909
334	545.45455
335	550.90909
336	559.09091
337	550.90909
338	550.90909
339	564.54545
340	559.09091
341	559.09091
342	550.90909
343	550.90909
344	545.45455
345	550.90909
346	550.90909
347	559.09091
348	550.90909
349	537.27273
350	550.90909
351	550.90909
352	550.90909
353	559.09091
354	559.09091
355	550.90909
356	559.09091
357	550.90909
358	550.90909
359	545.45455
360	550.90909
361	550.90909
362	550.90909
363	537.27273
364	518.18182
365	531.81818
366	531.81818
367	545.45455
368	537.27273
369	537.27273
370	531.81818
371	520.09091
372	523.63636
373	537.27273
374	537.27273
375	545.45455
376	531.81818
377	550.90909
378	537.27273
379	559.09091
380	537.27273
381	550.90909
382	545.45455
383	550.90909
384	545.45455
385	531.81818
386	559.09091
387	537.27273
388	545.45455
389	537.27273
390	545.45455
391	537.27273
392	545.45455
393	537.27273
394	545.45455
395	545.45455
396	537.27273
397	545.45455
398	550.90909
399	559.09091
400	545.45455
401	559.09091
402	537.27273
403	545.45455
404	537.27273
405	545.45455
406	545.45455
407	545.45455
408	537.27273
409	537.27273
410	550.90909
411	545.45455
412	545.45455
413	545.45455
414	537.27273
415	545.45455
416	550.90909
417	537.27273
418	537.27273
419	545.45455
420	531.81818
421	550.90909
422	537.27273
423	545.45455
424	537.27273
425	537.27273
426	531.81818
427	537.27273
428	545.45455
429	545.45455
430	537.27273
431	545.45455
432	537.27273
433	545.45455
434	545.45455
435	537.27273
436	537.27273
437	545.45455
438	531.81818
439	545.45455
440	537.27273
441	545.45455
442	537.27273
443	545.45455
444	545.45455
445	537.27273
446	545.45455
447	545.45455
448	531.81818
449	545.45455
450	545.45455
451	550.90909
452	537.27273
453	531.81818
454	537.27273
455	545.45455
456	531.81818
457	531.81818
458	545.45455
459	550.90909
460	537.27273
461	550.90909
462	537.27273
463	537.27273
464	531.81818
465	537.27273
466	518.18182
467	531.81818
468	531.81818
469	537.27273
470	531.81818
471	537.27273
472	537.27273
473	545.45455
474	537.27273
475	545.45455
476	545.45455
477	550.90909
478	537.27273
479	537.27273
480	531.81818
481	550.90909
482	537.27273
483	550.90909
484	545.45455
485	531.81818
486	545.45455
487	545.45455
488	537.27273
489	537.27273
490	537.27273
491	531.81818
492	537.27273
493	537.27273
494	531.81818
495	537.27273
496	550.90909
497	545.45455
498	537.27273
499	531.81818
500	531.81818
501	537.27273
502	531.81818
503	531.81818
504	545.45455
505	531.81818
506	531.81818
507	531.81818
508	531.81818
509	545.45455
510	531.81818
511	545.45455
512	537.27273
513	531.81818
514	537.27273
515	537.27273
516	523.63636
517	531.81818
518	531.81818
519	523.63636
520	523.63636
521	537.27273
522	531.81818
523	537.27273
524	531.81818
525	523.63636
526	518.18182
527	531.81818
528	537.27273
529	531.81818
530	537.27273
531	523.63636
532	537.27273
533	537.27273
534	523.63636
535	523.63636
536	531.81818
537	531.81818
538	531.81818
539	531.81818
540	531.81818
541	531.81818
542	531.81818
543	531.81818
544	523.63636
545	537.27273
546	531.81818
547	531.81818
548	531.81818
549	523.63636
550	523.63636
551	531.81818
552	531.81818
553	523.63636
554	531.81818
555	523.63636
556	531.81818
557	531.81818
558	531.81818
559	518.18182
560	537.27273
561	537.27273
562	531.81818
563	531.81818
564	523.63636
565	550.90909
566	518.18182
567	523.63636
568	537.27273
569	518.18182
570	518.18182
571	523.63636
572	537.27273
573	523.63636
574	528.18182
575	537.27273
576	531.81818
577	531.81818
578	518.18182
579	518.18182
580	531.81818
581	531.81818
582	523.63636
583	518.18182
584	531.81818
585	518.18182
586	537.27273
587	518.18182
588	531.81818
589	531.81818
590	523.63636
591	531.81818
592	523.63636
593	518.18182
594	510.0
595	537.27273
596	510.0
597	523.63636
598	510.0
599	523.63636
600	531.81818
