scan_role	anonymous_rate_setting	state_of_charge_percent	cell_voltage_V
charge_like	rate_setting_1	2.56687e-06	0.67421
charge_like	rate_setting_2	3.08687e-06	0.8732
charge_like	rate_setting_3	3.83938e-06	0.86628
charge_like	rate_setting_4	4.59781e-06	0.90579
charge_like	rate_setting_5	6.19406e-06	1.21968
charge_like	rate_setting_6	1.20653e-05	1.12621
charge_like	rate_setting_7	1.20653e-05	1.16773
charge_like	rate_setting_1	0.0158	0.89549
charge_like	rate_setting_2	0.04321	1.00646
charge_like	rate_setting_3	0.05304	1.07279
charge_like	rate_setting_4	0.06384	1.17138
charge_like	rate_setting_5	0.08567	1.41757
charge_like	rate_setting_6	0.10748	1.52906
charge_like	rate_setting_7	0.10748	1.57058
charge_like	rate_setting_1	0.04804	0.96781
charge_like	rate_setting_2	0.10745	1.08002
charge_like	rate_setting_3	0.1076	1.16419
charge_like	rate_setting_4	0.12926	1.28064
charge_like	rate_setting_5	0.21442	1.53113
charge_like	rate_setting_6	0.21549	1.67001
charge_like	rate_setting_7	0.21549	1.71153
charge_like	rate_setting_1	0.0805	1.02074
charge_like	rate_setting_2	0.15077	1.13603
charge_like	rate_setting_3	0.18826	1.2319
charge_like	rate_setting_4	0.22674	1.35819
charge_like	rate_setting_5	0.30179	1.61422
charge_like	rate_setting_6	0.37717	1.74264
charge_like	rate_setting_7	0.37717	1.78416
charge_like	rate_setting_1	0.12869	1.06445
charge_like	rate_setting_2	0.21495	1.18342
charge_like	rate_setting_3	0.26968	1.2876
charge_like	rate_setting_4	0.29087	1.42159
charge_like	rate_setting_5	0.43079	1.67793
charge_like	rate_setting_6	0.53859	1.78635
charge_like	rate_setting_7	0.53859	1.82787
charge_like	rate_setting_1	0.17753	1.1023
charge_like	rate_setting_2	0.28028	1.22559
charge_like	rate_setting_3	0.32326	1.33715
charge_like	rate_setting_4	0.38816	1.47575
charge_like	rate_setting_5	0.51806	1.7244
charge_like	rate_setting_6	0.64765	1.81527
charge_like	rate_setting_7	0.64765	1.85679
charge_like	rate_setting_1	0.21004	1.13646
charge_like	rate_setting_2	0.32348	1.26375
charge_like	rate_setting_3	0.40432	1.38085
charge_like	rate_setting_4	0.48564	1.52346
charge_like	rate_setting_5	0.64714	1.75918
charge_like	rate_setting_6	0.80927	1.83497
charge_like	rate_setting_7	0.80927	1.87649
charge_like	rate_setting_1	0.25884	1.16785
charge_like	rate_setting_2	0.3889	1.29914
charge_like	rate_setting_3	0.45837	1.42086
charge_like	rate_setting_4	0.55098	1.56685
charge_like	rate_setting_5	0.73328	1.78626
charge_like	rate_setting_6	0.91738	1.84974
charge_like	rate_setting_7	0.91738	1.89126
charge_like	rate_setting_1	0.29102	1.19678
