summary_role	anonymous_rate_value	response_value	response_unit_role
efficiency	10.0	93.4141	percent
efficiency	20.0	90.9	percent
efficiency	30.0	88.78	percent
efficiency	50.0	84.22	percent
efficiency	80.0	80.0	percent
efficiency	100.0	77.06	percent
efficiency	200.0	67.22	percent
power	10.0	17.73	power_density
power	20.0	35.18	power_density
power	30.0	52.23	power_density
power	50.0	83.8	power_density
power	80.0	129.28	power_density
power	100.0	157.6	power_density
power	200.0	280.3	power_density
power	300.0	330.0	power_density
power	500.0	250.0	power_density
