condition_id	temperature_like_setting	rate_like_response
condition_block1_1	120.0	0.05782
condition_block1_2	120.0	0.82851
condition_block1_3	120.0	1.09726
condition_block1_4	120.0	0.3921
condition_block2_1	120.0	0.0
condition_block2_2	120.0	0.55916
condition_block2_3	120.0	1.01089
condition_block2_4	120.0	0.35167
condition_block1_1	140.0	0.20889
condition_block1_2	140.0	2.39661
condition_block1_3	140.0	1.0
condition_block1_4	140.0	0.64356
condition_block2_1	140.0	0.59741
condition_block2_2	140.0	3.51711
condition_block2_3	140.0	1.97162
condition_block2_4	140.0	1.03453
condition_block1_1	160.0	0.46871
condition_block1_2	160.0	5.14815
condition_block1_3	160.0	2.13202
condition_block1_4	160.0	1.10032
condition_block2_1	160.0	0.87376
condition_block2_2	160.0	7.43903
condition_block2_3	160.0	4.2744
condition_block2_4	160.0	2.1641
condition_block1_1	180.0	0.96375
condition_block1_2	180.0	9.99337
condition_block1_3	180.0	5.80837
condition_block1_4	180.0	2.09782
condition_block2_1	180.0	1.59763
condition_block2_2	180.0	15.47585
condition_block2_3	180.0	8.90949
condition_block2_4	180.0	4.44335
condition_block1_1	200.0	1.89378
condition_block1_2	200.0	19.45965
condition_block1_3	200.0	8.81663
condition_block1_4	200.0	3.73094
condition_block2_1	200.0	2.97097
condition_block2_2	200.0	30.0108
condition_block2_3	200.0	17.75659
condition_block2_4	200.0	8.54161
condition_block1_1	220.0	3.58763
condition_block1_2	220.0	34.27155
condition_block1_3	220.0	14.16305
condition_block1_4	220.0	6.46931
condition_block2_1	220.0	5.33688
condition_block2_2	220.0	49.9894
condition_block2_3	220.0	31.569
condition_block2_4	220.0	15.08516
condition_block1_1	240.0	6.60782
condition_block1_2	240.0	52.75
condition_block1_3	240.0	22.11354
condition_block1_4	240.0	10.55431
condition_block2_1	240.0	9.51582
condition_block2_2	240.0	69.98524
condition_block2_3	240.0	49.86398
condition_block2_4	240.0	24.28047
condition_block1_1	260.0	12.70706
condition_block1_2	260.0	70.43426
condition_block1_3	260.0	31.34104
condition_block1_4	260.0	16.20831
condition_block2_1	260.0	16.54382
condition_block2_2	260.0	82.01236
condition_block2_3	260.0	67.68387
condition_block2_4	260.0	36.09312
condition_block1_1	280.0	20.52878
condition_block1_2	280.0	82.67555
condition_block1_3	280.0	40.78143
condition_block1_4	280.0	23.21131
condition_block2_1	280.0	26.39014
condition_block2_2	280.0	89.78748
condition_block2_3	280.0	79.27782
condition_block2_4	280.0	49.7219
condition_block1_1	300.0	31.49663
condition_block1_2	300.0	89.0455
condition_block1_3	300.0	48.72742
condition_block1_4	300.0	32.46847
condition_block2_1	300.0	40.50495
condition_block2_2	300.0	92.52427
condition_block2_3	300.0	85.25282
condition_block2_4	300.0	63.17148
condition_block1_1	320.0	45.39581
condition_block1_2	320.0	91.19576
condition_block1_3	320.0	54.33086
condition_block1_4	320.0	43.41299
condition_block2_1	320.0	57.43316
condition_block2_2	320.0	93.01486
condition_block2_3	320.0	87.46519
condition_block2_4	320.0	74.56195
