condition_id	temperature_like_setting	rate_like_response
condition_block1_1	120.0	0.0
condition_block1_2	120.0	0.55916
condition_block1_4	120.0	0.0
condition_block1_5	120.0	0.55916
condition_block1_1	140.0	0.54194
condition_block1_2	140.0	1.01852
condition_block1_4	140.0	0.59741
condition_block1_5	140.0	3.51711
condition_block1_1	160.0	0.80983
condition_block1_2	160.0	1.66505
condition_block1_4	160.0	0.87376
condition_block1_5	160.0	7.43903
condition_block1_1	180.0	1.41905
condition_block1_2	180.0	3.11705
condition_block1_4	180.0	1.59763
condition_block1_5	180.0	15.47585
condition_block1_1	200.0	2.65818
condition_block1_2	200.0	5.95098
condition_block1_4	200.0	2.97097
condition_block1_5	200.0	30.0108
condition_block1_1	220.0	4.49013
condition_block1_2	220.0	10.5204
condition_block1_4	220.0	5.33688
condition_block1_5	220.0	49.9894
condition_block1_1	240.0	7.63757
condition_block1_2	240.0	17.32959
condition_block1_4	240.0	9.51582
condition_block1_5	240.0	69.98524
condition_block1_1	260.0	12.74143
condition_block1_2	260.0	25.57858
condition_block1_4	260.0	16.54382
condition_block1_5	260.0	82.01236
condition_block1_1	280.0	20.77554
condition_block1_2	280.0	34.73245
condition_block1_4	280.0	26.39014
condition_block1_5	280.0	89.78748
condition_block1_1	300.0	30.61764
condition_block1_2	300.0	43.94038
condition_block1_4	300.0	40.50495
condition_block1_5	300.0	92.52427
condition_block1_1	320.0	45.64482
condition_block1_2	320.0	52.74008
condition_block1_4	320.0	57.43316
condition_block1_5	320.0	93.01486
