input_axis_index	replicate_id	fit_error
0	1	0.12505398172412735
0	2	0.12518635275763815
0	3	0.11466056803106152
1	1	0.13784983867808792
1	2	0.14252814636136363
1	3	0.11763334741520878
2	1	0.157572418055826
2	2	0.15623294516969624
2	3	0.13477797140880235
3	1	0.15002498913780593
3	2	0.14236787195914338
3	3	0.11853753698993767
4	1	0.12305690834842231
4	2	0.12360975446808563
4	3	0.11922499290031216
5	1	0.12231056612633212
5	2	0.11993350028685043
5	3	0.10753775208735496
6	1	0.13056939403577886
6	2	0.13679708555022815
6	3	0.12339943023408251
