input_axis_1_index	input_axis_2_index	signal_bin_index	output_channel_index	replicate_id	response_value
0	0	0	0	1	7172.112915175738
0	0	0	0	2	5691.723533232238
0	0	0	0	3	6360.684341883178
0	0	0	1	1	11599.182018251107
0	0	0	1	2	8475.05557760732
0	0	0	1	3	10556.142440313064
0	0	0	2	1	10429.496340795919
0	0	0	2	2	7417.787322643434
0	0	0	2	3	8645.467401952075
0	0	0	3	1	11624.72774702684
0	0	0	3	2	8151.177567138321
0	0	0	3	3	9757.213501688355
0	0	0	4	1	17194.12781666994
0	0	0	4	2	11157.576468863524
0	0	0	4	3	13509.919036836338
0	0	0	5	1	34692.723505237045
0	0	0	5	2	25764.736230598217
0	0	0	5	3	28527.97554312624
0	0	0	6	1	171677.053169608
0	0	0	6	2	168016.94297739776
0	0	0	6	3	114638.60191375847
0	0	1	0	1	6673.021324393221
0	0	1	0	2	4668.960369996705
0	0	1	0	3	5800.0169116889665
0	0	1	1	1	10527.160456038344
0	0	1	1	2	6719.102629176447
0	0	1	1	3	10015.996005953724
0	0	1	2	1	9387.97537232166
0	0	1	2	2	5867.323055584946
0	0	1	2	3	8097.930368926275
0	0	1	3	1	10915.753621633368
0	0	1	3	2	6737.010200656709
0	0	1	3	3	9120.12870292594
0	0	1	4	1	14927.210098961285
0	0	1	4	2	9881.091311262871
0	0	1	4	3	12780.576552448376
0	0	1	5	1	31528.434749497264
0	0	1	5	2	24019.349508906733
0	0	1	5	3	26994.187598751705
0	0	1	6	1	168875.2791345513
0	0	1	6	2	156403.0577240198
0	0	1	6	3	118444.90167313002
0	0	2	0	1	6412.9780922452
0	0	2	0	2	4906.027575144231
0	0	2	0	3	6066.027381328623
0	0	2	1	1	10312.146814501615
0	0	2	1	2	6737.038698006463
0	0	2	1	3	10327.359084293414
0	0	2	2	1	9153.396235015127
0	0	2	2	2	6275.250695495528
0	0	2	2	3	8335.523110712953
0	0	2	3	1	10592.587634112566
0	0	2	3	2	7209.799379367897
0	0	2	3	3	9679.372539162101
0	0	2	4	1	15249.459862194773
0	0	2	4	2	10476.192973342968
0	0	2	4	3	13728.285145395115
0	0	2	5	1	30294.213130706878
0	0	2	5	2	26273.159515259482
0	0	2	5	3	27475.29734100256
0	0	2	6	1	158015.06836369407
0	0	2	6	2	162637.01233630587
0	0	2	6	3	127932.26804711415
0	0	3	0	1	7466.815024839079
0	0	3	0	2	4904.337114906619
0	0	3	0	3	6078.637638006059
0	0	3	1	1	12466.490488257314
0	0	3	1	2	6975.3417267175355
0	0	3	1	3	9770.175555528735
0	0	3	2	1	10648.651856036764
0	0	3	2	2	6320.913015268427
0	0	3	2	3	8319.906228629676
0	0	3	3	1	11997.694444429257
0	0	3	3	2	7343.553931574816
0	0	3	3	3	9379.01483905442
0	0	3	4	1	16452.571197202946
0	0	3	4	2	10489.89382090146
0	0	3	4	3	13015.595890496852
0	0	3	5	1	39597.82047445186
0	0	3	5	2	24596.788669125017
0	0	3	5	3	27056.91248796967
0	0	3	6	1	187720.61907797147
0	0	3	6	2	130325.5604765115
0	0	3	6	3	124659.4392544322
0	0	4	0	1	6386.442049738878
0	0	4	0	2	4928.358727256069
0	0	4	0	3	6045.895394282579
0	0	4	1	1	10542.018348829262
0	0	4	1	2	6982.533105026202
0	0	4	1	3	10224.572325096366
0	0	4	2	1	9136.59803569557
0	0	4	2	2	6362.844674150378
0	0	4	2	3	8362.35005605824
0	0	4	3	1	10353.844493966964
0	0	4	3	2	7219.757951973121
0	0	4	3	3	9497.85711276469
0	0	4	4	1	15153.25016452326
0	0	4	4	2	10546.17048233484
0	0	4	4	3	13712.661612621558
0	0	4	5	1	32558.55369078467
0	0	4	5	2	25207.73183242958
0	0	4	5	3	27737.741311669277
0	0	4	6	1	159299.17438681217
0	0	4	6	2	145799.22939954157
0	0	4	6	3	121698.9905503252
0	0	5	0	1	6677.3494863194455
0	0	5	0	2	4923.710542393861
0	0	5	0	3	6063.146448125567
0	0	5	1	1	11599.39075879416
0	0	5	1	2	6962.033874382125
0	0	5	1	3	10282.915379049324
0	0	5	2	1	9394.267967091522
0	0	5	2	2	6290.092518136892
0	0	5	2	3	8548.33527833651
0	0	5	3	1	11011.156652725547
0	0	5	3	2	7128.098933280514
0	0	5	3	3	9453.740588012723
0	0	5	4	1	15735.208034876188
0	0	5	4	2	10634.931916165282
0	0	5	4	3	13154.5794989976
0	0	5	5	1	34250.71916303232
0	0	5	5	2	24816.72514704521
0	0	5	5	3	27216.211089312783
0	0	5	6	1	165886.723964104
0	0	5	6	2	137098.5574454891
0	0	5	6	3	127429.78970932456
0	0	6	0	1	7709.229370402263
0	0	6	0	2	4943.8752672392875
0	0	6	0	3	6072.474947687137
0	0	6	1	1	12727.778494399376
0	0	6	1	2	7470.7547507596855
0	0	6	1	3	10027.491940010455
0	0	6	2	1	10686.53339078177
0	0	6	2	2	6395.011323677459
0	0	6	2	3	8399.477784938577
0	0	6	3	1	11953.841374004407
0	0	6	3	2	7281.332847769044
0	0	6	3	3	9451.008139227662
0	0	6	4	1	18114.74698151351
0	0	6	4	2	10511.15689507462
0	0	6	4	3	12894.68565636786
0	0	6	5	1	39049.43744425872
0	0	6	5	2	25708.955590292855
0	0	6	5	3	26191.74331726255
0	0	6	6	1	157660.80492911194
0	0	6	6	2	136487.67779951016
0	0	6	6	3	112107.97315352791
0	0	7	0	1	6673.948784138353
0	0	7	0	2	5154.6225381648155
0	0	7	0	3	6064.593640449204
0	0	7	1	1	11285.168341646035
0	0	7	1	2	7247.096033021544
0	0	7	1	3	10782.28515656478
0	0	7	2	1	9417.455378639894
0	0	7	2	2	6536.6159502829505
0	0	7	2	3	8495.252115254396
0	0	7	3	1	11057.815698822244
0	0	7	3	2	7413.091560716273
0	0	7	3	3	9531.81218293518
0	0	7	4	1	15462.093227561525
0	0	7	4	2	10333.469684407737
0	0	7	4	3	13554.639750612712
0	0	7	5	1	33306.00058366619
0	0	7	5	2	24126.911867168143
0	0	7	5	3	27866.140694627884
0	0	7	6	1	142105.08791187336
0	0	7	6	2	143559.42539376882
0	0	7	6	3	122834.54201652114
0	1	0	0	1	8715.098009772993
0	1	0	0	2	6971.2336531416795
0	1	0	0	3	7872.028840958299
0	1	0	1	1	13904.502420296565
0	1	0	1	2	10581.69841590465
0	1	0	1	3	14991.484328425711
0	1	0	2	1	12498.56478461336
0	1	0	2	2	9170.836161979705
0	1	0	2	3	10778.33716268925
0	1	0	3	1	14629.887720715764
0	1	0	3	2	9888.662584213449
0	1	0	3	3	12066.497468317119
0	1	0	4	1	20331.213243345806
0	1	0	4	2	13035.363118850255
0	1	0	4	3	15665.364586814174
0	1	0	5	1	35078.56325843054
0	1	0	5	2	24267.200200590836
0	1	0	5	3	27960.747448050675
0	1	0	6	1	100047.9077242129
0	1	0	6	2	154865.90854918442
0	1	0	6	3	109119.74491934973
0	1	1	0	1	7378.584914974202
0	1	1	0	2	5650.31352030851
0	1	1	0	3	7309.506601710373
0	1	1	1	1	12538.220989321382
0	1	1	1	2	8980.4101944533
0	1	1	1	3	13170.367254182805
0	1	1	2	1	12376.576881759633
0	1	1	2	2	6969.436175761164
0	1	1	2	3	10725.020058898619
