region_index	coord_x	coord_y	coord_z	annotation_1	annotation_2	annotation_3	annotation_4	annotation_5
0	-35.222542	-38.429971	-21.574463	1.210010111305845	-0.03037197128206959	0.4999996348958951	1.734933369253457	3.886453022317188
1	-36.56829	-54.683807	-17.885848	1.251842661394571	0.01678915091512452	0.482235875891259	1.78538120046365	3.585763371572262
2	-27.710723	-44.208237	-14.731203	1.261947491131872	-0.01759617828733564	0.5705639913687142	1.810840327132405	3.630625255224182
3	-28.698398	-36.336251	-14.740993	1.220099830957616	-0.0392123538567929	0.5232627748092228	1.711798133904584	3.215273959607613
4	-27.898998	-61.177898	-12.501398	1.386537459785626	-2.744899834335702e-05	0.4910180220530072	1.859665363413947	3.331922542031218
5	-32.509224	-70.987118	-14.171903	1.310946874781806	0.0319636293184298	0.4584139822898564	1.832350879907372	3.319484205507651
6	-40.953139	-70.78031	-12.074942	1.328740172207174	0.02732615008273344	0.4697118378418481	1.747343252238802	3.230964398965603
7	-25.530163	-58.745934	-7.992435	1.534840812382731	0.01804619453310876	0.5022734906605636	1.851978676732948	2.976772678334539
8	-21.761571	-75.962397	-9.166419	1.664564515057979	0.05294505393267809	0.4602694834835585	1.905316122675937	2.864964852245842
9	-36.024924	-81.342358	-13.469804	1.295782714912482	0.04159605526288815	0.4169226045643194	1.806376453935496	3.165900084303646
10	-16.758967	-37.354465	-10.996143	1.012954343325676	0.01071389595114392	0.3251398180286782	2.030708041949639	3.173567272904442
11	-21.026887	-86.430496	-12.368936	1.395594730023146	0.05865466987648756	0.3993528100451061	1.924673045286042	2.641184600388132
12	-22.135271	-49.255067	-7.118304	1.497685359013358	0.03361828084265954	0.464186552319019	1.873930745585811	3.091548475550442
13	-33.809082	-87.709583	-11.886291	1.140619088111628	0.04970497874680021	0.2626166512566803	1.844979058642739	3.011344373953052
14	-11.857447	-83.80131	-11.564783	1.493801423706265	0.05547501212578916	0.3621851978028693	1.99389910462571	2.650161275049535
15	-42.338466	-74.385177	-5.048548	1.417669446859904	0.02004672519746705	0.4977935446606604	1.737187866770055	3.150335944280392
16	-10.153102	-76.357557	-5.907657	1.547337513576456	0.07349800312585737	0.3730471980115521	2.025793520902994	2.674006807004533
17	-12.504901	-63.786026	-3.36142	1.52971059051563	0.06689255582105269	0.3797915103535661	2.033518700841833	2.890428655031251
18	-14.615402	-51.112143	-6.507004	1.374572863945003	0.03281627218314376	0.3054074937657257	2.020987198565907	3.072027267842758
19	-9.26299	-94.683936	-11.524535	1.081375959210976	0.06596780813695066	0.2062347537076089	2.036640509941061	2.334753451187436
20	-12.90135	-40.214649	-4.895456	1.107688873183055	-0.04202232284894802	0.2310455241845673	2.162653208414387	2.685310006868549
21	-22.85548	-96.002534	-8.812444	1.324383384948878	0.06554246393499473	0.3045065166040474	1.983212929913024	2.487077973237852
22	-38.681569	-86.047684	-2.702071	1.502998832626786	0.05098075697913804	0.3648568711616772	1.816719874782228	3.054907050074601
23	-3.796306	-87.185849	-6.614458	1.347984153566558	0.07010573726714092	0.3313330013802207	2.09684073155801	2.336223394042108
24	-4.008716	-72.608208	1.79681	1.600762973992318	0.0855732140384238	0.4271489069953482	2.141408475121381	2.366901189815708
25	-9.057246	-59.519261	2.904358	1.681749274143771	0.06103288044400568	0.3748506360304457	2.17204276792146	2.48282945228786
26	-28.992898	-91.614479	0.333177	1.565168516299295	0.07734776394332604	0.4179406976518382	1.896971461116751	2.564206578382632
27	-14.39606	-47.702117	-2.436491	1.582326481446097	-0.01876577573674025	0.4196748928276607	2.012408577404607	2.728818576873802
28	-43.704704	-75.78761	5.249951	1.500509093377541	0.03898303308408953	0.4826960711770301	1.837584508498461	2.958574114776239
