region_index	coord_x	coord_y	coord_z	annotation_1
0	5825	6425	3440	-0.03407298333218878
1	4500	2075	5340	-0.06767661186889762
2	5000	2400	5415	-0.04164328698898483
3	4200	5750	4490	-0.05101892710790845
4	6075	3550	4890	0.1039661185792708
5	6125	6300	5115	-0.02330135301045585
6	3375	4350	3015	-0.11346179212816
7	5700	5125	1565	-0.1705922171803685
8	3825	4925	2940	-0.1301366532990033
9	12000	6775	4340	0.1040612226602423
10	6150	4450	4990	0.004870645200255918
11	6100	4825	4865	-0.006842158179076126
12	11875	3025	2665	0.07965585099291156
13	1850	3650	4515	0.0394223504761459
14	2750	5200	4515	0.03381426515643945
15	7925	3325	4440	0.001068892731990166
16	7025	7025	5465	0.05955565480540211
17	7725	2400	1665	-0.1524279528149142
18	7650	2925	1190	-0.1533285207733658
19	7300	3675	1090	-0.1685608453997193
20	6050	3875	4615	0.08361540013896242
21	7250	5925	2390	-0.1285272527887663
22	6975	6425	2915	-0.09895994378122538
23	5475	5225	4690	-0.009235970307165308
24	8150	2375	2665	-0.02623511479594129
25	7300	2450	3115	-0.0005232875810201022
26	7900	3675	2565	-0.03804599830467708
27	6525	5725	2965	-0.05335979787110383
28	10950	3025	5090	0.06600912405980457
29	6925	3525	4665	-0.005896436194493568
30	4625	4625	2640	-0.08972194605904388
31	8975	4825	5590	0.0375715967877476
32	6725	4575	5415	-0.008201858002703446
33	6275	7175	3190	-0.0001366637734610032
34	7750	6700	2965	-0.04170001816645375
35	5150	4325	3165	-0.02082077857004474
36	9525	5325	5565	0.02112712050025115
37	11500	2150	4540	0.08464793150355643
38	10025	3575	4415	0.02997711608094603
39	11250	4925	3190	0.08180522142420288
40	8300	2625	3540	-0.02690502159607881
41	6975	6025	5265	-0.008460080694447874
42	11275	4250	3115	0.09360732877938714
43	3600	4325	5240	-0.06375096613856503
44	9575	3775	5615	-0.01015069948073513
45	8900	3700	1365	-0.1068847110577761
46	9100	5050	1290	-0.1410348669246997
47	9800	4325	2365	-0.05327168964130905
48	4875	5475	2590	-0.1025931999548791
49	6650	6350	2315	-0.09204944925191498
50	10450	5075	2590	0.1083052330945385
51	11775	3650	4765	0.1059447591457628
52	2050	2900	4615	0.06528581335665457
53	5300	6100	3390	-0.02674653353478211
54	5925	4825	3415	0.01799223096430838
55	6450	5075	3415	0.04496179171775794
56	11550	6275	5215	0.0757796347744391
57	4100	4350	2240	-0.1437069629874492
58	6550	6300	2890	-0.06462427868535393
59	10425	2025	4665	0.02080862321118691
60	10425	1400	5165	0.07026669153469092
61	10000	2550	4190	0.04554756220981528
62	3550	3750	5190	-0.05362541518305338
63	7100	4075	5615	-0.006757134461908011
64	12025	7350	5165	0.1162818609083308
65	11450	3825	3965	0.1000626356500612
66	8625	5600	5490	0.03759505402620727
67	11875	6075	4565	0.05671950918181595
68	7325	5275	2040	-0.1166996138052994
69	11150	4925	4340	0.09737201473641002
70	6675	3175	4215	0.01733206416881821
71	7625	3275	3440	-0.02341777936860083
72	7675	3975	2940	0.01778225613072446
73	7025	3300	5190	0.01206678836779269
74	6700	6025	4590	-0.001994241843365756
75	7500	3050	4065	-0.0002880631770478169
76	5325	6300	4690	-0.007240733514128791
77	12525	7100	4465	0.09251025971496142
78	5150	3325	5165	0.01405566705477646
79	4475	4400	5190	-0.01282755786344688
80	5250	4600	5090	-0.009499770355972242
81	5275	6700	4040	-0.01533839415507697
82	11200	6925	5265	0.1003557730709839
83	6700	3950	5165	-0.00739559170874194
84	12800	5650	4365	0.02908241259313443
85	12675	6325	4940	0.06999532896973955
86	6975	6225	3490	-0.02824072476442716
87	5125	5850	5615	0.01280172885395755
88	8375	3475	3515	0.03816480663660275
89	8300	4025	3715	0.01343456541568816
90	8375	3900	3340	0.04551559352443906
91	6750	3075	5490	0.04488310286802292
92	7975	6175	5415	0.01485311068279349
93	1175	4650	4640	0.08963034002022648
94	3875	2125	4115	-0.0923812541825695
95	3525	2050	4815	-0.05507755611880617
96	5525	6450	5340	-0.01260297555135129
97	5250	6325	5115	-0.003127258505615034
98	7900	2925	5415	0.03652058686904793
99	8775	4075	4690	0.02319528477872047
100	4800	4900	5515	0.003955761489308638
101	11275	4775	4890	0.06439314497684508
102	4600	6525	5190	-0.0001613336975686523
103	10500	4925	5390	0.03172752417355792
104	9650	4575	3640	0.08611266289734927
105	6100	6950	3590	-0.006897653179042723
106	11925	4350	5065	0.1771365073853495
107	8175	2675	4390	0.00829665983045791
108	7850	3475	4965	-0.005664105670119652
109	12275	5150	4840	0.07604417642221517
110	3000	3950	4190	-0.02705820035650956
111	2800	3450	5290	-0.03127597831024193
112	2925	3900	4740	0.01129295583964546
113	4400	7125	4065	0.02151662584005854
114	7850	6200	3190	-0.09403035814676845
115	7275	7225	2665	-0.0346917990167963
116	9375	3300	5265	0.01249863927605044
117	9450	3950	2815	-0.02535166868990894
118	11400	5950	4340	0.05963815619562821
119	10350	4200	4090	0.02369641151521651
120	10625	4600	5215	0.03410711720301531
121	7875	4625	1115	-0.164728706390213
122	7425	3975	5040	-0.01216430008844489
123	11075	5375	1690	0.1081949712775619
124	8925	6500	5090	0.09635445835594814
125	11425	5500	5340	0.06572602655817698
126	11550	7200	4490	0.1071554115371639
127	7550	5500	5465	-0.006615968274114392
128	5650	6200	2265	-0.08870239075016946
129	3200	3000	5265	-0.07882630462403788
130	7575	6175	5190	-0.02419350400659262
131	7375	3725	4315	-0.0118049837672948
132	8325	3800	3940	0.01671835163785874
133	9275	2150	3665	0.04209045468927933
134	8475	4450	3490	0.02764828524630289
135	9700	4500	4415	0.02408876243241631
136	9375	3100	3065	0.0110522943529094
137	12475	4050	3065	0.1035306366349853
138	10300	5700	4990	0.04783565729618776
139	9600	5525	4815	0.05220112743996144
140	11425	5150	5440	0.07904703832132644
141	10250	5675	3640	0.06179185361281259
142	5850	4500	5340	-0.01099823341841216
143	7500	1075	3265	-0.09215983875179547
144	6050	5700	5515	0.002605951763775584
145	6150	3950	5590	-0.01433594274502161
146	7575	6750	5515	0.01124487890048566
147	5525	6150	5615	0.002979247526302727
148	12850	3500	5215	0.1058986810582207
149	6325	6975	5115	0.04021732689287458
150	6225	5250	5490	-0.01323309121582861
151	6550	4825	5515	-0.01226989891737879
152	10575	6350	5640	0.0462284407337359
153	8675	4625	4990	0.05021494116491473
154	9100	4550	4240	0.03357871337089074
