condition,metric,run,value_pct
None,total_fusion,1,90.9
None,total_fusion,2,86.5
None,total_fusion,3,90.69
None,total_fusion,4,88.87
None,total_fusion,5,87.17
None,fusion_first_two_frames,1,63.63
None,fusion_first_two_frames,2,66.66
None,fusion_first_two_frames,3,60.47
None,fusion_first_two_frames,4,63.64
None,fusion_first_two_frames,5,66.67
1: 200 SensorA,total_fusion,1,91.27
1: 200 SensorA,total_fusion,2,86.36
1: 200 SensorA,total_fusion,3,92.96
1: 200 SensorA,total_fusion,4,89.32
1: 200 SensorA,total_fusion,5,89.77
1: 200 SensorA,fusion_first_two_frames,1,64.28
1: 200 SensorA,fusion_first_two_frames,2,64.44
1: 200 SensorA,fusion_first_two_frames,3,62.5
1: 200 SensorA,fusion_first_two_frames,4,67.74
1: 200 SensorA,fusion_first_two_frames,5,68.42
1:2000 SensorB,total_fusion,1,88.37
1:2000 SensorB,total_fusion,2,86.04
1:2000 SensorB,total_fusion,3,83.33
1:2000 SensorB,total_fusion,4,91.66
1:2000 SensorB,total_fusion,5,88.46
1:2000 SensorB,fusion_first_two_frames,1,55.81
1:2000 SensorB,fusion_first_two_frames,2,44.19
1:2000 SensorB,fusion_first_two_frames,3,35.42
1:2000 SensorB,fusion_first_two_frames,4,58.33
1:2000 SensorB,fusion_first_two_frames,5,57.69
1:800 SensorB,total_fusion,1,84.61
1:800 SensorB,total_fusion,2,88.63
1:800 SensorB,total_fusion,3,94
1:800 SensorB,total_fusion,4,91.66
1:800 SensorB,total_fusion,5,83.33
1:800 SensorB,fusion_first_two_frames,1,15.38
1:800 SensorB,fusion_first_two_frames,2,20.45
1:800 SensorB,fusion_first_two_frames,3,20
1:800 SensorB,fusion_first_two_frames,4,20.83
1:800 SensorB,fusion_first_two_frames,5,30.56
1:400 SensorB,total_fusion,1,90
1:400 SensorB,total_fusion,2,84
1:400 SensorB,total_fusion,3,89.36
1:400 SensorB,total_fusion,4,90.9
1:400 SensorB,total_fusion,5,85.1
1:400 SensorB,fusion_first_two_frames,1,11.11
1:400 SensorB,fusion_first_two_frames,2,14.29
1:400 SensorB,fusion_first_two_frames,3,26.19
1:400 SensorB,fusion_first_two_frames,4,7.5
1:400 SensorB,fusion_first_two_frames,5,20
1:200 SensorB,total_fusion,1,87.97
1:200 SensorB,total_fusion,2,94.03
1:200 SensorB,total_fusion,3,92.05
1:200 SensorB,total_fusion,4,87.8
1:200 SensorB,total_fusion,5,87.87
1:200 SensorB,fusion_first_two_frames,1,5.71
1:200 SensorB,fusion_first_two_frames,2,9.3
1:200 SensorB,fusion_first_two_frames,3,4.08
1:200 SensorB,fusion_first_two_frames,4,19.51
1:200 SensorB,fusion_first_two_frames,5,3.03
