,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source block B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Included in bilayer ,Total Fusion,,,,,,,,Fusion in first two frames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,run1,run2,run3,run4,run5,Mean,S.D.,,run1,run2,run3,run4,run5,Mean,S.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,90.9,86.5,90.69,88.87,87.17,88.82,1.99,,63.63,66.66,60.47,63.64,66.67,64.21,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1: 200 SensorA,91.27,86.36,92.96,89.32,89.77,89.93,2.45,,64.28,64.44,62.5,67.74,68.42,65.48,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:2000 SensorB,88.37,86.04,83.33,91.66,88.46,87.57,3.1,,55.81,44.19,35.42,58.33,57.69,50.29,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:800 SensorB,84.61,88.63,94,91.66,83.33,88.44,4.53,,15.38,20.45,20,20.83,30.56,21.45,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:400 SensorB,90,84,89.36,90.9,85.1,87.87,3.1,,11.11,14.29,26.19,7.5,20,15.82,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:200 SensorB,87.97,94.03,92.05,87.8,87.87,89.94,2.91,,5.71,9.3,4.08,19.51,3.03,8.33,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source block C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Included in Bilayer,None,,,,,,,,,1:200 SensorA,,,,,,,,,1:2000 SensorB,,,,,,,,,1:800 SensorB,,,,,,,,,1:400 SensorB,,,,,,,,,1:200 SensorB,,,,,,,,,,,
,Fusion frequency %,,,,,,,,,Fusion frequency%,,,,,,,,,Fusion frequency%,,,,,,,,,Fusion frequency%,,,,,,,,,Fusion frequency%,,,,,,,,,Fusion frequency%,,,,,,,,,,,
,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,,,
,0.147,47.73,47.92,44.19,45.45,53.85,47.83,3.71,,0.147,47.62,46.67,45,48.39,55.26,48.59,3.94,,0.147,46.51,37.21,35.42,52.08,50,44.24,7.54,,0.147,15.38,18.18,16,20.83,30.56,20.19,6.18,,0.147,11.11,9.52,14.29,7.5,12.5,10.98,2.62,,0.147,5.71,4.65,4.08,14.63,3.03,6.42,4.69,,,,
,0.294,15.91,18.75,16.28,18.18,12.82,16.39,2.33,,0.294,16.67,17.78,17.5,19.35,13.16,16.89,2.3,,0.294,9.3,6.98,0,6.25,7.69,6.04,3.56,,0.294,0,2.27,4,0,0,1.25,1.82,,0.294,0,4.76,11.9,0,7.5,4.83,5.1,,0.294,0,4.65,0,4.88,0,1.91,2.61,,,,
,0.441,15.91,6.25,2.33,6.06,7.69,7.65,5.03,,0.441,16.67,6.67,2.5,6.45,7.89,8.04,5.23,,0.441,4.65,9.3,12.5,4.17,0,6.12,4.85,,0.441,10.26,4.55,6,0,11.11,6.38,4.52,,0.441,2.78,4.76,4.76,5,0,3.46,2.13,,0.441,0,11.63,6.12,4.88,0,4.53,4.85,,,,
,0.588,2.27,0,6.98,0,5.13,2.88,3.11,,0.588,2.38,0,7.5,0,5.26,3.03,3.31,,0.588,6.98,2.33,2.08,2.08,3.85,3.46,2.1,,0.588,2.56,2.27,6,4.17,2.78,3.56,1.55,,0.588,5.56,14.29,7.14,0,2.5,5.9,5.44,,0.588,0,6.98,8.16,4.88,0,4,3.84,,,,
,0.735,4.55,8.33,4.65,0,0,3.51,3.55,,0.735,4.76,8.89,5,0,0,3.73,3.78,,0.735,0,6.98,2.08,2.08,1.92,2.61,2.59,,0.735,2.56,0,4,4.17,2.78,2.7,1.67,,0.735,5.56,4.76,2.38,0,0,2.54,2.6,,0.735,2.86,4.65,6.12,7.32,3.03,4.8,1.94,,,,
