,,,,,,,,,,,,,,,,,,,,,
Source block A,,,,,,,,,,,,,,,,,,,,,
,Survival Analysis,,,,,,,,,,,,,,,,,,,,
Included in Bilayer ,None,,,,,,,1:800 SensorB,,,,,,,1:200 SensorB,,,,,,
,Survival Percentage %,,,,,,,Survival Percentage %,,,,,,,Survival Percentage %,,,,,,
,bins (s),run1,run2,run3,Mean,S.D.,,bins (s),run1,run2,run3,Mean,S.D.,,bins (s),run1,run2,run3,Mean,S.D.,
,0,100,100,100,100,0,,0,100,100,100,100,0,,0,100,100,100,100,0,
,0.147,52.17,52.27,54.88,53.11,1.54,,0.147,99.15,92.69,98.62,96.82,3.58,,0.147,99.15,98.15,92.36,96.55,3.67,
,0.294,35.79,44.26,33.29,37.78,5.75,,0.294,87.22,80.29,91.02,86.18,5.44,,0.294,99.15,98.15,92.36,96.55,3.67,
,0.441,28.14,29.86,29.72,29.24,0.96,,0.441,83.42,73.81,87.59,81.61,7.06,,0.441,98.65,98.15,92.36,96.38,3.5,
,0.588,25.26,29.84,27.69,27.6,2.29,,0.588,77.32,72.46,83.39,77.72,5.47,,0.588,95.57,97.99,92.36,95.31,2.83,
,0.735,21.76,23.11,21.91,22.26,0.74,,0.735,68.88,63.78,74.72,69.13,5.47,,0.735,95.57,97.99,92.36,95.31,2.83,
,0.882,18.73,22.18,20.56,20.49,1.72,,0.882,60.35,59.48,58.4,59.41,0.98,,0.882,95.57,97.99,92.36,95.31,2.83,
,1.029,17.52,20.1,19.93,19.18,1.44,,1.029,56.97,56.46,56.45,56.63,0.3,,1.029,95.57,97.99,92.36,95.31,2.83,
,1.176,16.46,18.52,17.06,17.35,1.06,,1.176,55.64,56.24,55,55.63,0.62,,1.176,95.57,97.99,92.36,95.31,2.83,
,1.323,13.58,15.46,15.01,14.68,0.98,,1.323,53.75,54.58,51.48,53.27,1.61,,1.323,95.57,96.94,92.36,94.96,2.35,
,1.47,13.58,15.34,14.97,14.63,0.93,,1.47,49.57,49.16,49.68,49.47,0.27,,1.47,95.57,96.94,92.36,94.96,2.35,
,1.617,13.58,14.61,14.9,14.36,0.7,,1.617,47.69,45.66,46.22,46.52,1.05,,1.617,94.69,96.94,92.36,94.66,2.29,
,1.764,13.06,13.3,14.32,13.56,0.67,,1.764,45.83,44.95,45.29,45.36,0.44,,1.764,93.83,96.94,92.36,94.38,2.34,
,1.911,12.09,12.37,14.29,12.91,1.2,,1.911,40.98,41.23,40.17,40.79,0.55,,1.911,92.98,96.94,92.36,94.09,2.49,
,2.058,11.62,12.14,14.12,12.63,1.32,,2.058,38.98,40.66,40.04,39.89,0.85,,2.058,92.98,96.94,92.36,94.09,2.49,
,2.205,11.62,11.06,12.85,11.84,0.91,,2.205,38.87,40.1,39.86,39.61,0.65,,2.205,92.98,95.51,92.36,93.62,1.67,
,2.352,11.62,11,12.85,11.82,0.94,,2.352,38.87,39.96,39.72,39.52,0.57,,2.352,92.98,95.51,92.36,93.62,1.67,
,2.499,11.62,10.64,12.85,11.7,1.11,,2.499,38.87,39.83,39.64,39.45,0.51,,2.499,92.98,95.51,92.36,93.62,1.67,
,2.646,11.62,10.59,12.85,11.69,1.13,,2.646,38.87,39.71,39.61,39.4,0.46,,2.646,92.98,95.51,92.36,93.62,1.67,
,2.793,11.62,10.59,12.85,11.69,1.13,,2.793,38.87,39.44,38.97,39.09,0.3,,2.793,92.98,95.51,92.36,93.62,1.67,
,2.94,11.17,10.59,12.85,11.53,1.17,,2.94,38.87,39.38,38.8,39.02,0.32,,2.94,92.98,95.51,92.36,93.62,1.67,
,3.087,11.17,10.59,12.85,11.53,1.17,,3.087,38.87,39.14,38.68,38.9,0.23,,3.087,92.98,95.51,92.36,93.62,1.67,
,3.234,11.17,10.59,12.85,11.53,1.17,,3.234,38.87,39.1,38.51,38.83,0.29,,3.234,92.98,95.51,92.36,93.62,1.67,
,3.381,11.17,10.59,12.85,11.53,1.17,,3.381,38.87,39.07,38.38,38.78,0.35,,3.381,92.98,95.51,92.36,93.62,1.67,
,3.528,11.17,10.59,12.85,11.53,1.17,,3.528,38.87,38.95,38.17,38.67,0.43,,3.528,92.62,95.51,92.36,93.5,1.75,
,3.675,11.17,10.59,12.85,11.53,1.17,,3.675,38.87,38.89,38.01,38.59,0.5,,3.675,92.62,95.51,92.36,93.5,1.75,
,3.822,11.17,10.59,12.85,11.53,1.17,,3.822,38.87,38.78,37.89,38.51,0.54,,3.822,92.62,95.51,92.36,93.5,1.75,
,3.969,11.17,10.59,12.85,11.53,1.17,,3.969,36.87,38.68,37.74,37.76,0.9,,3.969,92.62,95.51,92.36,93.5,1.75,
,4.116,11.17,10.59,12.85,11.53,1.17,,4.116,36.87,38.64,37.67,37.73,0.89,,4.116,92.62,95.51,92.36,93.5,1.75,
,4.263,11.17,10.59,12.85,11.53,1.17,,4.263,36.87,38.61,37.67,37.72,0.87,,4.263,92.62,95.51,92.36,93.5,1.75,
,4.41,11.17,10.59,12.85,11.53,1.17,,4.41,36.87,38.55,37.67,37.7,0.84,,4.41,92.62,94.61,92.36,93.2,1.23,
,4.557,11.17,10.59,12.85,11.53,1.17,,4.557,36.87,37.93,37.67,37.49,0.55,,4.557,92.62,93.58,92.36,92.85,0.64,
,4.704,11.17,10.59,12.85,11.53,1.17,,4.704,36.87,37.04,37.67,37.19,0.42,,4.704,92.62,93.33,92.36,92.77,0.5,
