,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP PANEL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Included in Bilayer ,Total Fusion,,,,,,,,Fusion in first two frames,,,,,,,,,,,,,,,,,
,run1,run2,run3,run4,run5,Mean,S.D.,,run1,run2,run3,run4,run5,Mean,S.D.,,,,,,,,,,,
None,90.9,86.5,90.69,88.87,87.17,88.83,1.78,,63.64,66.67,60.47,63.64,66.67,64.21,2.59,,,,,,,,,,,
1: 800 SensorBDA,70.53,51.51,55.71,60.94,65.71,60.88,6.8,,53.7,42.3,39.34,48,53.62,47.39,5.32,,,,,,,,,,,
1:200 SensorBDA,18.87,21.79,14.97,18.77,18.87,18.65,2.17,,12.55,15.54,8.71,13.16,13.96,12.78,2.54,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTTOM PANEL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Included in bilayer,None,,,,,,,,,1:800 SensorBDA,,,,,,,,,1:200 SensorBDA,,,,,,,
,Fusion frequency %,,,,,,,,,Fusion frequency%,,,,,,,,,Fusion frequency%,,,,,,,
,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.
,0.147,47.73,47.92,44.19,45.45,53.85,47.83,3.71,,0.147,39.76,31.03,27.88,35.39,42.5,35.31,6.02,,0.147,11.11,12.09,7.14,12.23,13.13,11.14,2.35
,0.294,15.91,18.75,16.28,18.18,12.82,16.39,2.33,,0.294,13.95,11.27,11.45,12.61,11.12,12.08,1.2,,0.294,1.44,3.45,1.57,0.93,0.83,1.64,1.06
,0.441,15.91,6.25,2.33,6.06,7.69,7.65,5.03,,0.441,8.16,2.64,1.52,3.76,1.28,3.47,2.8,,0.441,1.44,1.28,1.7,0.36,1.08,1.17,0.51
,0.588,2.27,0,6.98,0,5.13,2.88,3.11,,0.588,1.01,1.15,0.35,0.93,0.04,0.7,0.48,,0.588,0.96,1.28,0,1.27,0.77,0.86,0.53
,0.735,4.55,8.33,4.65,0,0,3.51,3.55,,0.735,2.99,1.19,3.47,3.09,1.48,2.44,1.03,,0.735,1.44,0,1.7,0,1.04,0.83,0.8
,0.882,0,4.17,2.33,6.06,2.56,3.02,2.26,,0.882,1.63,1.87,5,1.88,5.39,3.15,1.87,,0.882,0.61,0.63,1.75,1.08,0,0.81,0.65
,1.029,0,0,0,6.06,0,1.21,2.71,,1.029,1.16,0.82,1.16,0.67,1.22,1.01,0.24,,1.029,0.48,0.54,0,0,1.06,0.41,0.44
,1.176,2.27,0,0,3.03,0,1.06,1.48,,1.176,0,1.46,0.69,1.12,0.45,0.75,0.57,,1.176,0,0,0,0,0,0,0
,1.323,0,2.08,9.3,3.03,0,2.88,3.82,,1.323,1.89,0.09,4.19,1.49,2.23,1.98,1.48,,1.323,0.42,0.95,0.52,1.24,0.03,0.63,0.47
,1.47,0,0,0,0,0,0,0,,1.47,0,0,0,0,0,0,0,,1.47,0,0,0,0,0,0,0
,1.617,0,0,0,0,0,0,0,,1.617,0,0,0,0,0,0,0,,1.617,0,0,0,0,0,0,0
,1.764,0,0,0,0,2.56,0.51,1.15,,1.764,0,0,0,0,0,0,0,,1.764,0.49,1.58,0.6,0.43,0.17,0.65,0.54
,1.911,0,0,2.33,0,2.56,0.98,1.34,,1.911,0,0,0,0,0,0,0,,1.911,0.49,0,0,1.22,0.77,0.5,0.52
,2.058,0,0,2.33,0,0,0.47,1.04,,2.058,0,0,0,0,0,0,0,,2.058,0,0,0,0,0,0,0
