,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP PANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Included in Bilayer ,Total fusion,,,,,,,,Fusion in first two frames,,,,,,,,,,,,,,,,,,
,,run1,run2,run3,run4,run5,Mean,S.D.,,run1,run2,run3,run4,run5,Mean,S.D.,,,,,,,,,,,,
,None,5.07,5.38,4.68,3.12,5.95,4.84,1.07,,3.25,2.35,1.85,1.18,3.43,2.41,0.95,,,,,,,,,,,,
,1: 800 SensorB,39.01,49.37,25.86,36.22,34.99,37.09,7.56,,12.5,14.86,10.14,10.03,14.95,12.5,2.16,,,,,,,,,,,,
,1:200 SensorB,72.43,87.89,62.71,70.09,73.75,73.37,8.2,,9.22,11.65,6.8,7.82,10.47,9.19,1.75,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTTOM PANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Included in bilayer,None,,,,,,,,,1:800 SensorB,,,,,,,,,1:200 SensorB,,,,,,,,
,,Fusion frequency %,,,,,,,,,Fusion frequency%,,,,,,,,,Fusion frequency%,,,,,,,,
,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,
,,0.147,2.19,0.29,1.68,0.95,1.2,1.26,0.72,,0.147,9.69,10.96,8.42,8.64,10.74,9.69,1.17,,0.147,7.53,9.64,6.33,6.3,7.78,7.52,1.22,
,,0.294,1.07,2.06,0.18,0.23,2.24,1.15,0.98,,0.294,2.81,3.9,1.72,1.38,4.21,2.81,1.26,,0.294,1.68,2.01,0.47,1.52,2.69,1.67,0.72,
,,0.441,0.64,1.45,0.17,0.57,0.39,0.64,0.48,,0.441,2.12,3.44,0.8,3.35,0.25,1.99,1.45,,0.441,5.52,6.32,4.72,4.52,5.13,5.24,0.64,
,,0.588,0,0,0.32,0.31,0.33,0.19,0.18,,0.588,2.42,3.7,1.13,0.08,0.59,1.59,1.47,,0.588,5.44,6.33,4.56,4.07,5.99,5.28,0.85,
,,0.735,0.29,0.59,0.33,0.14,0,0.27,0.22,,0.735,3.23,4.28,2.18,2.92,3.85,3.29,0.82,,0.735,5.26,6.72,3.8,3.13,5.09,4.8,1.25,
,,0.882,0.25,0,0.64,0.06,0.08,0.21,0.26,,0.882,2.76,3.75,1.77,3.49,1.5,2.65,1,,0.882,5.08,5.96,4.2,3.48,5.41,4.83,0.88,
,,1.029,0.1,0.33,0.12,0.17,0,0.14,0.12,,1.029,2.86,3.94,1.78,5.5,2.77,3.37,1.42,,1.029,3.35,4.2,2.49,3.64,3.66,3.47,0.56,
,,1.176,0,0.21,0.35,0.36,0,0.18,0.18,,1.176,1.99,2.89,1.09,1.61,1.69,1.86,0.67,,1.176,5.3,6.82,3.79,3.32,4.39,4.72,1.24,
,,1.323,0.24,0,0,0,0.19,0.09,0.12,,1.323,3.91,4.61,3.21,3.94,2.81,3.69,0.7,,1.323,2.5,3.28,3.71,3.03,3.38,3.18,0.41,
,,1.47,0,0,0,0,0,0,0,,1.47,0.42,0.83,0,0.2,1.12,0.51,0.46,,1.47,4.16,5.91,2.42,5.02,7.35,4.97,1.66,
,,1.617,0,0,0,0,0,0,0,,1.617,1.07,1.74,0.41,1.13,0.4,0.95,0.56,,1.617,2.74,4,1.48,3.34,1.22,2.56,1.07,
,,1.764,0.04,0.14,0.13,0.18,0.95,0.29,0.38,,1.764,2.46,3.21,1.71,1.56,3.7,2.53,0.93,,1.764,3.2,0,2.9,5.28,5.3,3.34,1.95,
,,1.911,0.08,0.19,0.3,0.12,0.23,0.19,0.09,,1.911,1.49,2.11,0.86,0.57,1.37,1.28,0.6,,1.911,2.53,2.8,2.26,3.31,2.82,2.74,0.35,
,,2.058,0.04,0.13,0,0.02,0.34,0.11,0.14,,2.058,0,0,0,0,0,0,0,,2.058,1.32,1.87,2.77,1.29,2.05,1.86,0.54,
,,2.205,0,0,0,0,0,0,0,,2.205,0,0,0,0,0,0,0,,2.205,2.25,2.94,1.56,2.46,3.02,2.45,0.53,
,,2.352,0,0,0,0,0,0,0,,2.352,0,0,0,0,0,0,0,,2.352,1.21,1.71,0.71,1.52,1.69,1.37,0.37,
,,2.499,0,0,0,0,0,0,0,,2.499,0,0,0,0,0,0,0,,2.499,1.63,0,2.92,1.71,1.3,1.51,0.94,
,,2.646,0,0,0,0,0,0,0,,2.646,0,0,0,0,0,0,0,,2.646,1.37,2.26,0.48,1.3,0,1.08,0.78,
,,2.793,0,0,0,0,0,0,0,,2.793,0,0,0,0,0,0,0,,2.793,1.32,1.87,3.77,2.12,0.24,1.87,1.15,
,,2.94,0.14,0,0.47,0,0,0.12,0.2,,2.94,0,0,0,0,0,0,0,,2.94,2.65,4.04,1.26,4.05,0.3,2.46,1.49,
,,3.087,0,0,0,0,0,0,0,,3.087,0,0,0,0,0,0,0,,3.087,0.36,0,0,0.39,0,0.15,0.18,
,,3.234,0,0,0,0,0,0,0,,3.234,0,0,0,0,0,0,0,,3.234,0.97,1.56,0.37,1.48,0.79,1.03,0.44,
,,3.381,0,0,0,0,0,0,0,,3.381,1.34,0,0.79,1.26,0,0.68,0.65,,3.381,0,0,0,0,0,0,0,
,,3.528,0,0,0,0,0,0,0,,3.528,0,0,0,0,0,0,0,,3.528,0.79,1.28,1.3,0.66,0.26,0.86,0.4,
,,3.675,0,0,0,0,0,0,0,,3.675,0,0,0,0,0,0,0,,3.675,0.36,0,0,0.79,0.54,0.34,0.31,
,,3.822,0,0,0,0,0,0,0,,3.822,0,0,0,0,0,0,0,,3.822,1.26,1.78,3.74,0.42,1.21,1.68,1.12,
,,3.969,0,0,0,0,0,0,0,,3.969,0,0,0,0,0,0,0,,3.969,0,0,0,0,0,0,0,
,,4.116,0,0,0,0,0,0,0,,4.116,0,0,0,0,0,0,0,,4.116,0,0,0,0,0,0,0,
,,4.263,0,0,0,0,0,0,0,,4.263,0,0,0,0,0,0,0,,4.263,0,0,0,0,0,0,0,
,,4.41,0,0,0,0,0,0,0,,4.41,0,0,0,0,0,0,0,,4.41,0.85,1.37,0.33,0.49,0.25,0.66,0.41,
,,4.557,0,0,0,0,0,0,0,,4.557,0,0,0,0,0,0,0,,4.557,0,0,0,0,0,0,0,
,,4.704,0,0,0,0,0,0,0,,4.704,0.45,0,0,0.58,0,0.21,0.29,,4.704,0.97,1.56,0.37,1.11,0.93,0.99,0.38,
,,4.851,0,0,0,0,0,0,0,,4.851,0,0,0,0,0,0,0,,4.851,0,0,0,0,0,0,0,
,,4.998,0,0,0,0,0,0,0,,4.998,0,0,0,0,0,0,0,,4.998,0,0,0,0,0,0,0,
,,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0,0,0,
,,5.292,0,0,0,0,0,0,0,,5.292,0,0,0,0,0,0,0,,5.292,0.42,0.83,0,0.35,0.41,0.4,0.26,
,,5.439,0,0,0,0,0,0,0,,5.439,0,0,0,0,0,0,0,,5.439,0,0,0,0,0,0,0,
,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,
,,5.733,0,0,0,0,0,0,0,,5.733,0,0,0,0,0,0,0,,5.733,0,0,0,0,0,0,0,
,,5.88,0,0,0,0,0,0,0,,5.88,0,0,0,0,0,0,0,,5.88,0.42,0.83,0,0,0.57,0.36,0.33,
