,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experimental Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 mg/ml (~16 µM) SensorB on Agarose beads ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30 µM CPX-FusionComplex complex,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Varying concentration of SensorA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HEPES, 140 mM KCl, pH 7.4 buffer containing 1% OG.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SensorA Conc (µM),Bound TargetSubunit Concentration (µM),,,,,,,,,,,,,,,,,,,,,,,,,,
,,run1,run2,run3,run4,mean,s.d.,,,,,,,,,,,,,,,,,,,,,
,0,13.79,14.52,12.05,14.94,13.82,1.27,,,,,,,,,,,,,,,,,,,,,
,2,11.57,13.14,9.99,10.94,11.41,1.32,,,,,,,,,,,,,,,,,,,,,
,5,5.41,6.54,6.28,3.29,5.38,1.47,,,,,,,,,,,,,,,,,,,,,
,10,3.34,4.3,2.37,3.06,3.27,0.8,,,,,,,,,,,,,,,,,,,,,
,20,2.15,3.39,0.91,2.21,2.17,1.01,,,,,,,,,,,,,,,,,,,,,
,30,1.32,2.45,0.19,1.42,1.35,0.92,,,,,,,,,,,,,,,,,,,,,
,40,0.96,1.65,0.18,1.12,0.98,0.6,,,,,,,,,,,,,,,,,,,,,
,50,0.74,1.14,0.02,1.27,0.79,0.56,,,,,,,,,,,,,,,,,,,,,
,60,0.42,0.49,0.44,0.47,0.46,0.03,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Representative Gel Image (Western Blot Analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,
