,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model Output (Complete Data),,,,,,Model Output (Select Data & Temporal blurring),,,,,,Experimental Data*,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time (sec),Calcium (µM),SensorA (Scheme 1),SensorB (Scheme 1),SensorB (Scheme 2),,Time (sec),Calcium (µM),SensorA (Scheme 1),SensorB (Scheme 1),SensorB (Scheme 2),,Time (sec),SensorA (survival percentage),,,,,,,SensorA (cumulative probability),,,,SensorB (survival percentage),,,,,,,SensorB (cumulative probability),,,,
,0,0,0,0,0,,0,0,0,0,0,,,run 1,run 2,run 3,run 4,run 5,mean,,,normalized,SD,,run 1,run 2,run 3,run 4,run 5,mean,,,normalized,SD,,
,0.020020000000000437,0.0109,3.01,3.623333333333333,3.473333333333333,,0.16,2.1737,34.92,35.48,4.441111111111112,,0,100,100,100,100,100,100,,0,0,0,,100,100,100,100,100,100,,0,0,0,,
,0.040039999999999965,0.3198,4.5266666666666655,5.443333333333333,5.223333333333334,,0.32,21.9782,68.25333333333333,68.81333333333333,8.614444444444446,,0.147,52.2727272727272,52.0833333333333,55.813953488372,54.5454545454545,46.1538461538461,52.1738629587466,,47.8261370412533,53.83825007894964,3.71258931929432,,94.2857142857142,95.3488372093023,95.9183673469387,85.3658536585366,96.9696969696969,93.5776938940378,,6.42230610596221,7.178501159623322,4.69193453305854,,
,0.0600600000000004,0.6288,4.553333333333334,5.456666666666667,5.253333333333334,,0.48,61.2545,100,100,13.815555555555555,,0.294,36.3636363636363,33.3333333333333,39.5348837209302,36.3636363636363,33.3333333333333,35.7857646229739,,64.214235377026,72.28645834127909,2.58614597271642,,94.2857142857142,90.6976744186046,95.9183673469387,80.4878048780487,96.9696969696969,91.6718515798007,,8.3281484201993,9.308747061497911,6.68887624996768,,
,0.08008010000000013,0.9378,4.59,5.473333333333334,5.276666666666666,,0.64,83.1172,100,100,20.872222222222224,,0.441,20.4545454545454,27.0833333333333,37.2093023255814,30.3030303030302,25.6410256410256,28.1382474115032,,71.8617525884967,80.89532724823445,6.19190112704276,,94.2857142857142,79.0697674418604,89.7959183673469,75.6097560975609,96.9696969696969,87.1461706324359,,12.853829367564,14.36730474976856,9.39165940012474,,
,0.10010010000000057,1.2467,4.64,5.486666666666666,5.3,,0.8,92.862,100,100,29.79444444444444,,0.588,18.1818181818181,27.0833333333333,30.2325581395348,30.3030303030302,20.5128205128205,25.2627120941074,,74.7372879058925,84.13233945758913,5.61514398057268,,94.2857142857142,72.0930232558139,81.6326530612244,70.7317073170731,96.9696969696969,83.1425589779045,,16.8574410220954,18.84232204582272,12.1836052726211,,
,0.12012010000000009,1.5557,4.6899999999999995,5.5,5.323333333333332,,0.96,96.2223,100,100,38.72555555555555,,0.735,13.6363636363636,18.7499999999999,25.5813953488372,30.3030303030302,20.5128205128205,21.7567219602103,,78.2432780397896,88.07905949981765,6.4069376437718,,91.4285714285714,67.4418604651162,75.5102040816326,63.4146341463414,93.9393939393939,78.3469328122111,,21.6530671877888,24.202609678265347,13.822041176367,,
,0.14014010000000052,1.8647,4.73,5.553333333333333,5.346666666666666,,1.12,97.9515,100,100,47.47222222222222,,0.882,13.6363636363636,14.5833333333333,23.2558139534883,24.2424242424242,17.9487179487179,18.7333306228655,,81.2666693771344,91.48251436731188,4.86364408129008,,82.8571428571428,65.1162790697674,67.3469387755102,51.2195121951219,87.8787878787878,70.883732155266,,29.1162678447339,32.544565618460325,14.7024526187543,,
,0.16016010000000006,2.1737,4.760000000000001,6.4399999999999995,5.37,,1.28,99.0825,100,100,54.87111111111111,,1.029,13.6363636363636,14.5833333333333,23.2558139534883,18.1818181818181,17.9487179487179,17.5212094107442,,82.4787905892557,92.84700853266534,3.78245949406825,,74.2857142857142,65.1162790697674,63.2653061224489,48.780487804878,87.8787878787878,67.8653150323193,,32.1346849676806,35.91838655751278,14.4456613983653,,
,0.1801801999999998,3.9568,5.426666666666667,20.523333333333333,5.390000000000001,,1.44,99.6633,100,100,61.702222222222225,,1.176,11.3636363636363,14.5833333333333,23.2558139534883,15.1515151515151,17.9487179487179,16.4606033501382,,83.5393966498617,94.0409409273495,4.46111811353518,,71.4285714285714,65.1162790697674,51.0204081632652,43.9024390243902,87.8787878787878,63.8692971129564,,36.1307028870435,40.3849159933165,17.3127309239783,,
,0.20020020000000022,6.3943,13.173333333333334,50.806666666666665,5.423333333333334,,1.6,99.6574,100,100,67.52111111111111,,1.323,11.3636363636363,12.4999999999999,13.953488372093,12.1212121212121,17.9487179487179,13.5774109611318,,86.4225890388681,97.28657276107165,2.61877291912745,,68.5714285714285,62.7906976744186,46.938775510204,41.4634146341463,75.7575757575757,59.1043784295546,,40.8956215704453,45.71088048799485,14.4892069074883,,
,0.22022020000000067,8.8319,38.64,81.42,5.536666666666667,,1.76,99.9465,100,100,72.57111111111111,,1.47,11.3636363636363,12.4999999999999,13.953488372093,12.1212121212121,17.9487179487179,13.5774109611318,,86.4225890388681,97.28657276107165,2.61877291912745,,57.1428571428571,55.8139534883721,40.8163265306122,41.4634146341463,66.6666666666666,52.3806436925309,,47.6193563074691,53.22630202200058,11.0846297553515,,
,0.24024020000000018,11.2695,69.62666666666667,98.83333333333333,5.826666666666666,,1.92,100,100,100,76.7622222222222,,1.617,11.3636363636363,12.4999999999999,13.953488372093,12.1212121212121,17.9487179487179,13.5774109611318,,86.4225890388681,97.28657276107165,2.61877291912745,,48.5714285714285,51.1627906976744,38.7755102040816,39.0243902439024,60.6060606060605,47.6280360646295,,52.3719639353704,58.538505894757705,9.14061726930801,,
,0.2602602000000006,13.707,93.62666666666667,100,6.34,,2.08,100,100,100,80.61444444444443,,1.764,11.3636363636363,12.4999999999999,13.953488372093,12.1212121212121,15.3846153846153,13.0645904483113,,86.9354095516886,97.86385875410576,1.60270280031214,,45.7142857142857,46.5116279069767,32.6530612244897,39.0243902439024,54.5454545454545,43.6897639270218,,56.3102360729781,62.94049026614784,8.26864773918355,,
,0.28028030000000037,16.1446,99.89666666666666,100,6.923333333333333,,2.24,100,100,100,83.96444444444444,,1.911,11.3636363636363,12.4999999999999,11.6279069767441,12.1212121212121,12.8205128205128,12.086653656421,,87.9133463435789,98.96472971756621,0.600791411752138,,40,37.2093023255814,28.5714285714285,36.5853658536585,45.4545454545454,37.5641284410428,,62.4358715589572,69.78738929494189,6.12667690551626,,
,0.30030029999999985,18.5822,100,100,7.51,,2.4,100,100,100,86.70222222222223,,2.058,11.3636363636363,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.6215373773513,,88.3784626226486,99.48831468799243,1.40571777303662,,40,34.8837209302325,26.5306122448979,36.5853658536585,36.3636363636363,34.872667078485,,65.1273329215149,72.7957570359727,5.02583004154557,,
,0.32032030000000034,21.9782,100,100,7.953333333333333,,2.56,100,100,100,88.74777777777778,,2.205,11.3636363636363,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.6215373773513,,88.3784626226486,99.48831468799243,1.40571777303662,,37.1428571428571,32.5581395348837,26.5306122448979,34.1463414634146,33.3333333333333,32.7422567438773,,67.2577432561226,75.17701274149834,3.88279975771644,,
,0.3403402999999998,27.155,100,100,8.346666666666668,,2.72,100,100,100,90.61222222222221,,2.352,11.3636363636363,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.6215373773513,,88.3784626226486,99.48831468799243,1.40571777303662,,28.5714285714285,27.906976744186,24.4897959183673,31.7073170731707,33.3333333333333,29.2017703280972,,70.7982296719027,79.13437407276743,3.4505108806911,,
,0.3603603000000003,32.3319,100,100,8.729999999999999,,2.88,100,100,100,92.14444444444443,,2.499,11.3636363636363,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.6215373773513,,88.3784626226486,99.48831468799243,1.40571777303662,,28.5714285714285,20.9302325581395,20.4081632653061,31.7073170731707,33.3333333333333,26.9900949602756,,73.0099050397243,81.60646337070335,6.02148716430681,,
,0.3803804,37.5087,100,100,9.223333333333333,,3.04,100,100,100,93.56222222222222,,2.646,11.3636363636363,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.6215373773513,,88.3784626226486,99.48831468799243,1.40571777303662,,25.7142857142857,18.6046511627907,20.4081632653061,31.7073170731707,33.3333333333333,25.9535501097773,,74.0464498902226,82.76505629488612,6.56471463840055,,
,0.40040040000000043,42.6855,100,100,9.77,,3.2,100,100,100,94.73333333333333,,2.793,11.3636363636363,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.6215373773513,,88.3784626226486,99.48831468799243,1.40571777303662,,22.8571428571428,16.2790697674418,16.3265306122448,29.2682926829268,33.3333333333333,23.6128738506179,,76.387126149382,85.38133570658836,7.64718419054097,,
,0.42042039999999997,47.8624,100,100,10.553333333333333,,3.36,100,100,100,95.78777777777776,,2.94,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,20,11.6279069767442,12.2448979591836,29.2682926829268,24.2424242424242,19.4767043722557,,80.5232956277442,90.00451886026228,7.62829880105233,,
,0.4404404000000004,53.0392,100,100,11.316666666666665,,3.52,100,100,100,96.69111111111111,,3.087,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,17.1428571428571,11.6279069767442,10.204081632653,26.8292682926829,24.2424242424242,18.0093076574723,,81.9906923425276,91.6446943431657,7.39996642575251,,
,0.46046039999999994,58.2007,100,100,12.049999999999999,,3.68,100,100,100,97.54888888888888,,3.234,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,14.2857142857142,11.6279069767442,10.204081632653,26.8292682926829,24.2424242424242,17.4378790860437,,82.5621209139562,92.2834058270101,7.59143877094054,,
,0.4804805000000006,61.2545,100,100,12.520000000000001,,3.84,100,100,100,98.17666666666668,,3.381,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,9.30232558139536,10.204081632653,26.8292682926829,21.2121212121211,15.7952736294848,,84.2047263705151,94.11942002193689,7.80351149119876,,
,0.5005005000000001,64.3083,100,100,13.053333333333333,,4,100,100,100,98.69111111111111,,3.528,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,8.16326530612243,26.8292682926829,18.1818181818181,14.3159334790483,,85.6840665209516,95.77294522147965,8.23991045807556,,
,0.5205205000000005,67.3622,100,100,13.746666666666666,,4.16,100,100,100,98.96666666666665,,3.675,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,6.12244897959182,24.390243902439,18.1818181818181,13.4199653356934,,86.5800346643066,96.77440922053886,7.77426439935469,,
,0.5405405000000001,70.416,100,100,14.763333333333337,,4.32,100,100,100,99.17888888888888,,3.822,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,4.08163265306121,21.9512195121951,18.1818181818181,12.5239971923384,,87.4760028076615,97.77587321959798,7.48546844811309,,
,0.5605605000000005,73.4698,100,100,15.85,,4.48,100,100,100,99.34555555555555,,3.969,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,4.08163265306121,21.9512195121951,18.1818181818181,12.5239971923384,,87.4760028076615,97.77587321959798,7.48546844811309,,
,0.5805806000000002,76.5237,100,100,17.053333333333335,,4.64,100,100,100,99.52,,4.116,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,4.08163265306121,21.9512195121951,18.1818181818181,12.5239971923384,,87.4760028076615,97.77587321959798,7.48546844811309,,
,0.6006005999999997,79.5775,100,100,18.25,,4.8,100,100,100,99.66444444444444,,4.263,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,4.08163265306121,21.9512195121951,18.1818181818181,12.5239971923384,,87.4760028076615,97.77587321959798,7.48546844811309,,
,0.6206206000000002,81.606,100,100,19.616666666666667,,4.96,100,100,100,99.75888888888888,,4.41,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,4.08163265306121,21.9512195121951,15.1515151515151,11.9179365862778,,88.0820634137221,98.453294490342,7.02113446204552,,
,0.6406406000000007,83.1172,100,100,20.973333333333333,,5.12,100,100,100,99.80555555555554,,4.557,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,2.0408163265306,21.9512195121951,15.1515151515151,11.5097733209717,,88.4902266790282,98.90951697880224,7.62401101082182,,
,0.6606606000000002,84.6283,100,100,22.290000000000003,,5.28,100,100,100,99.84922222222222,,4.704,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,2.0408163265306,19.5121951219512,15.1515151515151,11.0219684429229,,88.978031557077,99.45475848940113,6.82508907806094,,
,0.6806806999999999,86.1394,100,100,23.39,,,,,,,,4.851,9.09090909090909,12.4999999999999,9.30232558139535,12.1212121212121,12.8205128205128,11.1669919228058,,88.8330080771941,100,1.81718728876185,,11.4285714285714,6.97674418604653,2.0408163265306,19.5121951219512,15.1515151515151,11.0219684429229,,88.978031557077,99.45475848940113,6.82508907806094,,
