,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source block A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ca2+-triggered fusion levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No Ca2+basal,,,,,,,,,,,,,,,,,0.5 µM Ca2+basal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total fusion,,,,,,,,,Fusion in first two frames,,,,,,,,Total fusion,,,,,,Fusion in first two frames,,,,,,,,,,,,,,,,,,,,,,,
,run1,run2,run3,,run4,run5,Mean,S.D.,,run1,run2,run3,run4,run5,Mean,S.D.,,run1,run2,run3,Mean,S.D.,,run1,run2,run3,Mean,S.D.,,,,,,,,,,,,,,,,,,,
SensorAWT,90.91,87.5,90.7,,87.88,87.18,88.83,1.82,,63.64,66.67,60.47,63.64,66.67,64.21,2.59,,92.8,67.16,88.25,82.74,11.17,,70.68,58.59,64.63,64.63,6.05,,,,,,,,,,,,,,,,,,,
SensorAWT + 1:200 SensorB,88.57,93.02,97.96,,85.37,87.88,90.56,4.97,,5.71,9.3,4.08,19.51,3.03,8.33,6.69,,92.3,93,83.12,89.47,5.52,,32.45,36.44,28.45,32.45,4,,,,,,,,,,,,,,,,,,,
SensorADA + 1:200 SensorB,72.43,87.89,62.71,,70.09,73.75,73.37,9.17,,9.22,11.65,6.8,7.82,10.47,9.19,1.95,,73.54,77.35,66.41,72.44,5.56,,33.39,32.57,31.2,32.39,1.1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source block B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca2+-triggered fusion kinetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SensorAWT (% Fusion Frequency),,,,,,,,,,,,,,,,,SensorAWT + 1:200 SensorB (% Fusion Frequency),,,,,,,,,,,,,,,,SensorADA + 1:200 SensorB (% Fusion Frequency),,,,,,,,,,,,,,
,No Ca2+basal,,,,,,,,,0.5 µM Ca2+ basal,,,,,,,No Ca2+basal,,,,,,,,,0.5 µM Ca2+basal,,,,,,,No Ca2+basal,,,,,,,,,0.5 µM Ca2+basal,,,,,
bins (s),run1,run2,run3,,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,Mean,S.D.,,bins (s),run1,run2,run3,run4,run5,Mean,S.D.,,bins (s),run1,run2,run3,Mean,S.D.
0.147,47.73,47.92,44.19,,45.45,53.85,47.83,3.71,,0.147,52.35,44.92,48.64,48.64,3.71,,0.147,5.71,4.65,4.08,14.63,3.03,6.42,4.69,,0.147,23.19,26.28,20.1,23.19,3.09,,0.147,7.53,9.64,6.33,6.3,7.78,7.52,1.22,,0.147,24.4,28.39,20.4,24.4,3.99
0.294,15.91,18.75,16.28,,18.18,12.82,16.39,2.33,,0.294,18.33,13.66,15.99,15.99,2.33,,0.294,0,4.65,0,4.88,0,1.91,2.61,,0.294,9.25,10.17,8.34,9.25,0.91,,0.294,1.68,2.01,0.47,1.52,2.69,1.67,0.72,,0.294,8.99,4.18,10.8,7.99,3.42
