,,,,,,,,
,,,,,,,,
Source block A,,,,,,,,
,,,,,,,,
,Docking Analysis,,,,,,,
,Included in bilayer,Number of docked vesicles per 5 µm suspended bilayer,,,,,,
,,run 1,run 2,run 3,run 4,run 5,Mean,S.D.
,None,2.52,2.68,2.36,2.75,2.29,2.52,0.2
,SensorA (1:200),2.32,2.44,2.2,2.41,2.25,2.32,0.1
,SensorB (1:2000),2.44,2.64,2.24,2.28,2.6,2.44,0.18
,SensorB (1:800),2.36,2.2,2.52,2.43,2.31,2.36,0.12
,SensorB (1:400),2.64,2.52,2.76,2.47,2.82,2.64,0.15
,SensorB (1:200),2.52,2.72,2.32,2.43,2.62,2.52,0.16
,,,,,,,,
,,,,,,,,
Source block B,,,,,,,,
,,,,,,,,
,Survival Analysis,,,,,,,
,Included in bilayer,Survival percentage,,,,,,
, ,run 1,run 2,run 3,run 4,run 5,Mean,S.D.
,None,90.66,89.33,90.55,92.82,90.51,90.77,1.27
,SensorA (1:200),85.8,86.3,89.33,85.94,84.85,86.45,1.7
,SensorB (1:2000),89.36,89.48,90.82,87.59,90.7,89.59,1.3
,SensorB (1:800),92.35,90.49,89.99,90.91,91.68,91.08,0.94
,SensorB (1:400),89.8,90.81,91.93,89.69,86.61,89.77,1.98
,SensorB (1:200),91.95,93.93,90.99,93.13,89.51,91.9,1.74
