,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Calcium Green Fluorescence Intensity,,,,,,,,Alexa 647N Fluorescence Intensity,,,,,,,,Transmittance,,,,,,
,bins (s),run 1,run 2,run 3,Mean,Normalized,S.D.,,bins (s),run 1,run 2,run 3,Mean,Normalized,S.D.,,bins (s),run 1,run 2,run 3,Mean,Normalized,S.D.
,0.147,0.119,0.065,0.011,0.065,0.258,0.054,,0.147,0.101,0.039,0.023,0.054,0.055,0.041,,0.147,0.831,0.983,0.925,0.913,0.928,0.077
,0.294,0.11,0.04,0.03,0.06,0.24,0.044,,0.294,0.081,0.038,0.005,0.041,0.042,0.038,,0.294,0.818,0.984,0.928,0.91,0.925,0.084
,0.441,0.167,0.067,0.033,0.089,0.356,0.069,,0.441,0.108,0.036,0.036,0.06,0.06,0.042,,0.441,0.798,0.984,0.898,0.893,0.908,0.093
,0.588,0.134,0.075,0.016,0.075,0.298,0.059,,0.588,0.09,0.037,0.016,0.048,0.048,0.038,,0.588,0.978,0.979,0.923,0.96,0.976,0.032
,0.735,0.139,0.065,0.009,0.071,0.285,0.066,,0.735,0.12,0.041,0.038,0.066,0.067,0.046,,0.735,0.769,0.981,0.904,0.885,0.899,0.107
,0.882,0.118,0.062,0.006,0.062,0.25,0.056,,0.882,0.085,0.033,0.019,0.046,0.046,0.035,,0.882,0.834,0.981,0.927,0.914,0.929,0.075
,1.029,0.125,0.058,0.009,0.064,0.256,0.058,,1.029,0.077,0.036,0.005,0.039,0.039,0.036,,1.029,0.825,0.985,0.931,0.913,0.928,0.081
,1.176,0.096,0.062,0.028,0.062,0.246,0.034,,1.176,0.133,0.033,0.067,0.078,0.078,0.051,,1.176,0.931,0.979,0.912,0.941,0.956,0.035
,1.323,0.108,0.052,0.004,0.055,0.219,0.052,,1.323,0.089,0.038,0.013,0.047,0.047,0.039,,1.323,0.792,0.981,0.927,0.9,0.915,0.097
,1.47,0.151,0.069,0.013,0.078,0.31,0.069,,1.47,0.107,0.035,0.037,0.06,0.06,0.041,,1.47,0.901,0.986,0.909,0.932,0.947,0.047
,1.617,0.147,0.064,0.019,0.077,0.306,0.065,,1.617,0.083,0.031,0.021,0.045,0.045,0.033,,1.617,0.912,0.985,0.917,0.938,0.954,0.041
,1.764,0.096,0.063,0.03,0.063,0.25,0.033,,1.764,0.113,0.036,0.041,0.063,0.064,0.043,,1.764,0.924,0.983,0.928,0.945,0.961,0.033
,1.911,0.111,0.061,0.011,0.061,0.242,0.05,,1.911,0.119,0.033,0.053,0.068,0.069,0.045,,1.911,0.855,0.987,0.919,0.92,0.935,0.066
,2.058,0.158,0.065,0.028,0.084,0.334,0.067,,2.058,0.136,0.036,0.064,0.079,0.079,0.052,,2.058,0.89,0.986,0.89,0.922,0.937,0.056
,2.205,0.066,0.058,0.05,0.058,0.232,0.008,,2.205,0.048,0.034,0.02,0.034,0.034,0.014,,2.205,0.888,0.989,0.978,0.952,0.967,0.055
,2.352,0.09,0.071,0.052,0.071,0.284,0.019,,2.352,0.131,0.033,0.065,0.076,0.077,0.05,,2.352,0.84,0.984,0.925,0.916,0.931,0.072
,2.499,0.148,0.07,0.008,0.075,0.301,0.07,,2.499,0.084,0.034,0.016,0.045,0.045,0.035,,2.499,0.892,0.979,0.915,0.929,0.944,0.045
,2.646,0.141,0.06,0.021,0.074,0.295,0.061,,2.646,0.047,0.035,0.023,0.035,0.035,0.012,,2.646,0.876,0.983,0.936,0.932,0.947,0.053
,2.793,0.167,0.078,0.011,0.085,0.342,0.079,,2.793,0.062,0.037,0.012,0.037,0.037,0.025,,2.793,0.808,0.98,0.923,0.904,0.919,0.088
,2.94,0.16,0.068,0.024,0.084,0.336,0.069,,2.94,0.125,0.032,0.061,0.073,0.073,0.048,,2.94,0.991,0.983,0.891,0.955,0.971,0.056
,3.087,0.093,0.061,0.029,0.061,0.245,0.032,,3.087,0.062,0.034,0.006,0.034,0.034,0.028,,3.087,0.869,0.983,0.953,0.935,0.95,0.059
,3.234,0.152,0.062,0.028,0.081,0.322,0.064,,3.234,0.132,0.036,0.06,0.076,0.076,0.05,,3.234,0.783,0.979,0.886,0.883,0.897,0.098
,3.381,0.093,0.054,0.015,0.054,0.217,0.039,,3.381,0.06,0.036,0.012,0.036,0.036,0.024,,3.381,0.947,0.987,0.955,0.963,0.979,0.021
,3.528,0.124,0.05,0.024,0.066,0.264,0.052,,3.528,0.113,0.033,0.047,0.064,0.065,0.043,,3.528,0.76,0.978,0.901,0.879,0.894,0.11
,3.675,0.094,0.058,0.022,0.058,0.233,0.036,,3.675,0.091,0.03,0.031,0.051,0.051,0.035,,3.675,0.839,0.986,0.937,0.921,0.936,0.075
