,,,,,,,
,Experimental Setup,,,,,,
,1 mg/ml (~16 µM) SensorB on Agarose beads ,,,,,,
,Varying concentration of CPX-FusionComplex complex,,,,,,
,"HEPES, 140 mM KCl, pH 7.4 buffer containing 1% OG.",,,,,,
,,,,,,,
,,,,,,,
,CPX-FusionComplex Conc (µM),Bound TargetSubunit Concentration (µM),,,,,
,,run1,run2,run3,run4,mean,s.d.
,1,0.704,0.867,0.263,1.218,0.763,0.396
,2,1.198,2.024,0.028,1.112,1.09,0.819
,5,1.235,2.466,0.004,1.147,1.213,1.006
,10,1.544,2.53,0.558,1.414,1.512,0.808
,15,2.109,2.542,0.876,3.042,2.142,0.926
,20,5.133,6.086,4.18,5.255,5.164,0.781
,25,10.216,12.357,8.475,9.958,10.251,1.6
,30,12.159,13.881,10.937,11.311,12.072,1.31
,45,14.336,16.211,13.461,13.262,14.318,1.346
,,,,,,,
,,,,,,,
,Representative Gel Image (Western Blot Analysis),,,,,,
