,,,,,,,,,,,,
,Source block B,,,,Source block C,,,,,,,
,,,,,,,,,,,,
,Time (sec),SensorA,SensorB,,Time (sec),Calcium (µM),SensorA,SensorB,,,,
,0,0,0,,0,0,0,0,,,,
,0.01,0.00513,0.01407,,0.1,0,0,0,,,,
,0.02,0.02375,0.1073,,0.15,0.09238,0.00497,0.02254,,,,
,0.03,0.05603,0.34499,,0.2,0.56452,0.20362,1.82689,,,,
,0.04,0.10197,0.77918,,0.25,1.32222,1.13791,13.96013,,,,
,0.05,0.16144,1.45174,,0.3,2.90346,5.05298,45.37806,,,,
,0.06,0.23432,2.38286,,0.325,4.65537,11.92624,73.15409,,,,
,0.07,0.32056,3.60433,,0.35,7.07829,23.59022,89.51276,,,,
,0.08,0.41996,5.10613,,0.4,13.09205,50.73301,97.03034,,,,
,0.09,0.53245,6.89828,,0.45,20.3929,70.81621,98.73145,,,,
,0.1,0.65791,8.97076,,0.5,31.07905,84.82412,99.4468,,,,
,0.11,0.79613,11.30356,,0.55,43.96598,92.15157,99.73607,,,,
,0.12,0.94704,13.85663,,0.6,55.86322,95.49291,99.85359,,,,
,0.13,1.11482,16.60993,,0.65,65.07013,97.07943,99.90664,,,,
,0.14,1.28152,19.53344,,0.7,72.68488,98.02149,99.93734,,,,
,0.15,1.46906,22.56708,,0.75,79.41129,98.66929,99.95813,,,,
,0.16,1.67743,25.69083,,0.8,84.21221,99.05348,99.97032,,,,
,0.17,1.88581,28.85463,,0.85,87.9926,99.31914,99.9787,,,,
,0.18,2.10461,32.03845,,0.9,91.12067,99.51827,99.98497,,,,
,0.19,2.34424,35.18222,,0.95,92.9833,99.62901,99.98843,,,,
,0.2,2.58387,38.27593,,1,94.23123,99.70006,99.99065,,,,
,0.21,2.84434,41.27954,,1.05,95.32602,99.76059,99.99254,,,,
,0.22,3.11523,44.18302,,1.15,96.84593,99.84151,99.99507,,,,
,0.23,3.38612,46.97637,,1.25,97.84435,99.89301,99.99666,,,,
,0.24,3.67785,49.63957,,1.35,98.53369,99.92781,99.99775,,,,
,0.25,3.96958,52.1626,,1.45,99.25447,99.96361,99.99887,,,,
,0.26,4.28214,54.54545,,1.55,99.6134,99.98118,99.99941,,,,
,0.27,4.59471,56.79816,,1.65,99.70709,99.98568,99.99955,,,,
,0.28,4.92811,58.9207,,2,100,100,100,,,,
,0.29,5.26151,60.90308,,2.1,100,100,100,,,,
,0.3,5.60533,62.77533,,2.5,100,100,100,,,,
,0.31,5.95957,64.51742,,,,,,,,,
,0.32,6.31382,66.15939,,,,,,,,,
,0.33,6.68889,67.69123,,,,,,,,,
,0.34,7.06397,69.13296,,,,,,,,,
,0.35,7.44947,70.48458,,,,,,,,,
,0.36,7.83497,71.75611,,,,,,,,,
,0.37,8.2413,72.94754,,,,,,,,,
,0.38,8.64763,74.06888,,,,,,,,,
,0.39,9.05397,75.13016,,,,,,,,,
,0.4,9.47072,76.12135,,,,,,,,,
,0.41,9.8979,77.06247,,,,,,,,,
,0.42,10.32507,77.94353,,,,,,,,,
,0.43,10.76266,78.78454,,,,,,,,,
,0.44,11.20025,79.57549,,,,,,,,,
,0.45,11.64826,80.32639,,,,,,,,,
,0.46,12.09627,81.03724,,,,,,,,,
,0.47,12.5547,81.70805,,,,,,,,,
,0.48,13.01313,82.34882,,,,,,,,,
,0.49,13.48198,82.94954,,,,,,,,,
,0.5,13.9404,83.53024,,,,,,,,,
,0.51,14.41967,84.07089,,,,,,,,,
,0.52,14.88852,84.59151,,,,,,,,,
,0.53,15.36778,85.09211,,,,,,,,,
,0.54,15.84705,85.56268,,,,,,,,,
,0.55,16.33674,86.01322,,,,,,,,,
,0.56,16.816,86.44373,,,,,,,,,
,0.57,17.30569,86.85423,,,,,,,,,
,0.58,17.79537,87.25471,,,,,,,,,
,0.59,18.28506,87.62515,,,,,,,,,
,0.6,18.78516,87.98558,,,,,,,,,
,0.61,19.27485,88.32599,,,,,,,,,
,0.62,19.77495,88.65639,,,,,,,,,
,0.63,20.27506,88.97677,,,,,,,,,
,0.64,20.77516,89.27713,,,,,,,,,
,0.65,21.27527,89.56748,,,,,,,,,
,0.66,21.77537,89.84782,,,,,,,,,
,0.67,22.27547,90.11814,,,,,,,,,
,0.68,22.77558,90.37845,,,,,,,,,
,0.69,23.27568,90.61874,,,,,,,,,
,0.7,23.78621,90.85903,,,,,,,,,
,0.71,24.28631,91.08931,,,,,,,,,
,0.72,24.78641,91.30957,,,,,,,,,
,0.73,25.28652,91.51982,,,,,,,,,
,0.74,25.78662,91.73008,,,,,,,,,
,0.75,26.28673,91.93032,,,,,,,,,
,0.76,26.78683,92.12054,,,,,,,,,
,0.77,27.28693,92.30076,,,,,,,,,
,0.78,27.78704,92.48098,,,,,,,,,
,0.79,28.28714,92.65118,,,,,,,,,
,0.8,28.77683,92.81137,,,,,,,,,
,0.81,29.27693,92.97157,,,,,,,,,
,0.82,29.76662,93.13176,,,,,,,,,
,0.83,30.2563,93.28194,,,,,,,,,
,0.84,30.74599,93.42211,,,,,,,,,
,0.85,31.23567,93.56227,,,,,,,,,
,0.86,31.72536,93.70244,,,,,,,,,
,0.87,32.21504,93.8326,,,,,,,,,
,0.88,32.69431,93.96276,,,,,,,,,
,0.89,33.17358,94.0829,,,,,,,,,
,0.9,33.65284,94.20304,,,,,,,,,
,0.91,34.13211,94.32319,,,,,,,,,
,0.92,34.61138,94.43332,,,,,,,,,
,0.93,35.08023,94.54345,,,,,,,,,
,0.94,35.54907,94.64357,,,,,,,,,
,0.95,36.01792,94.7537,,,,,,,,,
,0.96,36.48677,94.85382,,,,,,,,,
,0.97,36.95562,94.94393,,,,,,,,,
,0.98,37.41404,95.04405,,,,,,,,,
,0.99,37.87247,95.13416,,,,,,,,,
,1,38.3309,95.22427,,,,,,,,,
,1.01,38.77891,95.30437,,,,,,,,,
,1.02,39.23734,95.39447,,,,,,,,,
,1.03,39.68535,95.47457,,,,,,,,,
,1.04,40.13336,95.55467,,,,,,,,,
,1.05,40.57095,95.63476,,,,,,,,,
,1.06,41.00854,95.70485,,,,,,,,,
,1.07,41.44613,95.78494,,,,,,,,,
,1.08,41.88373,95.85503,,,,,,,,,
,1.09,42.3109,95.92511,,,,,,,,,
,1.1,42.74849,95.99519,,,,,,,,,
,1.11,43.17566,96.05527,,,,,,,,,
,1.12,43.59242,96.12535,,,,,,,,,
,1.13,44.01959,96.18542,,,,,,,,,
,1.14,44.43634,96.24549,,,,,,,,,
,1.15,44.84268,96.30557,,,,,,,,,
,1.16,45.25943,96.36564,,,,,,,,,
,1.17,45.66576,96.42571,,,,,,,,,
,1.18,46.0721,96.48578,,,,,,,,,
,1.19,46.47843,96.53584,,,,,,,,,
,1.2,46.87435,96.5859,,,,,,,,,
,1.21,47.27026,96.64598,,,,,,,,,
,1.22,47.66618,96.69604,,,,,,,,,
,1.23,48.0621,96.7461,,,,,,,,,
,1.24,48.44759,96.79616,,,,,,,,,
,1.25,48.83309,96.8362,,,,,,,,,
,1.26,49.21859,96.88626,,,,,,,,,
,1.27,49.59367,96.92631,,,,,,,,,
,1.28,49.96874,96.97637,,,,,,,,,
