,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source block A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Docking Analysis,,,,,,,,,,,,,,
,Ca2+basal,Number of docked vesicles per 5 µm suspended bilayer,,,,,,,,,,,,,
,,run 1,run 2,run 3,run 4,Mean,S.D.,,,,,,,,
,none,2.54,2.38,2.7,2.43,2.51,0.14,,,,,,,,
,pre-docking,2.52,2.32,2.72,2.49,2.51,0.16,,,,,,,,
,post-docking,2.71,2.59,2.83,2.79,2.73,0.11,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source block B,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Clamping Analysis,,,,,,,,,,,,,,
,Ca2+basal,Survival Percentage,,,,,,,,,,,,,
,,run 1,run 2,run 3,run 4,Mean,S.D.,,,,,,,,
,none,90.4,92.9,87.9,90.53,90.43,2.04,,,,,,,,
,pre-docking,95.1,96.9,93.3,94.81,95.03,1.48,,,,,,,,
,post-docking,93.7,95.8,91.6,93.78,93.72,1.72,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source block C,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Ca2+-triggered fusion analysis,,,,,,,,,,,,,,
,Ca2+basal,Total Fusion (%),,,,,,,Ca2+basal,Fusion in first two frames (%),,,,,
,,run 1,run 2,run 3,run 4,Mean,S.D.,,,run 1,run 2,run 3,run 4,Mean,S.D.
,none,90.2,86.5,93.9,90.28,90.22,3.02,,none,8.3,11.1,5.5,8.35,8.31,2.29
,pre-docking,91.5,88.9,95.39,90.27,91.52,2.79,,pre-docking,33.4,29.1,37.7,33.7,33.48,3.51
,post-docking,94.8,89.6,94.9,99.85,94.79,4.18,,post-docking,34.6,37.3,31.9,34.8,34.65,2.21
