,,,,,,
,,Normalized Fluorescence Intensity,,,,
,bins(s),Lipids,,,TargetComplexs,
,,None,SensorB (1:200),,None,SensorB (1:200)
,0.147,0.112,0.018,,1,1
,0.294,0.135,0.041,,0.984,0.987
,0.441,0.159,0.065,,0.949,0.954
,0.588,0.195,0.102,,0.915,0.927
,0.735,0.207,0.114,,0.886,0.901
,0.882,0.219,0.125,,0.872,0.914
,1.029,0.241,0.147,,0.848,0.89
,1.176,0.239,0.146,,0.838,0.872
,1.323,0.258,0.165,,0.802,0.866
,1.47,0.278,0.185,,0.8,0.868
,1.617,0.29,0.196,,0.808,0.862
,1.764,0.293,0.2,,0.807,0.84
,1.911,0.3,0.207,,0.81,0.836
,2.058,0.328,0.235,,0.79,0.812
,2.205,0.319,0.225,,0.786,0.824
,2.352,0.323,0.229,,0.758,0.82
,2.499,0.349,0.255,,0.762,0.817
,2.646,0.364,0.271,,0.751,0.785
,2.793,0.365,0.272,,0.741,0.806
,2.94,0.393,0.299,,0.742,0.774
,3.087,0.398,0.305,,0.752,0.772
,3.234,0.398,0.304,,0.746,0.751
,3.381,0.405,0.311,,0.741,0.754
,3.528,0.412,0.318,,0.708,0.755
,3.675,0.408,0.314,,0.692,0.76
,3.822,0.418,0.325,,0.68,0.766
,3.969,0.416,0.322,,0.699,0.743
,4.116,0.42,0.327,,0.691,0.73
,4.263,0.455,0.361,,0.692,0.745
,4.41,0.445,0.352,,0.707,0.722
,4.557,0.454,0.36,,0.697,0.737
,4.704,0.463,0.369,,0.678,0.744
,4.851,0.482,0.388,,0.657,0.717
,4.998,0.469,0.376,,0.659,0.722
,5.145,0.478,0.384,,0.681,0.706
,5.292,0.478,0.385,,0.688,0.681
,5.439,0.483,0.39,,0.67,0.693
,5.586,0.478,0.385,,0.656,0.721
,5.733,0.467,0.373,,0.637,0.684
,5.88,0.497,0.403,,0.637,0.671
,6.027,0.507,0.414,,0.624,0.689
,6.174,0.52,0.427,,0.643,0.683
,6.321,0.52,0.426,,0.642,0.648
,6.468,0.51,0.416,,0.672,0.697
,6.615,0.535,0.441,,0.605,0.674
,6.762,0.521,0.428,,0.619,0.649
,6.909,0.555,0.461,,0.619,0.653
,7.056,0.581,0.487,,0.61,0.668
,7.203,0.535,0.442,,0.621,0.654
,7.35,0.557,0.463,,0.586,0.658
,7.497,0.603,0.509,,0.594,0.657
,7.644,0.553,0.46,,0.604,0.609
,7.791,0.571,0.478,,0.592,0.655
,7.938,0.567,0.473,,0.617,0.651
,8.085,0.591,0.497,,0.607,0.667
,8.232,0.576,0.482,,0.548,0.64
,8.379,0.61,0.516,,0.579,0.632
,8.526,0.62,0.527,,0.599,0.63
,8.673,0.603,0.509,,0.604,0.632
,8.82,0.602,0.508,,0.584,0.645
,8.967,0.614,0.521,,0.583,0.66
,9.114,0.636,0.542,,0.58,0.609
,9.261,0.649,0.556,,0.563,0.598
,9.408,0.61,0.516,,0.559,0.594
,9.555,0.613,0.52,,0.544,0.615
,9.702,0.633,0.54,,0.574,0.616
,9.849,0.634,0.54,,0.576,0.585
,9.996,0.652,0.558,,0.565,0.605
,10.143,0.624,0.531,,0.563,0.613
,10.29,0.638,0.544,,0.573,0.601
,10.437,0.636,0.542,,0.56,0.62
,10.584,0.653,0.56,,0.535,0.583
,10.731,0.655,0.561,,0.566,0.59
,10.878,0.671,0.577,,0.539,0.601
,11.025,0.668,0.575,,0.553,0.592
,11.172,0.698,0.605,,0.516,0.6
,11.319,0.68,0.587,,0.542,0.592
,11.466,0.652,0.559,,0.509,0.592
,11.613,0.683,0.589,,0.553,0.585
,11.76,0.707,0.613,,0.54,0.56
,11.907,0.675,0.581,,0.565,0.58
,12.054,0.715,0.622,,0.548,0.571
,12.201,0.697,0.604,,0.564,0.552
,12.348,0.703,0.609,,0.528,0.565
,12.495,0.692,0.599,,0.534,0.609
,12.642,0.713,0.619,,0.545,0.59
,12.789,0.699,0.605,,0.511,0.559
,12.936,0.675,0.582,,0.512,0.556
,13.083,0.682,0.589,,0.538,0.59
,13.23,0.698,0.605,,0.512,0.568
,13.377,0.709,0.615,,0.526,0.563
,13.524,0.718,0.625,,0.481,0.572
,13.671,0.689,0.596,,0.485,0.573
,13.818,0.731,0.637,,0.5,0.577
,13.965,0.728,0.634,,0.511,0.575
,14.112,0.709,0.616,,0.527,0.551
,14.259,0.722,0.629,,0.521,0.545
,14.406,0.73,0.637,,0.497,0.551
,14.553,0.743,0.65,,0.511,0.568
,14.7,0.746,0.653,,0.483,0.558
,14.847,0.751,0.657,,0.512,0.552
,14.994,0.727,0.634,,0.5,0.551
,15.141,0.742,0.648,,0.521,0.548
,15.288,0.742,0.648,,0.485,0.561
,15.435,0.746,0.652,,0.493,0.518
,15.582,0.749,0.656,,0.505,0.54
,15.729,0.761,0.668,,0.476,0.553
,15.876,0.734,0.641,,0.48,0.557
,16.023,0.753,0.66,,0.517,0.53
,16.17,0.758,0.664,,0.491,0.555
,16.317,0.748,0.655,,0.506,0.545
,16.464,0.769,0.676,,0.512,0.549
,16.611,0.774,0.68,,0.491,0.524
,16.758,0.767,0.674,,0.511,0.547
,16.905,0.76,0.667,,0.493,0.529
,17.052,0.775,0.681,,0.497,0.56
,17.199,0.809,0.715,,0.506,0.571
,17.346,0.768,0.674,,0.462,0.554
,17.493,0.804,0.71,,0.498,0.53
,17.64,0.799,0.705,,0.505,0.538
,17.787,0.778,0.684,,0.483,0.533
,17.934,0.807,0.714,,0.471,0.511
,18.081,0.814,0.721,,0.499,0.514
,18.228,0.821,0.728,,0.478,0.537
,18.375,0.826,0.732,,0.493,0.535
,18.522,0.776,0.682,,0.472,0.53
,18.669,0.795,0.701,,0.483,0.543
,18.816,0.798,0.705,,0.49,0.525
,18.963,0.834,0.741,,0.48,0.528
,19.11,0.803,0.709,,0.453,0.522
,19.257,0.837,0.744,,0.472,0.53
,19.404,0.792,0.698,,0.481,0.521
,19.551,0.831,0.738,,0.491,0.514
,19.698,0.818,0.724,,0.487,0.504
,19.845,0.822,0.729,,0.453,0.518
,19.992,0.799,0.705,,0.485,0.534
,20.139,0.842,0.748,,0.507,0.52
,20.286,0.824,0.731,,0.489,0.512
,20.433,0.812,0.718,,0.49,0.511
,20.58,0.841,0.747,,0.488,0.503
,20.727,0.827,0.734,,0.46,0.533
,20.874,0.806,0.713,,0.464,0.506
,21.021,0.818,0.725,,0.484,0.517
,21.168,0.818,0.725,,0.462,0.513
,21.315,0.834,0.74,,0.465,0.492
,21.462,0.874,0.781,,0.44,0.49
,21.609,0.835,0.741,,0.453,0.488
,21.756,0.822,0.729,,0.441,0.526
,21.903,0.835,0.742,,0.47,0.511
,22.05,0.853,0.759,,0.491,0.531
,22.197,0.86,0.766,,0.512,0.51
,22.344,0.857,0.764,,0.528,0.51
,22.491,0.845,0.752,,0.484,0.525
,22.638,0.821,0.728,,0.482,0.498
,22.785,0.833,0.739,,0.456,0.516
,22.932,0.854,0.761,,0.482,0.501
,23.079,0.854,0.761,,0.484,0.5
,23.226,0.869,0.776,,0.451,0.524
,23.373,0.893,0.799,,0.486,0.498
,23.52,0.846,0.752,,0.478,0.501
,23.667,0.863,0.77,,0.474,0.5
,23.814,0.864,0.771,,0.47,0.494
,23.961,0.872,0.778,,0.455,0.504
,24.108,0.845,0.751,,0.462,0.507
,24.255,0.842,0.748,,0.487,0.498
,24.402,0.892,0.798,,0.521,0.508
,24.549,0.858,0.764,,0.488,0.486
,24.696,0.895,0.801,,0.476,0.511
,24.843,0.893,0.799,,0.464,0.507
,24.99,0.87,0.777,,0.491,0.494
,25.137,0.885,0.791,,0.461,0.491
,25.284,0.903,0.81,,0.463,0.476
,25.431,0.878,0.785,,0.465,0.503
,25.578,0.888,0.794,,0.465,0.515
,25.725,0.878,0.784,,0.441,0.489
,25.872,0.87,0.777,,0.448,0.521
,26.019,0.879,0.786,,0.449,0.494
,26.166,0.871,0.778,,0.468,0.511
,26.313,0.885,0.791,,0.451,0.524
,26.46,0.854,0.76,,0.449,0.5
,26.607,0.878,0.785,,0.474,0.507
,26.754,0.909,0.816,,0.446,0.545
,26.901,0.891,0.798,,0.459,0.501
,27.048,0.907,0.813,,0.443,0.494
,27.195,0.901,0.808,,0.424,0.496
,27.342,0.906,0.813,,0.45,0.509
,27.489,0.88,0.786,,0.475,0.497
,27.636,0.892,0.799,,0.46,0.502
,27.783,0.921,0.828,,0.464,0.49
,27.93,0.905,0.811,,0.475,0.473
,28.077,0.894,0.801,,0.493,0.503
,28.224,0.862,0.768,,0.48,0.499
,28.371,0.891,0.798,,0.489,0.493
,28.518,0.891,0.797,,0.482,0.482
,28.665,0.893,0.8,,0.458,0.473
,28.812,0.892,0.798,,0.479,0.506
,28.959,0.907,0.814,,0.457,0.498
,29.106,0.902,0.809,,0.472,0.489
,29.253,0.917,0.823,,0.44,0.503
,29.4,0.887,0.794,,0.459,0.514
,29.547,0.897,0.803,,0.454,0.479
,29.694,0.924,0.83,,0.465,0.49
,29.841,0.894,0.8,,0.463,0.505
,29.988,0.88,0.786,,0.445,0.481
,30.135,0.898,0.804,,0.45,0.484
,30.282,0.911,0.818,,0.478,0.509
,30.429,0.924,0.831,,0.482,0.491
,30.576,0.931,0.838,,0.447,0.466
,30.723,0.941,0.848,,0.466,0.489
,30.87,0.911,0.818,,0.479,0.491
,31.017,0.891,0.797,,0.445,0.51
,31.164,0.911,0.817,,0.47,0.49
,31.311,0.907,0.813,,0.455,0.463
,31.458,0.898,0.805,,0.466,0.483
,31.605,0.912,0.818,,0.433,0.498
,31.752,0.932,0.838,,0.42,0.482
,31.899,0.917,0.823,,0.462,0.496
,32.046,0.908,0.814,,0.441,0.474
,32.193,0.91,0.816,,0.458,0.512
,32.34,0.95,0.857,,0.464,0.472
,32.487,0.953,0.86,,0.434,0.468
,32.634,0.923,0.83,,0.448,0.491
,32.781,0.907,0.813,,0.463,0.488
,32.928,0.914,0.82,,0.43,0.484
,33.075,0.933,0.839,,0.487,0.52
,33.222,0.932,0.838,,0.428,0.482
,33.369,0.935,0.842,,0.429,0.507
,33.516,0.921,0.827,,0.44,0.499
,33.663,0.92,0.827,,0.468,0.477
,33.81,0.922,0.828,,0.44,0.479
,33.957,0.916,0.823,,0.481,0.489
,34.104,0.937,0.843,,0.456,0.49
,34.251,0.946,0.853,,0.436,0.453
,34.398,0.924,0.83,,0.477,0.482
,34.545,0.933,0.84,,0.447,0.472
,34.692,0.96,0.867,,0.473,0.489
,34.839,0.93,0.836,,0.421,0.496
,34.986,0.949,0.855,,0.432,0.468
,35.133,0.942,0.848,,0.459,0.478
,35.28,0.929,0.836,,0.446,0.472
,35.427,0.942,0.848,,0.458,0.492
,35.574,0.919,0.826,,0.428,0.463
,35.721,0.922,0.828,,0.461,0.478
,35.868,0.942,0.848,,0.406,0.485
,36.015,0.939,0.845,,0.447,0.475
,36.162,0.918,0.825,,0.431,0.499
,36.309,0.914,0.82,,0.463,0.5
,36.456,0.936,0.843,,0.451,0.482
,36.603,0.934,0.84,,0.451,0.508
,36.75,0.946,0.853,,0.469,0.5
,36.897,0.941,0.847,,,
,37.044,0.949,0.856,,,
,37.191,0.931,0.838,,,
,37.338,0.925,0.831,,,
,37.485,0.958,0.865,,,
,37.632,0.944,0.85,,,
,37.779,0.963,0.869,,,
,37.926,0.948,0.854,,,
