condition_role	time_units	replicate_id	normalized_response_percent
baseline	3.0	replicate_1	100.4199
baseline	3.0	replicate_2	102.2177
baseline	3.0	replicate_3	97.56915
baseline	3.0	replicate_4	102.9656
perturbation	3.0	replicate_1	100.0
perturbation	3.0	replicate_2	98.875
perturbation	3.0	replicate_3	104.4739
perturbation	3.0	replicate_4	97.75659
baseline	6.0	replicate_1	105.2484
baseline	6.0	replicate_2	102.0161
baseline	6.0	replicate_3	97.65298
baseline	6.0	replicate_4	106.5243
perturbation	6.0	replicate_1	100.411
perturbation	6.0	replicate_2	105.125
perturbation	6.0	replicate_3	103.314
perturbation	6.0	replicate_4	100.5048
baseline	9.0	replicate_1	104.2687
baseline	9.0	replicate_2	101.8145
baseline	9.0	replicate_3	97.23386
baseline	9.0	replicate_4	103.6773
perturbation	9.0	replicate_1	101.0959
perturbation	9.0	replicate_2	104.4375
perturbation	9.0	replicate_3	105.2196
perturbation	9.0	replicate_4	100.2243
baseline	12.0	replicate_1	110.2869
baseline	12.0	replicate_2	108.1317
baseline	12.0	replicate_3	96.9824
baseline	12.0	replicate_4	108.7189
perturbation	12.0	replicate_1	105.4795
perturbation	12.0	replicate_2	104.375
perturbation	12.0	replicate_3	110.4391
perturbation	12.0	replicate_4	99.49523
baseline	15.0	replicate_1	114.9755
baseline	15.0	replicate_2	113.1048
baseline	15.0	replicate_3	99.66471
baseline	15.0	replicate_4	107.1174
perturbation	15.0	replicate_1	110.0
perturbation	15.0	replicate_2	105.5625
perturbation	15.0	replicate_3	115.9901
perturbation	15.0	replicate_4	104.0942
baseline	18.0	replicate_1	114.5556
baseline	18.0	replicate_2	115.8602
baseline	18.0	replicate_3	109.3881
baseline	18.0	replicate_4	108.0071
perturbation	18.0	replicate_1	111.9178
perturbation	18.0	replicate_2	106.4375
perturbation	18.0	replicate_3	115.3273
perturbation	18.0	replicate_4	104.599
baseline	21.0	replicate_1	118.4045
baseline	21.0	replicate_2	125.0
baseline	21.0	replicate_3	110.4778
baseline	21.0	replicate_4	109.7272
perturbation	21.0	replicate_1	114.3836
perturbation	21.0	replicate_2	111.375
perturbation	21.0	replicate_3	116.9843
perturbation	21.0	replicate_4	108.6371
