anatomical_measure_id	system_state_id	replicate_id	measurement_value
anatomical_measure_1	background_state	replicate_1	5.97
anatomical_measure_1	background_state	replicate_2	8.55
anatomical_measure_1	background_state	replicate_3	7.67
anatomical_measure_1	background_state	replicate_4	7.5
anatomical_measure_1	background_state	replicate_5	6.11
anatomical_measure_1	background_state	replicate_6	5.64
anatomical_measure_1	background_state	replicate_7	10.06
anatomical_measure_1	background_state	replicate_8	7.09
anatomical_measure_1	background_state	replicate_9	6.79
anatomical_measure_1	background_state	replicate_10	11.08
anatomical_measure_1	background_state	replicate_11	10.13
anatomical_measure_1	background_state	replicate_12	9.88
anatomical_measure_1	perturbed_state	replicate_1	7.82
anatomical_measure_1	perturbed_state	replicate_2	7.32
anatomical_measure_1	perturbed_state	replicate_3	6.3
anatomical_measure_1	perturbed_state	replicate_4	6.46
anatomical_measure_1	perturbed_state	replicate_5	9.08
anatomical_measure_1	perturbed_state	replicate_6	7.28
anatomical_measure_1	perturbed_state	replicate_7	7.77
anatomical_measure_2	background_state	replicate_1	9.85
anatomical_measure_2	background_state	replicate_2	12.6
anatomical_measure_2	background_state	replicate_3	9.18
anatomical_measure_2	background_state	replicate_4	10.81
anatomical_measure_2	background_state	replicate_5	9.56
anatomical_measure_2	background_state	replicate_6	9.41
anatomical_measure_2	background_state	replicate_7	8.65
anatomical_measure_2	background_state	replicate_8	9.63
anatomical_measure_2	background_state	replicate_9	10.87
anatomical_measure_2	background_state	replicate_10	7.5
anatomical_measure_2	background_state	replicate_11	9.11
anatomical_measure_2	background_state	replicate_12	12.21
anatomical_measure_2	perturbed_state	replicate_1	8.92
anatomical_measure_2	perturbed_state	replicate_2	7.91
anatomical_measure_2	perturbed_state	replicate_3	7.16
anatomical_measure_2	perturbed_state	replicate_4	7.93
anatomical_measure_2	perturbed_state	replicate_5	8.92
anatomical_measure_2	perturbed_state	replicate_6	9.05
anatomical_measure_2	perturbed_state	replicate_7	8.53
anatomical_measure_3	background_state	replicate_1	162.46
anatomical_measure_3	background_state	replicate_2	162.49
anatomical_measure_3	background_state	replicate_3	169.5
anatomical_measure_3	background_state	replicate_4	167.15
anatomical_measure_3	background_state	replicate_5	155.19
anatomical_measure_3	background_state	replicate_6	148.75
anatomical_measure_3	background_state	replicate_7	184.37
anatomical_measure_3	background_state	replicate_8	172.33
anatomical_measure_3	background_state	replicate_9	161.44
anatomical_measure_3	background_state	replicate_10	196.79
anatomical_measure_3	background_state	replicate_11	181.56
anatomical_measure_3	background_state	replicate_12	210.55
anatomical_measure_3	perturbed_state	replicate_1	116.93
anatomical_measure_3	perturbed_state	replicate_2	124.07
anatomical_measure_3	perturbed_state	replicate_3	91.88
anatomical_measure_3	perturbed_state	replicate_4	113.14
anatomical_measure_3	perturbed_state	replicate_5	142.53
anatomical_measure_3	perturbed_state	replicate_6	134.84
anatomical_measure_3	perturbed_state	replicate_7	115.76
anatomical_measure_4	background_state	replicate_1	58.4
anatomical_measure_4	background_state	replicate_2	55.38
anatomical_measure_4	background_state	replicate_3	53.0
anatomical_measure_4	background_state	replicate_4	52.97
anatomical_measure_4	background_state	replicate_5	42.91
anatomical_measure_4	background_state	replicate_6	47.99
anatomical_measure_4	background_state	replicate_7	51.09
anatomical_measure_4	background_state	replicate_8	45.72
anatomical_measure_4	background_state	replicate_9	48.39
anatomical_measure_4	background_state	replicate_10	58.04
anatomical_measure_4	background_state	replicate_11	55.39
anatomical_measure_4	background_state	replicate_12	61.73
anatomical_measure_4	perturbed_state	replicate_1	39.58
anatomical_measure_4	perturbed_state	replicate_2	43.74
anatomical_measure_4	perturbed_state	replicate_3	35.33
anatomical_measure_4	perturbed_state	replicate_4	30.33
anatomical_measure_4	perturbed_state	replicate_5	46.15
anatomical_measure_4	perturbed_state	replicate_6	48.42
anatomical_measure_4	perturbed_state	replicate_7	41.23
