tissue_id	system_state_id	replicate_id	uptake_measurement_au
tissue_1	background_state	replicate_1	1260.56843
tissue_1	background_state	replicate_2	958.072336
tissue_1	background_state	replicate_3	1079.04575
tissue_1	perturbed_state	replicate_1	999.899274
tissue_1	perturbed_state	replicate_2	1303.31704
tissue_1	perturbed_state	replicate_3	973.9101
tissue_2	background_state	replicate_1	496.785866
tissue_2	background_state	replicate_2	342.314549
tissue_2	background_state	replicate_3	381.236431
tissue_2	perturbed_state	replicate_1	177.21273
tissue_2	perturbed_state	replicate_2	402.941395
tissue_2	perturbed_state	replicate_3	307.918518
