unit_id	site_role_id	positive
unit_01	site_1	0
unit_01	site_2	0
unit_01	site_3	0
unit_01	site_4	0
unit_01	site_5	0
unit_01	site_6	0
unit_01	site_7	0
unit_01	site_8	0
unit_02	site_9	1
unit_02	site_10	1
unit_02	site_1	1
unit_02	site_2	1
unit_02	site_3	1
unit_02	site_4	1
unit_02	site_5	1
unit_02	site_6	1
unit_03	site_7	0
unit_03	site_8	1
unit_03	site_9	0
unit_03	site_10	1
unit_03	site_1	0
unit_03	site_2	1
unit_03	site_3	1
unit_03	site_4	1
unit_04	site_5	0
unit_04	site_6	0
unit_04	site_7	0
unit_04	site_8	0
unit_04	site_9	0
unit_04	site_10	0
unit_05	site_1	0
unit_05	site_2	0
unit_05	site_3	0
unit_05	site_4	0
unit_05	site_5	0
unit_05	site_6	0
unit_06	site_7	0
unit_06	site_8	0
unit_06	site_9	0
unit_06	site_10	0
unit_06	site_1	0
unit_06	site_2	0
unit_06	site_3	0
unit_07	site_4	1
unit_07	site_5	0
unit_07	site_6	0
unit_07	site_7	0
unit_07	site_8	0
unit_07	site_9	0
unit_07	site_10	0
unit_08	site_1	0
unit_08	site_2	0
unit_08	site_3	0
unit_08	site_4	0
unit_08	site_5	0
unit_08	site_6	0
unit_08	site_7	0
unit_09	site_8	0
unit_09	site_9	0
unit_09	site_10	0
unit_09	site_1	0
unit_09	site_2	0
unit_09	site_3	0
unit_09	site_4	0
unit_10	site_5	0
unit_10	site_6	0
unit_10	site_7	0
unit_10	site_8	0
unit_10	site_9	0
unit_10	site_10	0
unit_10	site_1	0
unit_11	site_2	0
unit_11	site_3	1
unit_11	site_4	0
unit_11	site_5	0
unit_11	site_6	1
unit_11	site_7	0
unit_11	site_8	0
unit_12	site_9	0
unit_12	site_10	0
unit_12	site_1	1
unit_12	site_2	0
unit_12	site_3	1
unit_12	site_4	0
unit_12	site_5	0
unit_13	site_6	1
unit_13	site_7	0
unit_13	site_8	0
unit_13	site_9	0
unit_13	site_10	0
unit_13	site_1	0
unit_13	site_2	0
unit_14	site_3	1
unit_14	site_4	0
unit_14	site_5	1
unit_14	site_6	0
unit_14	site_7	0
unit_14	site_8	0
unit_14	site_9	0
unit_15	site_10	0
unit_15	site_1	0
unit_15	site_2	0
unit_15	site_3	0
unit_15	site_4	0
unit_15	site_5	0
unit_15	site_6	0
unit_16	site_7	0
unit_16	site_8	0
unit_16	site_9	0
unit_16	site_10	0
unit_16	site_1	0
unit_16	site_2	0
unit_16	site_3	0
unit_17	site_4	1
unit_17	site_5	1
unit_17	site_6	1
unit_17	site_7	1
unit_17	site_8	1
unit_17	site_9	1
unit_17	site_10	1
unit_18	site_1	0
unit_18	site_2	0
unit_18	site_3	0
unit_18	site_4	0
unit_18	site_5	0
unit_18	site_6	0
unit_18	site_7	0
unit_19	site_8	0
unit_19	site_9	0
unit_19	site_10	0
unit_19	site_1	0
unit_19	site_2	0
unit_19	site_3	0
unit_19	site_4	0
unit_20	site_5	1
unit_20	site_6	1
unit_20	site_7	1
unit_20	site_8	1
unit_20	site_9	0
unit_20	site_10	1
unit_20	site_1	0
unit_21	site_2	0
unit_21	site_3	1
unit_21	site_4	0
unit_21	site_5	0
unit_21	site_6	0
unit_21	site_7	0
unit_21	site_8	0
unit_22	site_9	0
unit_22	site_10	1
unit_22	site_1	0
unit_22	site_2	1
unit_22	site_3	0
unit_22	site_4	0
unit_22	site_5	0
unit_23	site_6	1
unit_23	site_7	0
unit_23	site_8	0
unit_23	site_9	0
unit_23	site_10	0
unit_23	site_1	0
unit_23	site_2	0
unit_24	site_3	0
unit_24	site_4	0
unit_24	site_5	0
unit_24	site_6	0
unit_24	site_7	0
unit_24	site_8	0
unit_24	site_9	0
unit_25	site_10	0
unit_25	site_1	0
unit_25	site_2	0
unit_25	site_3	0
unit_25	site_4	0
unit_25	site_5	0
unit_25	site_6	0
unit_26	site_7	0
unit_26	site_8	1
unit_26	site_9	1
unit_26	site_10	0
unit_26	site_1	1
unit_26	site_2	0
unit_26	site_3	0
unit_27	site_4	1
unit_27	site_5	1
unit_27	site_6	1
unit_27	site_7	1
unit_27	site_8	0
unit_27	site_9	0
unit_27	site_10	0
unit_28	site_1	1
unit_28	site_2	0
unit_28	site_3	0
unit_28	site_4	0
unit_28	site_5	0
unit_28	site_6	1
unit_28	site_7	1
unit_29	site_8	1
unit_29	site_9	0
unit_29	site_10	0
unit_29	site_1	0
unit_29	site_2	0
unit_29	site_3	0
unit_29	site_4	0
unit_30	site_5	1
unit_30	site_6	1
unit_30	site_7	1
unit_30	site_8	1
unit_30	site_9	1
unit_30	site_10	1
unit_30	site_1	1
unit_30	site_2	1
