stage_index	interaction_id	cell_pair_id	association_pvalue	interaction_strength_like_value
0	interaction_0114	cell_pair_0002	0.0009	3.82446238078286
0	interaction_0114	cell_pair_0002	0.0009	3.82446238078286
0	interaction_0224	cell_pair_0005	0.0009	3.393828026453
0	interaction_0159	cell_pair_0006	0.0009	2.70995227069982
0	interaction_0186	cell_pair_0005	0.0009	2.5609594583376
0	interaction_0186	cell_pair_0001	0.0009	2.55311470811523
0	interaction_0186	cell_pair_0002	0.0009	2.46283760142902
0	interaction_0186	cell_pair_0004	0.0009	2.46126660848879
0	interaction_0188	cell_pair_0002	0.0009	2.45575462218619
0	interaction_0188	cell_pair_0001	0.0009	2.45022149589718
0	interaction_0188	cell_pair_0004	0.0009	2.44969342303591
0	interaction_0162	cell_pair_0004	0.0009	2.43988904761978
0	interaction_0231	cell_pair_0005	0.0009	2.24671210053186
0	interaction_0224	cell_pair_0004	0.0009	2.20288783347014
0	interaction_0231	cell_pair_0001	0.0009	2.17472598770613
0	interaction_0231	cell_pair_0004	0.0009	2.14665522211947
0	interaction_0231	cell_pair_0002	0.0009	2.1243281350022
0	interaction_0231	cell_pair_0003	0.0009	2.11869195279181
0	interaction_0117	cell_pair_0006	0.0009	2.00396196615242
0	interaction_0165	cell_pair_0005	0.0009	1.91226662806645
0	interaction_0167	cell_pair_0005	0.0009	1.91226662806645
0	interaction_0164	cell_pair_0005	0.0009	1.87931367631089
0	interaction_0162	cell_pair_0006	0.0009	1.86987140617771
0	interaction_0166	cell_pair_0006	0.0009	1.85079942312548
0	interaction_0165	cell_pair_0006	0.0009	1.85079942312548
0	interaction_0165	cell_pair_0003	0.0009	1.84478735007906
0	interaction_0165	cell_pair_0004	0.0009	1.83673208045914
0	interaction_0165	cell_pair_0001	0.0009	1.83511561525822
0	interaction_0167	cell_pair_0001	0.0009	1.83511561525822
0	interaction_0162	cell_pair_0005	0.0009	1.83349733685984
0	interaction_0161	cell_pair_0004	0.0009	1.83066097439976
0	interaction_0164	cell_pair_0004	0.0009	1.82944368136659
0	interaction_0165	cell_pair_0002	0.0009	1.82374936030827
0	interaction_0167	cell_pair_0002	0.0009	1.80817908377147
0	interaction_0159	cell_pair_0009	0.0009	1.80694266457776
0	interaction_0254	cell_pair_0006	0.0009	1.64570165857883
0	interaction_0174	cell_pair_0003	0.0009	1.53356334821451
0	interaction_0244	cell_pair_0001	0.0009	1.20163386116965
0	interaction_0173	cell_pair_0006	0.0009	1.16221003631431
0	interaction_0170	cell_pair_0006	0.0009	1.05032755355842
0	interaction_0174	cell_pair_0002	0.0009	1.01720929003222
0	interaction_0181	cell_pair_0001	0.0009	0.984042426097024
0	interaction_0212	cell_pair_0002	0.0009	0.971589535530062
0	interaction_0212	cell_pair_0001	0.0009	0.962734090595803
0	interaction_0272	cell_pair_0003	0.0009	0.72159139877538
0	interaction_0211	cell_pair_0005	0.0009	0.632268215499513
0	interaction_0192	cell_pair_0004	0.0009	0.507921464957328
0	interaction_0248	cell_pair_0003	0.0009	0.356143810225275
0	interaction_0210	cell_pair_0004	0.0009	0.280956313831056
0	interaction_0211	cell_pair_0002	0.0009	0.269033146455237
0	interaction_0210	cell_pair_0003	0.0009	0.264236151043547
0	interaction_0158	cell_pair_0002	0.0009	0.261831658752137
0	interaction_0209	cell_pair_0005	0.0009	0.24000896473507
0	interaction_0211	cell_pair_0004	0.0009	0.222804561045261
0	interaction_0210	cell_pair_0002	0.0009	0.212880566344385
0	interaction_0248	cell_pair_0005	0.0009	0.209141397838592
0	interaction_0218	cell_pair_0005	0.0009	0.189033824390017
0	interaction_0210	cell_pair_0005	0.0009	0.186500557644495
0	interaction_0062	cell_pair_0003	0.0009	0.162210036314307
0	interaction_0209	cell_pair_0004	0.0009	0.160920188181103
0	interaction_0249	cell_pair_0005	0.0009	0.151858816727005
0	interaction_0250	cell_pair_0005	0.0009	0.151858816727005
0	interaction_0250	cell_pair_0003	0.0009	0.128293401009818
0	interaction_0248	cell_pair_0006	0.0009	0.121678556588252
0	interaction_0249	cell_pair_0003	0.0009	0.116364756691785
0	interaction_0242	cell_pair_0003	0.0009	0.11503324294624
0	interaction_0271	cell_pair_0003	0.0009	0.105678077894537
0	interaction_0192	cell_pair_0003	0.0009	0.0922074380970889
0	interaction_0192	cell_pair_0002	0.0009	0.0922074380970889
0	interaction_0248	cell_pair_0002	0.0009	0.0454429707611671
0	interaction_0062	cell_pair_0005	0.0009	0.0398402645317911
0	interaction_0192	cell_pair_0005	0.0009	0.00144197417390632
0	interaction_0249	cell_pair_0004	0.0009	-0.0424567992428948
0	interaction_0250	cell_pair_0004	0.0009	-0.0424567992428948
0	interaction_0179	cell_pair_0005	0.0009	-0.129733929604017
0	interaction_0117	cell_pair_0003	0.0009	-0.136061549576028
0	interaction_0173	cell_pair_0005	0.0009	-0.145605322246899
0	interaction_0148	cell_pair_0005	0.0009	-0.172993990361023
0	interaction_0173	cell_pair_0004	0.0009	-0.181149439104566
0	interaction_0179	cell_pair_0004	0.0009	-0.187707155126729
0	interaction_0064	cell_pair_0003	0.0009	-0.24297675349254
0	interaction_0090	cell_pair_0006	0.0009	-0.288064643021079
0	interaction_0216	cell_pair_0005	0.0009	-0.349235440883098
0	interaction_0089	cell_pair_0001	0.0009	-0.354759487354735
0	interaction_0277	cell_pair_0005	0.0009	-0.403541860441014
0	interaction_0064	cell_pair_0005	0.0009	-0.409278229990159
0	interaction_0070	cell_pair_0003	0.0009	-0.446148031818874
0	interaction_0170	cell_pair_0004	0.0009	-0.486004020632987
0	interaction_0094	cell_pair_0004	0.0009	-0.573466861883327
0	interaction_0133	cell_pair_0003	0.0009	-0.577766999316952
0	interaction_0184	cell_pair_0006	0.0009	-0.628162382669579
0	interaction_0094	cell_pair_0003	0.0009	-0.63486740654747
0	interaction_0110	cell_pair_0001	0.0009	-0.639354797539784
0	interaction_0070	cell_pair_0005	0.0009	-0.639354797539784
0	interaction_0173	cell_pair_0002	0.0009	-0.641603738043346
0	interaction_0064	cell_pair_0004	0.0009	-0.650634722405787
0	interaction_0093	cell_pair_0004	0.0009	-0.666576266274808
0	interaction_0110	cell_pair_0005	0.0009	-0.689659879387849
0	interaction_0082	cell_pair_0003	0.0009	-0.694321256757713
0	interaction_0225	cell_pair_0006	0.0009	-0.696657605512669
0	interaction_0066	cell_pair_0003	0.0009	-0.710755714843358
0	interaction_0106	cell_pair_0001	0.0009	-0.746615764199926
0	interaction_0076	cell_pair_0003	0.0009	-0.749038426466781
0	interaction_0234	cell_pair_0004	0.0009	-0.749038426466781
0	interaction_0100	cell_pair_0001	0.0009	-0.77595972578207
0	interaction_0074	cell_pair_0003	0.0009	-0.778432211461591
0	interaction_0179	cell_pair_0001	0.0009	-0.790858602161408
0	interaction_0179	cell_pair_0003	0.0009	-0.803392955905182
0	interaction_0225	cell_pair_0005	0.0009	-0.818579359719858
0	interaction_0068	cell_pair_0003	0.0009	-0.857259827883918
0	interaction_0179	cell_pair_0002	0.0009	-0.859875776090929
0	interaction_0035	cell_pair_0003	0.0009	-0.894321922105463
0	interaction_0012	cell_pair_0003	0.0009	-0.897006006676674
0	interaction_0110	cell_pair_0003	0.0009	-0.918660372548061
0	interaction_0082	cell_pair_0005	0.0009	-0.926865295369785
0	interaction_0014	cell_pair_0001	0.0009	-0.932361283124637
0	interaction_0225	cell_pair_0003	0.0009	-0.940644722383579
0	interaction_0066	cell_pair_0005	0.0009	-0.946193556304206
0	interaction_0088	cell_pair_0006	0.0009	-0.948975996975533
0	interaction_0182	cell_pair_0006	0.0009	-0.974262438586392
0	interaction_0076	cell_pair_0005	0.0009	-0.99136969485656
0	interaction_0127	cell_pair_0003	0.0009	-0.997117491466879
0	interaction_0218	cell_pair_0004	0.0009	-1.01158797427521
0	interaction_0074	cell_pair_0005	0.0009	-1.02620507034739
0	interaction_0134	cell_pair_0005	0.0009	-1.12658049656514
0	interaction_0131	cell_pair_0005	0.0009	-1.16165326347877
0	interaction_0035	cell_pair_0005	0.0009	-1.16488438474178
0	interaction_0216	cell_pair_0002	0.0009	-1.18114943910457
0	interaction_0172	cell_pair_0009	0.0009	-1.18442457113743
0	interaction_0172	cell_pair_0002	0.0009	-1.18770715512673
0	interaction_0238	cell_pair_0003	0.0009	-1.19099722506091
0	interaction_0104	cell_pair_0002	0.0009	-1.19759995988516
0	interaction_0098	cell_pair_0002	0.0009	-1.23786383009889
0	interaction_0157	cell_pair_0005	0.0009	-1.2584251525812
0	interaction_0214	cell_pair_0004	0.0009	-1.26188071121742
0	interaction_0213	cell_pair_0005	0.0009	-1.26188071121742
0	interaction_0150	cell_pair_0002	0.0009	-1.265344566521
0	interaction_0082	cell_pair_0004	0.0009	-1.28630418515664
0	interaction_0115	cell_pair_0003	0.0009	-1.31114825613412
0	interaction_0066	cell_pair_0004	0.0009	-1.31114825613412
0	interaction_0216	cell_pair_0004	0.0009	-1.31114825613412
0	interaction_0238	cell_pair_0002	0.0009	-1.33642766458248
0	interaction_0233	cell_pair_0006	0.0009	-1.34373246520571
0	interaction_0258	cell_pair_0004	0.0009	-1.34739878240348
0	interaction_0265	cell_pair_0003	0.0009	-1.35475948735473
0	interaction_0110	cell_pair_0002	0.0009	-1.35475948735473
0	interaction_0214	cell_pair_0002	0.0009	-1.41119543298445
