assay_id	compartment_id	endpoint_type	condition_role	replicate_id	response_value
assay_1	compartment_1	endpoint_fraction	baseline	replicate_1	4.03
assay_1	compartment_1	endpoint_fraction	baseline	replicate_2	3.71
assay_1	compartment_1	endpoint_fraction	baseline	replicate_3	1.98
assay_1	compartment_1	endpoint_fraction	baseline	replicate_4	5.72
assay_1	compartment_1	endpoint_fraction	perturbation	replicate_1	7.03
assay_1	compartment_1	endpoint_fraction	perturbation	replicate_2	8.32
assay_1	compartment_1	endpoint_fraction	perturbation	replicate_3	5.9
assay_1	compartment_1	endpoint_fraction	perturbation	replicate_4	6.5
assay_1	compartment_2	endpoint_fraction	baseline	replicate_1	4.24
assay_1	compartment_2	endpoint_fraction	baseline	replicate_2	4.84
assay_1	compartment_2	endpoint_fraction	baseline	replicate_3	6.75
assay_1	compartment_2	endpoint_fraction	baseline	replicate_4	7.6
assay_1	compartment_2	endpoint_fraction	perturbation	replicate_1	9.64
assay_1	compartment_2	endpoint_fraction	perturbation	replicate_2	9.89
assay_1	compartment_2	endpoint_fraction	perturbation	replicate_3	8.54
assay_1	compartment_2	endpoint_fraction	perturbation	replicate_4	7.82
assay_1	compartment_3	endpoint_fraction	baseline	replicate_1	9.64
assay_1	compartment_3	endpoint_fraction	baseline	replicate_2	8.54
assay_1	compartment_3	endpoint_fraction	baseline	replicate_3	10.24
assay_1	compartment_3	endpoint_fraction	baseline	replicate_4	8.66
assay_1	compartment_3	endpoint_fraction	perturbation	replicate_1	14.55
assay_1	compartment_3	endpoint_fraction	perturbation	replicate_2	17.93
assay_1	compartment_3	endpoint_fraction	perturbation	replicate_3	12.73
assay_1	compartment_3	endpoint_fraction	perturbation	replicate_4	16.53
assay_1	compartment_1	endpoint_count	baseline	replicate_1	229562.0
assay_1	compartment_1	endpoint_count	baseline	replicate_2	617372.0
assay_1	compartment_1	endpoint_count	baseline	replicate_3	264564.0
assay_1	compartment_1	endpoint_count	baseline	replicate_4	209853.0
assay_1	compartment_1	endpoint_count	perturbation	replicate_1	730235.0
assay_1	compartment_1	endpoint_count	perturbation	replicate_2	644336.0
assay_1	compartment_1	endpoint_count	perturbation	replicate_3	768056.0
assay_1	compartment_1	endpoint_count	perturbation	replicate_4	457220.0
assay_1	compartment_2	endpoint_count	baseline	replicate_1	60903.0
assay_1	compartment_2	endpoint_count	baseline	replicate_2	115260.0
assay_1	compartment_2	endpoint_count	baseline	replicate_3	94640.0
assay_1	compartment_2	endpoint_count	baseline	replicate_4	136554.0
assay_1	compartment_2	endpoint_count	perturbation	replicate_1	223170.0
assay_1	compartment_2	endpoint_count	perturbation	replicate_2	131426.0
assay_1	compartment_2	endpoint_count	perturbation	replicate_3	146180.0
assay_1	compartment_2	endpoint_count	perturbation	replicate_4	184208.0
assay_1	compartment_3	endpoint_count	baseline	replicate_1	26760.0
assay_1	compartment_3	endpoint_count	baseline	replicate_2	28874.0
assay_1	compartment_3	endpoint_count	baseline	replicate_3	30020.0
assay_1	compartment_3	endpoint_count	baseline	replicate_4	13505.0
assay_1	compartment_3	endpoint_count	perturbation	replicate_1	48150.0
