assay_id	intervention_setting_id	replicate_id	response_value
assay_1	intervention_setting_1	replicate_1	1.00569
assay_1	intervention_setting_2	replicate_1	55.32748
assay_1	intervention_setting_3	replicate_1	10.72641
assay_1	intervention_setting_4	replicate_1	6.47253
assay_1	intervention_setting_5	replicate_1	49.20135
assay_1	intervention_setting_1	replicate_2	1.0
assay_1	intervention_setting_2	replicate_2	49.29824
assay_1	intervention_setting_3	replicate_2	9.91536
assay_1	intervention_setting_4	replicate_2	5.73412
assay_1	intervention_setting_5	replicate_2	51.7264
assay_1	intervention_setting_1	replicate_3	0.69177
assay_1	intervention_setting_2	replicate_3	58.02248
assay_1	intervention_setting_3	replicate_3	9.4495
assay_1	intervention_setting_4	replicate_3	7.98342
assay_1	intervention_setting_5	replicate_3	48.77462
assay_2	intervention_setting_1	replicate_1	770.0
assay_2	intervention_setting_2	replicate_1	1608.0
assay_2	intervention_setting_3	replicate_1	1342.0
assay_2	intervention_setting_4	replicate_1	1210.0
assay_2	intervention_setting_5	replicate_1	1844.0
assay_2	intervention_setting_1	replicate_2	630.0
assay_2	intervention_setting_2	replicate_2	1806.0
assay_2	intervention_setting_3	replicate_2	1366.0
assay_2	intervention_setting_4	replicate_2	1152.0
assay_2	intervention_setting_5	replicate_2	1830.0
assay_2	intervention_setting_1	replicate_3	700.0
assay_2	intervention_setting_2	replicate_3	1750.0
assay_2	intervention_setting_3	replicate_3	1196.0
assay_2	intervention_setting_4	replicate_3	1166.0
assay_2	intervention_setting_5	replicate_3	1744.0
assay_3	intervention_setting_1	replicate_1	4.92
assay_3	intervention_setting_2	replicate_1	11.51
assay_3	intervention_setting_3	replicate_1	7.19
assay_3	intervention_setting_4	replicate_1	6.4
assay_3	intervention_setting_5	replicate_1	9.78
assay_3	intervention_setting_1	replicate_2	3.76
assay_3	intervention_setting_2	replicate_2	11.01
assay_3	intervention_setting_3	replicate_2	8.42
assay_3	intervention_setting_4	replicate_2	6.22
assay_3	intervention_setting_5	replicate_2	10.36
assay_3	intervention_setting_1	replicate_3	4.01
assay_3	intervention_setting_2	replicate_3	10.02
assay_3	intervention_setting_3	replicate_3	7.0
assay_3	intervention_setting_4	replicate_3	6.5
assay_3	intervention_setting_5	replicate_3	10.92
