input_condition_role	system_state_id	replicate_id	measured_abundance_au
pre_input	background_state	replicate_1	703.19
pre_input	background_state	replicate_2	1813.01
pre_input	background_state	replicate_3	731.74
pre_input	perturbed_state	replicate_1	891.48
pre_input	perturbed_state	replicate_2	1081.98
pre_input	perturbed_state	replicate_3	1341.2
pre_input	perturbed_state	replicate_4	972.68
nutrient_input	background_state	replicate_1	3307.7
nutrient_input	background_state	replicate_2	9377.94
nutrient_input	background_state	replicate_3	6709.52
nutrient_input	background_state	replicate_4	13263.61
nutrient_input	perturbed_state	replicate_1	15878.49
nutrient_input	perturbed_state	replicate_2	12680.44
nutrient_input	perturbed_state	replicate_3	8428.65
nutrient_input	perturbed_state	replicate_4	5125.97
nutrient_input	perturbed_state	replicate_5	12176.11
