system_state_id	time_min	replicate_id	normalized_signaling_response
background_state	0.0	replicate_1	1.102336
background_state	0.0	replicate_2	0.897664
background_state	0.0	replicate_3	1.491249
background_state	0.0	replicate_4	0.508751
perturbed_state	0.0	replicate_1	1.453781
perturbed_state	0.0	replicate_2	1.350396
perturbed_state	0.0	replicate_3	1.160154
perturbed_state	0.0	replicate_4	1.535426
background_state	5.0	replicate_1	1.622907
background_state	5.0	replicate_2	1.841175
background_state	5.0	replicate_3	2.885883
background_state	5.0	replicate_4	4.108577
perturbed_state	5.0	replicate_1	3.613684
perturbed_state	5.0	replicate_2	2.792973
perturbed_state	5.0	replicate_3	3.246076
perturbed_state	5.0	replicate_4	4.849481
background_state	10.0	replicate_1	5.304466
background_state	10.0	replicate_2	6.062394
background_state	10.0	replicate_3	8.909964
background_state	10.0	replicate_4	9.431876
perturbed_state	10.0	replicate_1	9.529863
perturbed_state	10.0	replicate_2	6.988805
perturbed_state	10.0	replicate_3	8.141585
perturbed_state	10.0	replicate_4	6.463907
background_state	20.0	replicate_1	9.732599
background_state	20.0	replicate_2	8.217009
background_state	20.0	replicate_3	12.77531
background_state	20.0	replicate_4	12.67141
perturbed_state	20.0	replicate_1	16.95511
perturbed_state	20.0	replicate_2	13.49612
perturbed_state	20.0	replicate_3	10.76253
perturbed_state	20.0	replicate_4	8.018999
background_state	30.0	replicate_1	9.844685
background_state	30.0	replicate_2	7.217377
background_state	30.0	replicate_3	11.06976
background_state	30.0	replicate_4	12.6309
perturbed_state	30.0	replicate_1	14.74837
perturbed_state	30.0	replicate_2	12.80672
perturbed_state	30.0	replicate_3	7.358229
perturbed_state	30.0	replicate_4	9.75209
