time_s	temperature_K	field_Oe	magnetic_moment_emu	moment_std_err_emu
3839651416	859.9960938	0.14690122	8.45E-06	4.28E-08
3839651426	860.0128784	100.0642166	9.99E-05	2.63E-08
3839651437	859.9954834	199.83461	0.000135856	2.09E-08
3839651448	860.001709	299.8743591	0.000155149	3.77E-08
3839651459	859.9953003	399.8773499	0.000168919	2.81E-08
3839651470	859.9959717	499.8313599	0.000180003	3.92E-08
3839651485	860.0171509	599.7609253	0.00018951	4.66E-08
3839651495	860.00177	699.7761841	0.000198337	3.97E-08
3839651506	860.0083008	799.7669678	0.0002067	1.22E-07
3839651517	859.9957275	899.7822266	0.000214836	6.55E-08
3839651528	859.9833984	999.8218994	0.000222544	5.12E-08
3839651541	860.0146484	1099.629028	0.000229949	3.48E-08
3839651552	859.9907227	1199.742188	0.00023754	6.78E-08
3839651564	860.008667	1299.830933	0.000244837	5.75E-08
3839651575	860.0049438	1400.286865	0.000252181	3.24E-08
3839651587	860.0240479	1500.228638	0.000259368	1.10E-07
3839651597	860.0128174	1600.182617	0.000266523	1.07E-07
3839651608	860.0050049	1700.185669	0.000273698	4.54E-08
3839651619	859.9935913	1800.20105	0.000280614	4.03E-08
3839651630	860.0045776	1900.314209	0.000287524	4.38E-08
3839651641	860.012085	2000.35376	0.000294434	8.00E-08
3839651652	859.9980469	2099.695801	0.00030122	7.19E-08
3839651662	860.0252075	2199.943604	0.000307988	5.96E-08
3839651673	859.9953613	2299.652832	0.000314727	7.32E-08
3839651684	859.9907227	2400.072021	0.000321515	6.31E-08
3839651695	860.0167847	2500.087402	0.000328265	6.65E-08
3839651707	859.9851074	2600.176025	0.000335066	9.74E-08
3839651719	860.0022583	2700.240234	0.00034179	5.34E-08
3839651730	859.9967041	2799.863525	0.00034853	5.09E-08
3839651741	860.0080566	2899.854492	0.000355211	1.09E-07
3839651751	860.0068359	2999.906494	0.000361962	8.16E-08
3839651762	860.008728	3099.762451	0.000368639	5.04E-08
3839651773	860.0160522	3199.630859	0.000375367	6.68E-08
3839651784	860.0202026	3299.939941	0.000381893	9.33E-08
3839651795	859.9810181	3399.722656	0.000388596	1.38E-07
3839651805	860.0092163	3499.958252	0.000395248	5.45E-08
3839651817	859.9994507	3599.75293	0.000401923	7.12E-08
3839651828	859.9989014	3699.817383	0.000408679	8.41E-08
3839651840	860.0227051	3799.83252	0.000415226	8.36E-08
3839651851	860.0203857	3899.835449	0.000421789	1.17E-07
3839651862	859.9842529	3999.507813	0.000428523	5.53E-08
3839651873	860.015686	4099.510742	0.000435038	9.99E-08
3839651884	860.0087891	4199.636719	0.00044163	6.39E-08
3839651895	859.9822998	4299.578125	0.000448048	1.04E-07
3839651906	860.0076294	4399.654785	0.000454571	7.48E-08
3839651920	859.9891968	4500.147461	0.000461115	1.02E-07
3839651931	859.9910278	4600.064941	0.00046776	1.39E-07
3839651943	860.0800781	4699.700684	0.000474248	8.75E-08
3839651954	860.0444336	4799.593262	0.000480521	1.63E-07
3839651966	860.0139771	4899.608398	0.00048708	1.40E-07
3839651978	860.0003662	4999.586914	0.000493687	1.60E-07
3839651989	860.0144043	5099.614746	0.00050023	6.23E-08
3839652001	859.9920654	5199.886719	0.000506929	9.71E-08
3839652012	859.9946899	5299.608398	0.000513252	1.12E-07
3839652024	859.989624	5399.708984	0.000519786	1.58E-07
3839652036	859.9976196	5499.491699	0.000526195	1.28E-07
3839652048	859.9572754	5599.788574	0.000532762	1.69E-07
3839652059	859.9868164	5699.522461	0.000539418	1.14E-07
3839652070	859.9742432	5799.562012	0.000545664	1.66E-07
3839652082	860.0271606	5899.932617	0.000552181	1.37E-07
3839652093	859.9891357	5999.837402	0.000558661	2.04E-07
3839652105	860.0115967	6099.558594	0.000564854	1.93E-07
3839652116	859.9909668	6199.524902	0.000571397	1.40E-07
3839652127	859.9866333	6299.527832	0.000577809	8.58E-08
3839652139	859.996582	6399.567871	0.000584157	1.69E-07
3839652151	860.006897	6499.852539	0.00059065	1.17E-07
3839652165	860.0102539	6600.308594	0.000597002	2.14E-07
3839652176	860.0075684	6700.054199	0.000603597	1.03E-07
3839652187	859.9929199	6799.519043	0.000610141	1.42E-07
3839652199	860.0134888	6899.533691	0.000616774	9.99E-08
3839652210	859.9887085	6999.793945	0.000623337	1.36E-07
3839652221	860	7099.649902	0.000629708	1.88E-07
3839652232	859.9994507	7199.714355	0.000636157	1.03E-07
3839652244	859.9935303	7299.791016	0.000642793	9.87E-08
3839652254	859.9939575	7399.62207	0.00064917	1.70E-07
3839652265	860.0100098	7499.661621	0.000655389	1.59E-07
3839652276	860.0420532	7599.65332	0.000661974	1.06E-07
3839652286	859.9927979	7699.619629	0.000668409	1.24E-07
3839652297	860.0112305	7799.609863	0.000674746	1.49E-07
3839652308	860.0115356	7899.809082	0.000681193	2.45E-07
3839652319	860.02771	7999.640137	0.000687618	1.01E-07
3839652329	860.013916	8099.753418	0.000694032	1.47E-07
3839652340	859.9897461	8199.646484	0.000700646	9.31E-08
3839652351	859.994751	8299.576172	0.000706761	1.31E-07
3839652362	860.0185547	8399.554688	0.000713168	2.89E-07
3839652373	859.989502	8499.582031	0.00071975	1.24E-07
3839652384	860.0306396	8599.854492	0.000726131	1.59E-07
3839652394	860.0152588	8699.563477	0.000732339	1.67E-07
3839652406	859.9880981	8799.651367	0.000738757	1.94E-07
3839652417	860.0075684	8899.679688	0.000745403	1.21E-07
3839652428	859.9729614	8999.731445	0.00075185	1.33E-07
3839652438	860.0074463	9099.612305	0.000758145	1.07E-07
3839652449	860.0021973	9199.664063	0.000764639	1.49E-07
3839652460	859.9863281	9299.544922	0.000770675	3.13E-07
3839652471	859.9911499	9399.523438	0.000777326	1.92E-07
3839652481	860.0123901	9499.575195	0.000783816	3.33E-07
3839652492	860.0103149	9599.59082	0.0007902	1.92E-07
3839652512	860.0100098	9699.520508	0.000797011	7.26E-08
3839652523	859.9672241	9799.755859	0.000803391	1.86E-07
3839652533	860.0081177	9899.563477	0.000809434	2.77E-07
3839652544	859.9975586	9999.566406	0.000815857	9.99E-08
3839652556	859.9963379	10099.77734	0.000822293	9.20E-08
3839652567	859.9870605	10199.46191	0.000828492	2.79E-07
3839652587	860.00354	10299.75879	0.000835045	1.83E-07
3839652597	859.9963989	10399.65137	0.000841389	3.18E-07
3839652609	860.0300293	10499.67871	0.000847869	3.09E-07
3839652620	860.0076294	10599.58398	0.000854397	2.41E-07
3839652632	859.9869385	10699.5625	0.000860759	3.14E-07
3839652643	860.0058594	10799.57813	0.000867319	2.15E-07
3839652655	859.9744263	10899.6416	0.000873738	2.70E-07
3839652666	859.9967041	10999.80371	0.000880078	3.11E-07
3839652678	859.9937134	11099.78223	0.000886384	2.75E-07
3839652689	860.0053101	11199.8584	0.000893005	1.14E-07
3839652701	859.9989624	11299.6416	0.000898938	1.99E-07
3839652712	859.9990234	11399.69336	0.000905626	3.39E-07
3839652724	859.9957275	11499.59863	0.000911954	3.96E-07
3839652735	859.9846191	11599.76074	0.000918595	2.45E-07
3839652747	860	11699.77637	0.000924626	2.54E-07
3839652758	859.9974365	11799.70508	0.000931326	3.39E-07
3839652770	860.0127563	11899.58594	0.000937724	1.76E-07
3839652782	859.9890747	11999.74805	0.000944099	4.12E-07
3839652793	860.0111694	12099.84863	0.000950464	1.59E-07
3839652804	859.9854736	12199.83984	0.000956835	1.86E-07
3839652816	860.000061	12299.74512	0.000963167	3.27E-07
3839652827	859.9827271	12399.77246	0.000969851	3.02E-07
3839652839	859.9865723	12499.65332	0.000975935	3.40E-07
3839652850	859.9970703	12599.57031	0.000982566	2.42E-07
3839652862	859.9733276	12699.69629	0.000988923	2.66E-07
3839652873	859.9886475	12799.77246	0.00099543	3.38E-07
3839652885	859.994812	12899.60352	0.001001804	2.03E-07
3839652896	859.9973145	12999.75391	0.001008012	1.92E-07
3839652908	860.0367432	13099.59766	0.001014487	3.95E-07
3839652919	859.9811401	13199.52734	0.001020947	3.60E-07
3839652931	860.0011597	13299.68945	0.001027127	2.10E-07
3839652942	859.994812	13399.72852	0.001033443	2.23E-07
3839652954	860.0087891	13499.53516	0.001039651	3.63E-07
3839652965	859.9786377	13599.58789	0.001046055	2.78E-07
3839652977	860.0064697	13699.54199	0.001052379	1.65E-07
3839652988	860.0169067	13799.59375	0.001058569	3.87E-07
3839652999	860.0141602	13899.85449	0.00105979	4.63E-06
3839653011	860.005127	13999.68555	0.001071003	2.12E-07
3839653022	859.9833984	14099.55371	0.001077664	2.51E-07
3839653043	860.0102539	14199.54492	0.00108415	2.98E-07
