sample_class	bias_V	current_A
reference_membrane	-0.2	-1.82581e-11
modified_membrane	0.00253	3.11024e-12
reference_membrane	-0.15556	-1.3927e-11
modified_membrane	0.00337	3.96858e-12
reference_membrane	-0.11111	-9.59585e-12
modified_membrane	0.0042	4.82943e-12
reference_membrane	-0.06667	-5.26473e-12
modified_membrane	0.00503	5.68865e-12
reference_membrane	-0.02222	-9.33617e-13
modified_membrane	0.00587	6.55036e-12
reference_membrane	0.02222	3.3975e-12
modified_membrane	0.0067	7.40834e-12
reference_membrane	0.06667	7.72861e-12
modified_membrane	0.00753	8.26878e-12
reference_membrane	0.11111	1.20597e-11
modified_membrane	0.00836	9.12754e-12
reference_membrane	0.15556	1.63908e-11
modified_membrane	0.0092	9.98977e-12
reference_membrane	0.2	2.0722e-11
modified_membrane	0.01003	1.08524e-11
modified_membrane	0.01086	1.17122e-11
modified_membrane	0.0117	1.25765e-11
modified_membrane	0.01253	1.34401e-11
modified_membrane	0.01337	1.43072e-11
modified_membrane	0.0142	1.51693e-11
modified_membrane	0.01503	1.60339e-11
modified_membrane	0.01587	1.68967e-11
modified_membrane	0.0167	1.77587e-11
modified_membrane	0.01753	1.8622e-11
modified_membrane	0.01836	1.94877e-11
modified_membrane	0.0192	2.03557e-11
modified_membrane	0.02003	2.12188e-11
modified_membrane	0.02086	2.20853e-11
modified_membrane	0.0217	2.29541e-11
modified_membrane	0.02254	2.38252e-11
modified_membrane	0.02337	2.46893e-11
modified_membrane	0.0242	2.55546e-11
modified_membrane	0.02504	2.64212e-11
modified_membrane	0.02587	2.72901e-11
modified_membrane	0.0267	2.81582e-11
modified_membrane	0.02754	2.90254e-11
modified_membrane	0.02837	2.98939e-11
modified_membrane	0.02921	3.07626e-11
modified_membrane	0.03004	3.1631e-11
modified_membrane	0.03087	3.24962e-11
modified_membrane	0.0317	3.33669e-11
modified_membrane	0.03253	3.4233e-11
modified_membrane	0.03337	3.50993e-11
modified_membrane	0.0342	3.5966e-11
modified_membrane	0.03503	3.68328e-11
modified_membrane	0.03587	3.77099e-11
modified_membrane	0.0367	3.85767e-11
modified_membrane	0.03753	3.94464e-11
modified_membrane	0.03836	4.03149e-11
modified_membrane	0.0392	4.11871e-11
modified_membrane	0.04002	4.20473e-11
modified_membrane	0.04085	4.29155e-11
modified_membrane	0.04169	4.37942e-11
modified_membrane	0.04253	4.46668e-11
modified_membrane	0.04336	4.55383e-11
modified_membrane	0.0442	4.64146e-11
modified_membrane	0.04504	4.72884e-11
modified_membrane	0.04587	4.81562e-11
modified_membrane	0.04671	4.9034e-11
modified_membrane	0.04754	4.99063e-11
modified_membrane	0.04837	5.07769e-11
modified_membrane	0.04921	5.16484e-11
modified_membrane	0.05004	5.25233e-11
modified_membrane	0.05088	5.33974e-11
modified_membrane	0.05171	5.4269e-11
modified_membrane	0.05254	5.51386e-11
modified_membrane	0.05337	5.60118e-11
modified_membrane	0.05421	5.6884e-11
modified_membrane	0.05504	5.7756e-11
modified_membrane	0.05587	5.86301e-11
modified_membrane	0.0567	5.95011e-11
modified_membrane	0.05754	6.03736e-11
modified_membrane	0.05837	6.12491e-11
modified_membrane	0.0592	6.21203e-11
modified_membrane	0.06003	6.29928e-11
modified_membrane	0.06087	6.38674e-11
modified_membrane	0.0617	6.47388e-11
modified_membrane	0.06253	6.561e-11
modified_membrane	0.06336	6.6486e-11
modified_membrane	0.0642	6.73589e-11
modified_membrane	0.06503	6.82367e-11
modified_membrane	0.06586	6.911e-11
modified_membrane	0.0667	6.99902e-11
modified_membrane	0.06753	7.08618e-11
modified_membrane	0.06836	7.17353e-11
modified_membrane	0.0692	7.26129e-11
modified_membrane	0.07003	7.34876e-11
modified_membrane	0.07087	7.43647e-11
modified_membrane	0.0717	7.52407e-11
modified_membrane	0.07253	7.61123e-11
modified_membrane	0.07337	7.6991e-11
modified_membrane	0.0742	7.78684e-11
modified_membrane	0.07503	7.87411e-11
modified_membrane	0.07587	7.96213e-11
modified_membrane	0.0767	8.04937e-11
modified_membrane	0.07753	8.1372e-11
modified_membrane	0.07836	8.22447e-11
modified_membrane	0.07921	8.31314e-11
modified_membrane	0.08004	8.40101e-11
modified_membrane	0.08087	8.48852e-11
modified_membrane	0.08171	8.5762e-11
modified_membrane	0.08254	8.66385e-11
modified_membrane	0.08337	8.75146e-11
modified_membrane	0.0842	8.83935e-11
modified_membrane	0.08504	8.92696e-11
modified_membrane	0.00253	3.10714e-12
modified_membrane	0.00337	3.9727e-12
modified_membrane	0.0042	4.8284e-12
modified_membrane	0.00503	5.68453e-12
modified_membrane	0.00587	6.55139e-12
modified_membrane	0.0067	7.40834e-12
modified_membrane	0.00753	8.26568e-12
modified_membrane	0.00836	9.1234e-12
modified_membrane	0.0092	9.99184e-12
modified_membrane	0.01003	1.08503e-11
modified_membrane	0.01086	1.17091e-11
modified_membrane	0.0117	1.25786e-11
modified_membrane	0.01253	1.34381e-11
modified_membrane	0.01337	1.43082e-11
modified_membrane	0.0142	1.51683e-11
modified_membrane	0.01503	1.60287e-11
modified_membrane	0.01587	1.68998e-11
modified_membrane	0.0167	1.77608e-11
modified_membrane	0.01753	1.8622e-11
modified_membrane	0.01836	1.94836e-11
modified_membrane	0.0192	2.03557e-11
modified_membrane	0.02003	2.12178e-11
modified_membrane	0.02086	2.20801e-11
modified_membrane	0.0217	2.2953e-11
modified_membrane	0.02254	2.38262e-11
modified_membrane	0.02337	2.46893e-11
modified_membrane	0.0242	2.55525e-11
modified_membrane	0.02503	2.6416e-11
modified_membrane	0.02587	2.72901e-11
modified_membrane	0.0267	2.8154e-11
modified_membrane	0.02754	2.90285e-11
modified_membrane	0.02837	2.98929e-11
modified_membrane	0.0292	3.07574e-11
modified_membrane	0.03004	3.16326e-11
modified_membrane	0.03087	3.24975e-11
modified_membrane	0.0317	3.33626e-11
modified_membrane	0.03253	3.42279e-11
modified_membrane	0.03337	3.51038e-11
modified_membrane	0.0342	3.59695e-11
modified_membrane	0.03503	3.68354e-11
modified_membrane	0.03587	3.77118e-11
modified_membrane	0.0367	3.8578e-11
modified_membrane	0.03753	3.94444e-11
modified_membrane	0.03836	4.03109e-11
modified_membrane	0.0392	4.11881e-11
modified_membrane	0.04002	4.20445e-11
modified_membrane	0.04085	4.29115e-11
modified_membrane	0.04169	4.37892e-11
modified_membrane	0.04253	4.4667e-11
modified_membrane	0.04336	4.55345e-11
modified_membrane	0.0442	4.64126e-11
modified_membrane	0.04504	4.72909e-11
modified_membrane	0.04587	4.81589e-11
modified_membrane	0.04671	4.90374e-11
modified_membrane	0.04754	4.99057e-11
modified_membrane	0.04837	5.07741e-11
modified_membrane	0.04921	5.16531e-11
modified_membrane	0.05004	5.25219e-11
modified_membrane	0.05088	5.34012e-11
modified_membrane	0.05171	5.42702e-11
modified_membrane	0.05254	5.51393e-11
modified_membrane	0.05337	5.60086e-11
modified_membrane	0.05421	5.68884e-11
modified_membrane	0.05504	5.7758e-11
modified_membrane	0.05587	5.86277e-11
modified_membrane	0.0567	5.94975e-11
modified_membrane	0.05754	6.03779e-11
modified_membrane	0.05837	6.1248e-11
modified_membrane	0.0592	6.21182e-11
modified_membrane	0.06003	6.29886e-11
modified_membrane	0.06087	6.38696e-11
modified_membrane	0.0617	6.47402e-11
modified_membrane	0.06253	6.56109e-11
modified_membrane	0.06336	6.64818e-11
modified_membrane	0.0642	6.73633e-11
modified_membrane	0.06503	6.82344e-11
modified_membrane	0.06586	6.91057e-11
modified_membrane	0.0667	6.99876e-11
modified_membrane	0.06753	7.08591e-11
modified_membrane	0.06836	7.17307e-11
modified_membrane	0.0692	7.2613e-11
modified_membrane	0.07003	7.34849e-11
modified_membrane	0.07087	7.43674e-11
modified_membrane	0.0717	7.52395e-11
modified_membrane	0.07253	7.61118e-11
modified_membrane	0.07337	7.69947e-11
modified_membrane	0.0742	7.78672e-11
modified_membrane	0.07503	7.87398e-11
modified_membrane	0.07587	7.96231e-11
modified_membrane	0.0767	8.04959e-11
modified_membrane	0.07753	8.13689e-11
modified_membrane	0.07836	8.2242e-11
modified_membrane	0.07921	8.31363e-11
modified_membrane	0.08004	8.40096e-11
modified_membrane	0.08087	8.48831e-11
modified_membrane	0.08171	8.57672e-11
