test_condition	device_id	time_day	dimensionless_delta
Xe	device_01	7	-0.9
Xe	device_02	7	-0.8
Xe	device_03	7	-0.3
Xe	device_04	7	0.4
Xe	device_05	7	-0.5
Xe	device_06	7	-0.55
Xe	device_07	7	0.6
Xe	device_08	7	0
Xe	device_09	7	-0.2
Xe	device_10	7	-0.38
Xe	device_11	7	0.5
Kr	device_01	14	-0.4
Kr	device_02	14	0.9
Kr	device_03	14	0
Kr	device_04	14	-0.5
Kr	device_05	14	0.3
Kr	device_06	14	-0.75
Kr	device_07	14	-0.8
Kr	device_08	14	0.15
Kr	device_09	14	-0.6
Kr	device_10	14	0.8
Kr	device_11	14	0.1
Ar	device_01	21	0.25
Ar	device_02	21	0
Ar	device_03	21	0.7
Ar	device_04	21	-0.7
Ar	device_05	21	-0.1
Ar	device_06	21	-0.15
Ar	device_07	21	-0.6
Ar	device_08	21	-0.3
Ar	device_09	21	-0.2
Ar	device_10	21	0.2
Ar	device_11	21	-0.4
Ne	device_01	28	-0.9
Ne	device_02	28	0.7
Ne	device_03	28	0.05
Ne	device_04	28	0.4
Ne	device_05	28	-0.4
Ne	device_06	28	0.5
Ne	device_07	28	-0.8
Ne	device_08	28	-0.7
Ne	device_09	28	0.1
Ne	device_10	28	0.3
Ne	device_11	28	0.2
