device_id	time_day	dimensionless_delta
device_01	0	0
device_01	3	0.4
device_01	11	0.7
device_01	17	0.1
device_02	0	0
device_02	7	0.1
device_02	10	0.9
device_02	18	0.8
device_02	24	-0.9
device_03	0	0
device_03	7	0.17
device_03	10	-0.1
device_03	18	-0.62
device_03	24	-0.83
device_03	31	0.18
device_04	0	0
device_04	3	-0.4
device_04	11	0.8
device_04	24	0.4
device_05	0	0
device_05	3	-0.8
device_05	11	-0.4
device_05	24	0.3
device_06	0	0
device_06	8	0.9
device_06	14	0.1
device_06	21	0.7
device_07	0	0
device_07	3	-0.2
device_07	11	0
device_07	17	-0.1
device_07	24	0
device_08	0	0
device_08	3	0.7
device_08	11	0.98
device_08	17	0.61
device_08	24	-0.09
device_09	0	0
device_09	8	0.7
device_09	14	0.3
device_09	21	-0.5
