sample_class	observation_id	current_pA
modified_membrane	trace_0001	0.04013
modified_membrane	trace_0002	0.04078
modified_membrane	trace_0003	0.04078
modified_membrane	trace_0004	0.0411
modified_membrane	trace_0005	0.04142
modified_membrane	trace_0006	0.04142
modified_membrane	trace_0007	0.04142
modified_membrane	trace_0008	0.04174
modified_membrane	trace_0009	0.04174
modified_membrane	trace_0010	0.04206
modified_membrane	trace_0011	0.04206
modified_membrane	trace_0012	0.0427
modified_membrane	trace_0013	0.04335
modified_membrane	trace_0014	0.04367
modified_membrane	trace_0015	0.04399
modified_membrane	trace_0016	0.04527
modified_membrane	trace_0017	0.04559
modified_membrane	trace_0018	0.04592
modified_membrane	trace_0019	0.04656
modified_membrane	trace_0020	0.04656
modified_membrane	trace_0021	0.04656
modified_membrane	trace_0022	0.0472
modified_membrane	trace_0023	0.04752
modified_membrane	trace_0024	0.04752
modified_membrane	trace_0025	0.04752
modified_membrane	trace_0026	0.04784
modified_membrane	trace_0027	0.04816
modified_membrane	trace_0028	0.04849
modified_membrane	trace_0029	0.04849
modified_membrane	trace_0030	0.04849
modified_membrane	trace_0031	0.04913
modified_membrane	trace_0032	0.04945
modified_membrane	trace_0033	0.05009
modified_membrane	trace_0034	0.05138
modified_membrane	trace_0035	0.05202
modified_membrane	trace_0036	0.05234
modified_membrane	trace_0037	0.05234
modified_membrane	trace_0038	0.05266
modified_membrane	trace_0039	0.05298
modified_membrane	trace_0040	0.0533
modified_membrane	trace_0041	0.05363
modified_membrane	trace_0042	0.05363
modified_membrane	trace_0043	0.05363
modified_membrane	trace_0044	0.05523
modified_membrane	trace_0045	0.05523
modified_membrane	trace_0046	0.05555
modified_membrane	trace_0047	0.05587
modified_membrane	trace_0048	0.05652
modified_membrane	trace_0049	0.05684
modified_membrane	trace_0050	0.05684
modified_membrane	trace_0051	0.05748
modified_membrane	trace_0052	0.05812
modified_membrane	trace_0053	0.05844
modified_membrane	trace_0054	0.05877
modified_membrane	trace_0055	0.05909
modified_membrane	trace_0056	0.05941
modified_membrane	trace_0057	0.05941
modified_membrane	trace_0058	0.05973
modified_membrane	trace_0059	0.05973
modified_membrane	trace_0060	0.05973
modified_membrane	trace_0061	0.05973
modified_membrane	trace_0062	0.06262
modified_membrane	trace_0063	0.06326
modified_membrane	trace_0064	0.06358
modified_membrane	trace_0065	0.06391
modified_membrane	trace_0066	0.06391
modified_membrane	trace_0067	0.06423
modified_membrane	trace_0068	0.06487
modified_membrane	trace_0069	0.06551
modified_membrane	trace_0070	0.06551
modified_membrane	trace_0071	0.06583
modified_membrane	trace_0072	0.06776
modified_membrane	trace_0073	0.0684
modified_membrane	trace_0074	0.07001
modified_membrane	trace_0075	0.07161
modified_membrane	trace_0076	0.07162
modified_membrane	trace_0077	0.0729
modified_membrane	trace_0078	0.07386
modified_membrane	trace_0079	0.07451
modified_membrane	trace_0080	0.07515
modified_membrane	trace_0081	0.07643
modified_membrane	trace_0082	0.07643
modified_membrane	trace_0083	0.07643
modified_membrane	trace_0084	0.07708
modified_membrane	trace_0085	0.07708
modified_membrane	trace_0086	0.07708
modified_membrane	trace_0087	0.079
modified_membrane	trace_0088	0.07932
modified_membrane	trace_0089	0.07965
modified_membrane	trace_0090	0.08125
modified_membrane	trace_0091	0.08157
modified_membrane	trace_0092	0.08157
modified_membrane	trace_0093	0.08479
modified_membrane	trace_0094	0.08575
modified_membrane	trace_0095	0.08607
modified_membrane	trace_0096	0.08671
modified_membrane	trace_0097	0.08736
modified_membrane	trace_0098	0.08832
modified_membrane	trace_0099	0.08864
modified_membrane	trace_0100	0.08864
modified_membrane	trace_0101	0.08928
modified_membrane	trace_0102	0.0896
modified_membrane	trace_0103	0.08992
modified_membrane	trace_0104	0.08993
modified_membrane	trace_0105	0.09153
modified_membrane	trace_0106	0.09346
modified_membrane	trace_0107	0.09346
modified_membrane	trace_0108	0.09474
modified_membrane	trace_0109	0.09635
modified_membrane	trace_0110	0.09764
modified_membrane	trace_0111	0.09796
modified_membrane	trace_0112	0.09892
modified_membrane	trace_0113	0.09892
modified_membrane	trace_0114	0.09924
modified_membrane	trace_0115	0.09988
modified_membrane	trace_0116	0.10053
modified_membrane	trace_0117	0.1047
modified_membrane	trace_0118	0.10502
modified_membrane	trace_0119	0.10534
modified_membrane	trace_0120	0.10567
modified_membrane	trace_0121	0.10856
modified_membrane	trace_0122	0.11209
