design_series	aggregate_state_id	composition_fraction	wavelength_nm	relative_emission_au
series_A	state_1	0.091	900.0	0.02175
series_A	state_2	0.062	900.0	0.01859
series_A	state_3	0.052	900.0	0.01745
series_A	state_4	0.0415	900.0	0.01557
series_A	state_5	0.027	900.0	0.01395
series_A	state_1	0.091	901.0	0.02248
series_A	state_2	0.062	901.0	0.01911
series_A	state_3	0.052	901.0	0.01786
series_A	state_4	0.0415	901.0	0.01587
series_A	state_5	0.027	901.0	0.01417
series_A	state_1	0.091	902.0	0.0232
series_A	state_2	0.062	902.0	0.01961
series_A	state_3	0.052	902.0	0.01829
series_A	state_4	0.0415	902.0	0.01617
series_A	state_5	0.027	902.0	0.0144
series_A	state_1	0.091	903.0	0.0239
series_A	state_2	0.062	903.0	0.0201
series_A	state_3	0.052	903.0	0.0187
series_A	state_4	0.0415	903.0	0.01648
series_A	state_5	0.027	903.0	0.01459
series_A	state_1	0.091	904.0	0.02459
series_A	state_2	0.062	904.0	0.02059
series_A	state_3	0.052	904.0	0.0191
series_A	state_4	0.0415	904.0	0.01679
series_A	state_5	0.027	904.0	0.01481
series_A	state_1	0.091	905.0	0.02529
series_A	state_2	0.062	905.0	0.02107
series_A	state_3	0.052	905.0	0.01949
series_A	state_4	0.0415	905.0	0.01711
series_A	state_5	0.027	905.0	0.015
series_A	state_1	0.091	906.0	0.026
series_A	state_2	0.062	906.0	0.02155
series_A	state_3	0.052	906.0	0.0199
series_A	state_4	0.0415	906.0	0.01743
series_A	state_5	0.027	906.0	0.01523
series_A	state_1	0.091	907.0	0.02671
series_A	state_2	0.062	907.0	0.02205
series_A	state_3	0.052	907.0	0.02029
series_A	state_4	0.0415	907.0	0.01772
series_A	state_5	0.027	907.0	0.01545
series_A	state_1	0.091	908.0	0.02737
series_A	state_2	0.062	908.0	0.02255
series_A	state_3	0.052	908.0	0.02071
series_A	state_4	0.0415	908.0	0.01798
series_A	state_5	0.027	908.0	0.01566
series_A	state_1	0.091	909.0	0.02799
series_A	state_2	0.062	909.0	0.02305
series_A	state_3	0.052	909.0	0.02113
series_A	state_4	0.0415	909.0	0.01818
series_A	state_5	0.027	909.0	0.0159
series_A	state_1	0.091	910.0	0.02868
series_A	state_2	0.062	910.0	0.0236
series_A	state_3	0.052	910.0	0.02155
series_A	state_4	0.0415	910.0	0.01837
series_A	state_5	0.027	910.0	0.01613
series_A	state_1	0.091	911.0	0.02932
series_A	state_2	0.062	911.0	0.02412
series_A	state_3	0.052	911.0	0.02198
series_A	state_4	0.0415	911.0	0.01857
series_A	state_5	0.027	911.0	0.01636
series_A	state_1	0.091	912.0	0.02995
series_A	state_2	0.062	912.0	0.02462
series_A	state_3	0.052	912.0	0.02239
series_A	state_4	0.0415	912.0	0.01874
series_A	state_5	0.027	912.0	0.01657
series_A	state_1	0.091	913.0	0.03057
series_A	state_2	0.062	913.0	0.02506
series_A	state_3	0.052	913.0	0.0228
series_A	state_4	0.0415	913.0	0.01888
series_A	state_5	0.027	913.0	0.0168
series_A	state_1	0.091	914.0	0.03114
series_A	state_2	0.062	914.0	0.02547
series_A	state_3	0.052	914.0	0.02321
series_A	state_4	0.0415	914.0	0.01901
series_A	state_5	0.027	914.0	0.01699
series_A	state_1	0.091	915.0	0.03169
series_A	state_2	0.062	915.0	0.02587
series_A	state_3	0.052	915.0	0.02359
series_A	state_4	0.0415	915.0	0.01921
series_A	state_5	0.027	915.0	0.01716
series_A	state_1	0.091	916.0	0.03225
series_A	state_2	0.062	916.0	0.0263
series_A	state_3	0.052	916.0	0.0239
series_A	state_4	0.0415	916.0	0.01938
series_A	state_5	0.027	916.0	0.01732
series_A	state_1	0.091	917.0	0.03278
series_A	state_2	0.062	917.0	0.02668
series_A	state_3	0.052	917.0	0.02418
series_A	state_4	0.0415	917.0	0.01958
series_A	state_5	0.027	917.0	0.01749
series_A	state_1	0.091	918.0	0.03328
series_A	state_2	0.062	918.0	0.02703
series_A	state_3	0.052	918.0	0.02444
series_A	state_4	0.0415	918.0	0.01978
series_A	state_5	0.027	918.0	0.01763
series_A	state_1	0.091	919.0	0.03375
series_A	state_2	0.062	919.0	0.0273
series_A	state_3	0.052	919.0	0.02472
series_A	state_4	0.0415	919.0	0.02
series_A	state_5	0.027	919.0	0.01774
series_A	state_1	0.091	920.0	0.0342
series_A	state_2	0.062	920.0	0.0276
series_A	state_3	0.052	920.0	0.02502
series_A	state_4	0.0415	920.0	0.02021
series_A	state_5	0.027	920.0	0.01787
series_A	state_1	0.091	921.0	0.03464
series_A	state_2	0.062	921.0	0.02787
series_A	state_3	0.052	921.0	0.02531
series_A	state_4	0.0415	921.0	0.02042
series_A	state_5	0.027	921.0	0.01798
series_A	state_1	0.091	922.0	0.03503
series_A	state_2	0.062	922.0	0.02812
series_A	state_3	0.052	922.0	0.0256
series_A	state_4	0.0415	922.0	0.02065
series_A	state_5	0.027	922.0	0.01806
series_A	state_1	0.091	923.0	0.03545
series_A	state_2	0.062	923.0	0.02837
series_A	state_3	0.052	923.0	0.02589
series_A	state_4	0.0415	923.0	0.02091
series_A	state_5	0.027	923.0	0.01814
series_A	state_1	0.091	924.0	0.03592
series_A	state_2	0.062	924.0	0.02866
series_A	state_3	0.052	924.0	0.02616
series_A	state_4	0.0415	924.0	0.02117
series_A	state_5	0.027	924.0	0.01824
series_A	state_1	0.091	925.0	0.03643
series_A	state_2	0.062	925.0	0.02893
series_A	state_3	0.052	925.0	0.02646
series_A	state_4	0.0415	925.0	0.02146
series_A	state_5	0.027	925.0	0.01835
series_A	state_1	0.091	926.0	0.03694
series_A	state_2	0.062	926.0	0.02926
series_A	state_3	0.052	926.0	0.02674
series_A	state_4	0.0415	926.0	0.02173
series_A	state_5	0.027	926.0	0.01847
series_A	state_1	0.091	927.0	0.03748
series_A	state_2	0.062	927.0	0.02963
series_A	state_3	0.052	927.0	0.02696
series_A	state_4	0.0415	927.0	0.02199
series_A	state_5	0.027	927.0	0.01856
series_A	state_1	0.091	928.0	0.03801
series_A	state_2	0.062	928.0	0.02999
series_A	state_3	0.052	928.0	0.02721
series_A	state_4	0.0415	928.0	0.02222
series_A	state_5	0.027	928.0	0.01866
series_A	state_1	0.091	929.0	0.03857
series_A	state_2	0.062	929.0	0.03039
series_A	state_3	0.052	929.0	0.02743
series_A	state_4	0.0415	929.0	0.02242
series_A	state_5	0.027	929.0	0.01871
series_A	state_1	0.091	930.0	0.03917
series_A	state_2	0.062	930.0	0.0308
series_A	state_3	0.052	930.0	0.02771
series_A	state_4	0.0415	930.0	0.02267
series_A	state_5	0.027	930.0	0.01878
series_A	state_1	0.091	931.0	0.03974
series_A	state_2	0.062	931.0	0.03123
series_A	state_3	0.052	931.0	0.02804
series_A	state_4	0.0415	931.0	0.02289
series_A	state_5	0.027	931.0	0.01886
series_A	state_1	0.091	932.0	0.04035
series_A	state_2	0.062	932.0	0.03169
series_A	state_3	0.052	932.0	0.02835
series_A	state_4	0.0415	932.0	0.02309
series_A	state_5	0.027	932.0	0.01897
series_A	state_1	0.091	933.0	0.04097
series_A	state_2	0.062	933.0	0.03213
series_A	state_3	0.052	933.0	0.02871
series_A	state_4	0.0415	933.0	0.02332
series_A	state_5	0.027	933.0	0.01913
series_A	state_1	0.091	934.0	0.04159
series_A	state_2	0.062	934.0	0.03259
series_A	state_3	0.052	934.0	0.02909
series_A	state_4	0.0415	934.0	0.02354
series_A	state_5	0.027	934.0	0.01927
series_A	state_1	0.091	935.0	0.04225
series_A	state_2	0.062	935.0	0.03306
series_A	state_3	0.052	935.0	0.02944
series_A	state_4	0.0415	935.0	0.02381
series_A	state_5	0.027	935.0	0.01941
series_A	state_1	0.091	936.0	0.0429
series_A	state_2	0.062	936.0	0.03355
series_A	state_3	0.052	936.0	0.02982
series_A	state_4	0.0415	936.0	0.02406
series_A	state_5	0.027	936.0	0.0196
series_A	state_1	0.091	937.0	0.04353
series_A	state_2	0.062	937.0	0.034
series_A	state_3	0.052	937.0	0.03023
series_A	state_4	0.0415	937.0	0.02433
series_A	state_5	0.027	937.0	0.0198
series_A	state_1	0.091	938.0	0.04412
series_A	state_2	0.062	938.0	0.03443
series_A	state_3	0.052	938.0	0.03063
series_A	state_4	0.0415	938.0	0.02459
series_A	state_5	0.027	938.0	0.01998
series_A	state_1	0.091	939.0	0.04467
series_A	state_2	0.062	939.0	0.03484
series_A	state_3	0.052	939.0	0.03102
series_A	state_4	0.0415	939.0	0.02484
series_A	state_5	0.027	939.0	0.0202
series_A	state_1	0.091	940.0	0.04518
series_A	state_2	0.062	940.0	0.03529
series_A	state_3	0.052	940.0	0.03144
series_A	state_4	0.0415	940.0	0.0251
series_A	state_5	0.027	940.0	0.02045
series_A	state_1	0.091	941.0	0.0457
series_A	state_2	0.062	941.0	0.03571
series_A	state_3	0.052	941.0	0.03183
series_A	state_4	0.0415	941.0	0.02534
series_A	state_5	0.027	941.0	0.02067
series_A	state_1	0.091	942.0	0.04625
series_A	state_2	0.062	942.0	0.03614
series_A	state_3	0.052	942.0	0.03223
series_A	state_4	0.0415	942.0	0.02557
series_A	state_5	0.027	942.0	0.02093
series_A	state_1	0.091	943.0	0.04679
series_A	state_2	0.062	943.0	0.03656
series_A	state_3	0.052	943.0	0.03263
series_A	state_4	0.0415	943.0	0.02585
series_A	state_5	0.027	943.0	0.02119
series_A	state_1	0.091	944.0	0.04736
series_A	state_2	0.062	944.0	0.037
series_A	state_3	0.052	944.0	0.03302
series_A	state_4	0.0415	944.0	0.02609
series_A	state_5	0.027	944.0	0.02142
series_A	state_1	0.091	945.0	0.04795
series_A	state_2	0.062	945.0	0.03742
series_A	state_3	0.052	945.0	0.03339
series_A	state_4	0.0415	945.0	0.02634
series_A	state_5	0.027	945.0	0.02164
series_A	state_1	0.091	946.0	0.04849
series_A	state_2	0.062	946.0	0.03784
series_A	state_3	0.052	946.0	0.03373
series_A	state_4	0.0415	946.0	0.02655
series_A	state_5	0.027	946.0	0.02182
series_A	state_1	0.091	947.0	0.04903
series_A	state_2	0.062	947.0	0.03822
series_A	state_3	0.052	947.0	0.03404
series_A	state_4	0.0415	947.0	0.0268
series_A	state_5	0.027	947.0	0.02199
series_A	state_1	0.091	948.0	0.04955
series_A	state_2	0.062	948.0	0.03859
series_A	state_3	0.052	948.0	0.03437
series_A	state_4	0.0415	948.0	0.02702
series_A	state_5	0.027	948.0	0.02213
series_A	state_1	0.091	949.0	0.0501
series_A	state_2	0.062	949.0	0.03899
series_A	state_3	0.052	949.0	0.03469
series_A	state_4	0.0415	949.0	0.02724
series_A	state_5	0.027	949.0	0.02223
series_A	state_1	0.091	950.0	0.05064
series_A	state_2	0.062	950.0	0.03935
series_A	state_3	0.052	950.0	0.03504
series_A	state_4	0.0415	950.0	0.02748
series_A	state_5	0.027	950.0	0.02236
series_A	state_1	0.091	951.0	0.05118
series_A	state_2	0.062	951.0	0.03973
series_A	state_3	0.052	951.0	0.03538
series_A	state_4	0.0415	951.0	0.02767
series_A	state_5	0.027	951.0	0.02249
series_A	state_1	0.091	952.0	0.05174
series_A	state_2	0.062	952.0	0.04008
series_A	state_3	0.052	952.0	0.03573
series_A	state_4	0.0415	952.0	0.02789
series_A	state_5	0.027	952.0	0.02261
series_A	state_1	0.091	953.0	0.05232
series_A	state_2	0.062	953.0	0.04043
series_A	state_3	0.052	953.0	0.03606
series_A	state_4	0.0415	953.0	0.02811
series_A	state_5	0.027	953.0	0.02274
series_A	state_1	0.091	954.0	0.0529
series_A	state_2	0.062	954.0	0.04076
series_A	state_3	0.052	954.0	0.03637
series_A	state_4	0.0415	954.0	0.02822
series_A	state_5	0.027	954.0	0.02284
series_A	state_1	0.091	955.0	0.05347
series_A	state_2	0.062	955.0	0.04112
series_A	state_3	0.052	955.0	0.03665
series_A	state_4	0.0415	955.0	0.02836
series_A	state_5	0.027	955.0	0.02296
series_A	state_1	0.091	956.0	0.05405
series_A	state_2	0.062	956.0	0.0415
series_A	state_3	0.052	956.0	0.03697
series_A	state_4	0.0415	956.0	0.02851
series_A	state_5	0.027	956.0	0.02311
series_A	state_1	0.091	957.0	0.05458
series_A	state_2	0.062	957.0	0.04185
series_A	state_3	0.052	957.0	0.03725
series_A	state_4	0.0415	957.0	0.02869
series_A	state_5	0.027	957.0	0.02325
series_A	state_1	0.091	958.0	0.05509
series_A	state_2	0.062	958.0	0.04221
series_A	state_3	0.052	958.0	0.03752
series_A	state_4	0.0415	958.0	0.0288
series_A	state_5	0.027	958.0	0.02339
series_A	state_1	0.091	959.0	0.05549
series_A	state_2	0.062	959.0	0.04256
series_A	state_3	0.052	959.0	0.03782
series_A	state_4	0.0415	959.0	0.02898
series_A	state_5	0.027	959.0	0.02353
series_A	state_1	0.091	960.0	0.05592
series_A	state_2	0.062	960.0	0.04291
series_A	state_3	0.052	960.0	0.03811
series_A	state_4	0.0415	960.0	0.02918
series_A	state_5	0.027	960.0	0.02369
series_A	state_1	0.091	961.0	0.0564
series_A	state_2	0.062	961.0	0.04326
series_A	state_3	0.052	961.0	0.03839
series_A	state_4	0.0415	961.0	0.02934
series_A	state_5	0.027	961.0	0.02382
series_A	state_1	0.091	962.0	0.0569
series_A	state_2	0.062	962.0	0.04362
series_A	state_3	0.052	962.0	0.03872
series_A	state_4	0.0415	962.0	0.02954
series_A	state_5	0.027	962.0	0.02397
series_A	state_1	0.091	963.0	0.05736
series_A	state_2	0.062	963.0	0.04401
series_A	state_3	0.052	963.0	0.03904
series_A	state_4	0.0415	963.0	0.02979
series_A	state_5	0.027	963.0	0.0241
series_A	state_1	0.091	964.0	0.05785
series_A	state_2	0.062	964.0	0.04437
series_A	state_3	0.052	964.0	0.03933
series_A	state_4	0.0415	964.0	0.02999
series_A	state_5	0.027	964.0	0.02423
series_A	state_1	0.091	965.0	0.05835
series_A	state_2	0.062	965.0	0.04474
series_A	state_3	0.052	965.0	0.03965
series_A	state_4	0.0415	965.0	0.03024
series_A	state_5	0.027	965.0	0.02435
series_A	state_1	0.091	966.0	0.0588
series_A	state_2	0.062	966.0	0.04509
series_A	state_3	0.052	966.0	0.03996
series_A	state_4	0.0415	966.0	0.03048
series_A	state_5	0.027	966.0	0.02449
series_A	state_1	0.091	967.0	0.05926
series_A	state_2	0.062	967.0	0.04545
series_A	state_3	0.052	967.0	0.04026
series_A	state_4	0.0415	967.0	0.03076
series_A	state_5	0.027	967.0	0.02463
series_A	state_1	0.091	968.0	0.05974
series_A	state_2	0.062	968.0	0.0458
series_A	state_3	0.052	968.0	0.04053
series_A	state_4	0.0415	968.0	0.03101
series_A	state_5	0.027	968.0	0.02475
series_A	state_1	0.091	969.0	0.06018
series_A	state_2	0.062	969.0	0.04612
series_A	state_3	0.052	969.0	0.0408
series_A	state_4	0.0415	969.0	0.03125
series_A	state_5	0.027	969.0	0.02489
series_A	state_1	0.091	970.0	0.06059
series_A	state_2	0.062	970.0	0.04642
series_A	state_3	0.052	970.0	0.04106
series_A	state_4	0.0415	970.0	0.03148
series_A	state_5	0.027	970.0	0.02502
series_A	state_1	0.091	971.0	0.06102
series_A	state_2	0.062	971.0	0.04672
series_A	state_3	0.052	971.0	0.04132
series_A	state_4	0.0415	971.0	0.03169
series_A	state_5	0.027	971.0	0.02514
series_A	state_1	0.091	972.0	0.06145
series_A	state_2	0.062	972.0	0.04696
series_A	state_3	0.052	972.0	0.04155
series_A	state_4	0.0415	972.0	0.03186
series_A	state_5	0.027	972.0	0.02526
series_A	state_1	0.091	973.0	0.0619
series_A	state_2	0.062	973.0	0.04722
series_A	state_3	0.052	973.0	0.04177
series_A	state_4	0.0415	973.0	0.03201
series_A	state_5	0.027	973.0	0.0254
series_A	state_1	0.091	974.0	0.06232
series_A	state_2	0.062	974.0	0.04739
series_A	state_3	0.052	974.0	0.04201
series_A	state_4	0.0415	974.0	0.03208
series_A	state_5	0.027	974.0	0.02552
series_A	state_1	0.091	975.0	0.06272
series_A	state_2	0.062	975.0	0.0476
series_A	state_3	0.052	975.0	0.04219
series_A	state_4	0.0415	975.0	0.03225
series_A	state_5	0.027	975.0	0.02565
series_A	state_1	0.091	976.0	0.06312
series_A	state_2	0.062	976.0	0.0478
series_A	state_3	0.052	976.0	0.04243
series_A	state_4	0.0415	976.0	0.03242
series_A	state_5	0.027	976.0	0.02576
series_A	state_1	0.091	977.0	0.06345
series_A	state_2	0.062	977.0	0.04802
series_A	state_3	0.052	977.0	0.04259
series_A	state_4	0.0415	977.0	0.03255
series_A	state_5	0.027	977.0	0.02589
series_A	state_1	0.091	978.0	0.06382
series_A	state_2	0.062	978.0	0.04822
series_A	state_3	0.052	978.0	0.04277
series_A	state_4	0.0415	978.0	0.03263
series_A	state_5	0.027	978.0	0.02602
series_A	state_1	0.091	979.0	0.06408
series_A	state_2	0.062	979.0	0.04844
series_A	state_3	0.052	979.0	0.04297
series_A	state_4	0.0415	979.0	0.03279
series_A	state_5	0.027	979.0	0.02612
series_A	state_1	0.091	980.0	0.06443
series_A	state_2	0.062	980.0	0.04867
series_A	state_3	0.052	980.0	0.04314
series_A	state_4	0.0415	980.0	0.03292
series_A	state_5	0.027	980.0	0.02624
series_A	state_1	0.091	981.0	0.06478
series_A	state_2	0.062	981.0	0.04892
series_A	state_3	0.052	981.0	0.04334
series_A	state_4	0.0415	981.0	0.03305
series_A	state_5	0.027	981.0	0.02634
series_A	state_1	0.091	982.0	0.06511
series_A	state_2	0.062	982.0	0.04919
series_A	state_3	0.052	982.0	0.04353
series_A	state_4	0.0415	982.0	0.03318
series_A	state_5	0.027	982.0	0.02646
series_A	state_1	0.091	983.0	0.06546
series_A	state_2	0.062	983.0	0.04948
series_A	state_3	0.052	983.0	0.04373
series_A	state_4	0.0415	983.0	0.03332
series_A	state_5	0.027	983.0	0.02656
series_A	state_1	0.091	984.0	0.0658
series_A	state_2	0.062	984.0	0.04971
series_A	state_3	0.052	984.0	0.04393
series_A	state_4	0.0415	984.0	0.03343
series_A	state_5	0.027	984.0	0.02663
series_A	state_1	0.091	985.0	0.0661
series_A	state_2	0.062	985.0	0.05001
series_A	state_3	0.052	985.0	0.04411
series_A	state_4	0.0415	985.0	0.03356
series_A	state_5	0.027	985.0	0.02675
series_A	state_1	0.091	986.0	0.06639
series_A	state_2	0.062	986.0	0.05028
