design_series	composition_fraction	long_wavelength_response_au
series_A	0.091	20.89
series_A	0.062	16.72
series_A	0.052	15.17
series_A	0.041	12.48
series_A	0.027	10.59
series_B	0.091	18.87
series_B	0.078	17.38
series_B	0.06	15.05
series_B	0.043	12.83
series_B	0.017	9.24
series_C	0.084	16.47
series_C	0.067	15.07
series_C	0.053	13.2
series_C	0.039	11.45
series_C	0.025	9.42
reference_series	0.118	6.05
reference_series	0.089	5.85
reference_series	0.065	5.7
reference_series	0.03	5.5
reference_series	0.01	5.35
