design_series	wavelength_nm	relative_emission_au
series_A	850.0	0.01496
series_A	851.0	0.01333
series_A	852.0	0.01184
series_A	853.0	0.01048
series_A	854.0	0.00926
series_A	855.0	0.00816
series_A	856.0	0.0072
series_A	857.0	0.00637
series_A	858.0	0.00567
series_A	859.0	0.00511
series_A	860.0	0.00468
series_A	861.0	0.00443
series_A	862.0	0.00434
series_A	863.0	0.00437
series_A	864.0	0.00451
series_A	865.0	0.00474
series_A	866.0	0.00502
series_A	867.0	0.00536
series_A	868.0	0.00573
series_A	869.0	0.00615
series_A	870.0	0.0066
series_A	871.0	0.0071
series_A	872.0	0.00766
series_A	873.0	0.00831
series_A	874.0	0.00908
series_A	875.0	0.01002
series_A	876.0	0.01116
series_A	877.0	0.01257
series_A	878.0	0.01429
series_A	879.0	0.01639
series_A	880.0	0.01891
series_A	881.0	0.02192
series_A	882.0	0.02539
series_A	883.0	0.02933
series_A	884.0	0.03375
series_A	885.0	0.03867
series_A	886.0	0.04409
series_A	887.0	0.05001
series_A	888.0	0.05641
series_A	889.0	0.0633
series_A	890.0	0.07066
series_A	891.0	0.07846
series_A	892.0	0.08669
series_A	893.0	0.09533
series_A	894.0	0.10435
series_A	895.0	0.11373
series_A	896.0	0.12344
series_A	897.0	0.13342
series_A	898.0	0.14364
series_A	899.0	0.15405
series_A	900.0	0.16459
series_A	901.0	0.1752
series_A	902.0	0.18582
series_A	903.0	0.19641
series_A	904.0	0.20693
series_A	905.0	0.21732
series_A	906.0	0.22757
series_A	907.0	0.23763
series_A	908.0	0.24749
series_A	909.0	0.25713
series_A	910.0	0.26655
series_A	911.0	0.27574
series_A	912.0	0.28472
series_A	913.0	0.29351
series_A	914.0	0.30211
series_A	915.0	0.31056
series_A	916.0	0.31888
series_A	917.0	0.3271
series_A	918.0	0.33523
series_A	919.0	0.34329
series_A	920.0	0.3513
series_A	921.0	0.35927
series_A	922.0	0.36724
series_A	923.0	0.37523
series_A	924.0	0.38327
series_A	925.0	0.39135
series_A	926.0	0.3995
series_A	927.0	0.40773
series_A	928.0	0.41604
series_A	929.0	0.42444
series_A	930.0	0.43294
series_A	931.0	0.44153
series_A	932.0	0.45023
series_A	933.0	0.45901
series_A	934.0	0.46787
series_A	935.0	0.47681
series_A	936.0	0.4858
series_A	937.0	0.49483
series_A	938.0	0.50388
series_A	939.0	0.51293
series_A	940.0	0.52195
series_A	941.0	0.53094
series_A	942.0	0.53989
series_A	943.0	0.54879
series_A	944.0	0.55762
series_A	945.0	0.56637
series_A	946.0	0.57505
series_A	947.0	0.58363
series_A	948.0	0.59212
series_A	949.0	0.60053
series_A	950.0	0.60886
series_A	951.0	0.61712
series_A	952.0	0.6253
series_A	953.0	0.63341
series_A	954.0	0.64147
series_A	955.0	0.64947
series_A	956.0	0.65741
series_A	957.0	0.6653
series_A	958.0	0.67313
series_A	959.0	0.6809
series_A	960.0	0.68861
series_A	961.0	0.69627
series_A	962.0	0.70386
series_A	963.0	0.71138
series_A	964.0	0.71883
series_A	965.0	0.72619
series_A	966.0	0.73347
series_A	967.0	0.74067
series_A	968.0	0.74776
series_A	969.0	0.75476
series_A	970.0	0.76165
series_A	971.0	0.76843
series_A	972.0	0.77507
series_A	973.0	0.78158
series_A	974.0	0.78795
series_A	975.0	0.79416
series_A	976.0	0.80021
series_A	977.0	0.80609
series_A	978.0	0.81179
series_A	979.0	0.81732
series_A	980.0	0.82269
series_A	981.0	0.82789
series_A	982.0	0.83294
series_A	983.0	0.83786
series_A	984.0	0.84266
series_A	985.0	0.84736
series_A	986.0	0.85199
series_A	987.0	0.85655
series_A	988.0	0.86108
series_A	989.0	0.86558
series_A	990.0	0.87006
series_A	991.0	0.87453
series_A	992.0	0.87899
series_A	993.0	0.88344
series_A	994.0	0.88789
series_A	995.0	0.89232
series_A	996.0	0.89673
series_A	997.0	0.90112
series_A	998.0	0.90548
series_A	999.0	0.90982
series_A	1000.0	0.91413
series_A	1001.0	0.91841
series_A	1002.0	0.92267
series_A	1003.0	0.9269
series_A	1004.0	0.93109
series_A	1005.0	0.93526
series_A	1006.0	0.93937
series_A	1007.0	0.94344
series_A	1008.0	0.94744
series_A	1009.0	0.95136
series_A	1010.0	0.95518
series_A	1011.0	0.95888
series_A	1012.0	0.96244
series_A	1013.0	0.96585
series_A	1014.0	0.96907
series_A	1015.0	0.9721
series_A	1016.0	0.97492
series_A	1017.0	0.97753
series_A	1018.0	0.97992
series_A	1019.0	0.9821
series_A	1020.0	0.98407
series_A	1021.0	0.98583
series_A	1022.0	0.98739
series_A	1023.0	0.98876
series_A	1024.0	0.98995
series_A	1025.0	0.99095
series_A	1026.0	0.99178
series_A	1027.0	0.99244
series_A	1028.0	0.99295
series_A	1029.0	0.9933
series_A	1030.0	0.9935
series_A	1031.0	0.99354
series_A	1032.0	0.99345
series_A	1033.0	0.99322
series_A	1034.0	0.99285
series_A	1035.0	0.99236
series_A	1036.0	0.99175
series_A	1037.0	0.99105
series_A	1038.0	0.99026
series_A	1039.0	0.98941
series_A	1040.0	0.98849
series_A	1041.0	0.98754
series_A	1042.0	0.98655
series_A	1043.0	0.98555
series_A	1044.0	0.98453
series_A	1045.0	0.98352
series_A	1046.0	0.98251
series_A	1047.0	0.98151
series_A	1048.0	0.98052
series_A	1049.0	0.97953
series_A	1050.0	0.97855
series_A	1051.0	0.97755
series_A	1052.0	0.97654
series_A	1053.0	0.9755
series_A	1054.0	0.97444
series_A	1055.0	0.97334
series_A	1056.0	0.97221
series_A	1057.0	0.97104
series_A	1058.0	0.96985
series_A	1059.0	0.96863
series_A	1060.0	0.96739
series_A	1061.0	0.96614
series_A	1062.0	0.96489
series_A	1063.0	0.96363
series_A	1064.0	0.96237
series_A	1065.0	0.96111
series_A	1066.0	0.95983
series_A	1067.0	0.95853
series_A	1068.0	0.9572
series_A	1069.0	0.95582
series_A	1070.0	0.95437
series_A	1071.0	0.95284
series_A	1072.0	0.9512
series_A	1073.0	0.94944
series_A	1074.0	0.94755
series_A	1075.0	0.94554
series_A	1076.0	0.94339
series_A	1077.0	0.94111
series_A	1078.0	0.93871
series_A	1079.0	0.93618
series_A	1080.0	0.93355
series_A	1081.0	0.93082
series_A	1082.0	0.92799
series_A	1083.0	0.92508
series_A	1084.0	0.9221
series_A	1085.0	0.91904
series_A	1086.0	0.91591
series_A	1087.0	0.91271
series_A	1088.0	0.90945
series_A	1089.0	0.90612
series_A	1090.0	0.90273
series_A	1091.0	0.89927
series_A	1092.0	0.89575
series_A	1093.0	0.89216
series_A	1094.0	0.88853
series_A	1095.0	0.88486
series_A	1096.0	0.88114
series_A	1097.0	0.87739
series_A	1098.0	0.87361
series_A	1099.0	0.8698
series_A	1100.0	0.86596
series_A	1101.0	0.8621
series_A	1102.0	0.8582
series_A	1103.0	0.85427
series_A	1104.0	0.85031
series_A	1105.0	0.84631
series_A	1106.0	0.84226
series_A	1107.0	0.83818
series_A	1108.0	0.83405
series_A	1109.0	0.82988
series_A	1110.0	0.82568
series_A	1111.0	0.82144
series_A	1112.0	0.81718
series_A	1113.0	0.8129
series_A	1114.0	0.80863
series_A	1115.0	0.80436
series_A	1116.0	0.80011
series_A	1117.0	0.79588
series_A	1118.0	0.79167
series_A	1119.0	0.78749
