feature_id	sample_id	relative_count
feature_0001	sample_390	1.0
feature_0001	sample_433	1.0
feature_0001	sample_136	1.0
feature_0001	sample_513	1.0
feature_0001	sample_300	2.0
feature_0001	sample_446	2.0
feature_0001	sample_125	1.0
feature_0001	sample_254	1.0
feature_0001	sample_411	3.0
feature_0001	sample_212	1.0
feature_0001	sample_180	1.0
feature_0001	sample_030	2.0
feature_0001	sample_445	1.0
feature_0001	sample_164	1.0
feature_0001	sample_391	1.0
feature_0001	sample_172	1.0
feature_0001	sample_218	5.0
feature_0001	sample_043	1.0
feature_0001	sample_201	1.0
feature_0002	sample_031	2.0
feature_0002	sample_513	1.0
feature_0002	sample_268	1.0
feature_0002	sample_076	1.0
feature_0002	sample_087	1.0
feature_0002	sample_079	1.0
feature_0002	sample_350	3.0
feature_0002	sample_356	2.0
feature_0002	sample_406	1.0
feature_0002	sample_052	15.0
feature_0002	sample_252	3.0
feature_0002	sample_081	2.0
feature_0002	sample_361	2.0
feature_0002	sample_001	1.0
feature_0002	sample_321	1.0
feature_0002	sample_188	1.0
feature_0003	sample_136	1.0
feature_0003	sample_447	3.0
feature_0003	sample_020	1.0
feature_0003	sample_472	1.0
feature_0003	sample_506	6.0
feature_0003	sample_522	3.0
feature_0003	sample_240	1.0
feature_0003	sample_410	1.0
feature_0003	sample_187	3.0
feature_0003	sample_042	2.0
feature_0003	sample_366	1.0
feature_0003	sample_116	1.0
feature_0003	sample_500	1.0
feature_0003	sample_089	21.0
feature_0003	sample_524	18.0
feature_0003	sample_392	1.0
feature_0003	sample_513	3.0
feature_0003	sample_060	5.0
feature_0003	sample_185	1.0
feature_0003	sample_106	2.0
feature_0003	sample_221	2.0
feature_0003	sample_467	1.0
feature_0003	sample_056	4.0
feature_0003	sample_253	15.0
feature_0003	sample_300	4.0
feature_0003	sample_193	2.0
feature_0003	sample_474	2.0
feature_0003	sample_446	3.0
feature_0003	sample_307	66.0
feature_0003	sample_466	1.0
feature_0003	sample_518	22.0
feature_0003	sample_044	15.0
