sample_id	continuous_covariate	coarse_group_id
sample_001	12.0	group_A
sample_002	1.35	group_B
sample_003	36.0	group_C
sample_004	42.0	group_C
sample_006	41.0	group_C
sample_007	20.0	group_A
sample_009	0.6	group_B
sample_010	2.05	group_B
sample_011	35.0	group_C
sample_012	4.5	group_C
sample_013	36.0	group_C
sample_014	0.95	group_B
sample_016	0.76	group_B
sample_017	14.0	group_C
sample_018	1.7	group_B
sample_019	43.0	group_C
sample_020	37.0	group_A
sample_021	15.0	group_C
sample_022	44.0	group_C
sample_023	41.0	group_C
sample_024	15.0	group_C
sample_025	24.0	group_C
sample_026	2.0	group_A
sample_027	48.0	group_C
sample_028	53.0	group_C
sample_029	15.0	group_C
sample_030	26.0	group_C
sample_031	0.417	group_A
sample_032	6.0	group_A
sample_033	25.0	group_C
sample_034	16.0	group_C
sample_035	13.0	group_C
sample_036	0.25	group_C
sample_037	15.0	group_C
sample_038	13.0	group_C
sample_039	3.0	group_C
sample_040	1.3	group_C
sample_041	3.0	group_A
sample_042	38.0	group_A
sample_043	1.25	group_B
sample_044	16.0	group_C
sample_045	16.0	group_C
sample_046	47.0	group_C
sample_048	0.17	group_C
sample_049	0.25	group_C
sample_050	16.0	group_C
sample_051	4.0	group_A
sample_052	0.75	group_A
sample_053	14.0	group_A
sample_054	14.0	group_C
sample_055	49.0	group_C
sample_056	13.0	group_C
sample_057	43.0	group_C
sample_058	50.0	group_C
sample_059	45.0	group_C
sample_060	14.0	group_C
sample_061	0.33	group_C
sample_063	30.0	group_C
sample_064	54.0	group_C
sample_065	13.0	group_C
sample_066	0.08	group_C
sample_067	2.65	group_B
sample_068	0.25	group_C
sample_069	4.0	group_A
sample_070	41.0	group_C
sample_071	28.0	group_C
sample_072	35.0	group_C
sample_073	0.67	group_C
sample_075	10.0	group_A
sample_076	0.93	group_B
sample_077	0.08	group_C
sample_078	46.0	group_C
sample_079	0.56	group_B
sample_080	30.0	group_C
sample_081	56.0	group_A
sample_082	0.93	group_B
sample_083	0.5	group_C
sample_084	1.0	group_C
sample_085	14.0	group_C
sample_086	57.0	group_C
sample_087	0.42	group_C
sample_088	15.0	group_C
sample_089	47.0	group_C
sample_090	39.0	group_C
sample_091	0.05	group_B
sample_092	23.0	group_C
sample_093	1.17	group_A
sample_094	57.0	group_C
sample_095	28.0	group_B
sample_096	0.33	group_C
sample_097	49.0	group_C
sample_098	0.43	group_B
sample_099	45.0	group_C
sample_100	0.08	group_C
sample_101	15.0	group_C
sample_102	1.17	group_A
sample_103	43.0	group_C
sample_104	2.0	group_C
sample_105	57.0	group_C
sample_106	50.0	group_C
sample_107	16.0	group_C
sample_108	0.75	group_C
sample_109	4.0	group_A
sample_110	49.0	group_A
sample_111	15.0	group_C
sample_112	1.53	group_B
sample_114	15.0	group_C
sample_115	14.0	group_C
sample_116	4.0	group_A
sample_117	0.8	group_B
sample_118	0.67	group_B
sample_119	50.0	group_C
sample_120	4.0	group_A
sample_121	16.0	group_C
sample_122	23.0	group_B
sample_124	41.0	group_C
sample_125	43.0	group_C
sample_126	6.0	group_C
sample_127	47.0	group_C
sample_128	0.08	group_C
sample_129	2.21	group_B
sample_130	0.44	group_B
sample_131	0.5	group_A
sample_133	16.0	group_C
sample_134	24.0	group_A
sample_135	54.0	group_C
sample_136	83.2	group_A
sample_137	2.0	group_A
sample_138	0.08	group_C
sample_139	15.0	group_C
sample_140	0.76	group_B
sample_141	11.0	group_A
sample_142	0.11	group_B
sample_143	52.0	group_C
sample_144	1.0	group_C
sample_145	1.89	group_B
sample_146	2.02	group_B
sample_147	23.0	group_B
sample_148	27.0	group_B
sample_149	3.0	group_C
sample_150	40.0	group_C
sample_151	44.0	group_C
sample_152	1.89	group_B
sample_153	24.0	group_C
sample_154	50.0	group_C
sample_155	14.0	group_C
sample_156	14.0	group_C
sample_157	13.0	group_C
sample_159	44.0	group_C
sample_160	8.0	group_A
sample_161	23.0	group_A
sample_162	2.39	group_B
sample_163	14.0	group_C
sample_164	45.0	group_C
sample_165	0.39	group_B
sample_166	16.0	group_C
sample_167	73.0	group_A
sample_168	2.02	group_B
sample_169	45.0	group_A
sample_170	9.0	group_C
sample_171	16.0	group_C
sample_173	1.7	group_B
sample_175	14.0	group_C
sample_176	13.0	group_C
sample_177	33.0	group_B
