parameter_index	solver_family_id	progress_index	normalised_distance_like_value
0	0	0	0.6425431946960731
0	0	1	0.6462599703922267
0	0	2	0.37504930627472266
0	1	0	0.4706517830664489
0	1	1	0.12830620744411333
0	1	2	0.12223041982215631
1	0	0	0.6589864868568245
1	0	1	0.6138122802236035
1	0	2	0.47775523372079165
1	1	0	0.48506533482543257
1	1	1	0.10464121108708646
1	1	2	0.0961864952332204
2	0	0	0.7645747412752236
2	0	1	0.7589777124349525
2	0	2	0.48306774374311506
2	1	0	0.4249333690768279
2	1	1	0.08545078857223631
2	1	2	0.11142294269265512
3	0	0	0.7568692998061464
3	0	1	0.7202404390976286
3	0	2	0.4141779000619731
3	1	0	0.4800170851437353
3	1	1	0.06211516673703127
3	1	2	0.07513330400848187
4	0	0	0.5469349508620815
4	0	1	0.5358308141505923
4	0	2	0.34776836463459243
4	1	0	0.47364658431213946
4	1	1	0.05261441780970308
4	1	2	0.05254706573260269
5	0	0	0.6897080272137113
5	0	1	0.647053889784145
5	0	2	0.46156894892740796
5	1	0	0.39334883863443226
5	1	1	0.033145991078057546
5	1	2	0.052602408722896746
6	0	0	0.6683980271775232
6	0	1	0.6738821224221041
6	0	2	0.43348439906762115
6	1	0	0.47925179445984395
6	1	1	0.037637671316033086
6	1	2	0.03830791182196888
7	0	0	0.6714818978877338
7	0	1	0.6664077928048884
7	0	2	0.4511016152231203
7	1	0	0.49946375038923174
7	1	1	0.04959089925725689
7	1	2	0.0466212773285197
8	0	0	0.488107924855212
8	0	1	0.4862681103079485
8	0	2	0.4728366901982307
8	1	0	0.3908456700344623
8	1	1	0.08739771068850423
8	1	2	0.08739771054222718
9	0	0	0.4899731612538688
9	0	1	0.4824988829831931
9	0	2	0.44541265724728885
9	1	0	0.44882294917839577
9	1	1	0.031780972116874445
9	1	2	0.03178097211573473
10	0	0	0.6394338129742407
10	0	1	0.6587030004508878
10	0	2	0.4632922794085193
10	1	0	0.4847769311744774
10	1	1	0.021001178717515334
10	1	2	0.02062519760070622
11	0	0	0.6589292772414395
11	0	1	0.6581364983388001
11	0	2	0.4834127606807855
11	1	0	0.4795337158089743
11	1	1	0.09319320768370067
11	1	2	0.09367804526170287
12	0	0	0.6428935838098904
12	0	1	0.6462394037104687
12	0	2	0.41912901771350275
12	1	0	0.428510394503723
12	1	1	0.027139304148758925
12	1	2	0.026818391247698664
13	0	0	0.7988665689288981
13	0	1	0.7686066660263156
13	0	2	0.4043449122422184
13	1	0	0.4341493150451133
13	1	1	0.031728700256073675
13	1	2	0.03213331549989225
14	0	0	0.5516793943407136
14	0	1	0.5461938105152824
14	0	2	0.3866508869365558
14	1	0	0.4282835567807122
14	1	1	0.02895959626592011
14	1	2	0.02943066672861344
15	0	0	0.531792676347171
15	0	1	0.5117111556078342
15	0	2	0.483339637288161
15	1	0	0.4911446783730631
15	1	1	0.03388097653022604
15	1	2	0.03416103802538942
16	0	0	0.5507046261082402
16	0	1	0.5397961260722202
16	0	2	0.4746571490616054
16	1	0	0.42703667424552477
16	1	1	0.04028976169551596
16	1	2	0.040404246100664176
17	0	0	0.6139170343714204
17	0	1	0.6075747469746899
17	0	2	0.46576731276029926
17	1	0	0.45981783910826046
17	1	1	0.06305965575476802
17	1	2	0.0632627592767075
18	0	0	0.5923386544020265
18	0	1	0.5369265392307597
18	0	2	0.4276291263638249
18	1	0	0.4645386986314608
18	1	1	0.06198983120705344
18	1	2	0.06243789111960289
19	0	0	0.529473995554975
19	0	1	0.5130345472332264
19	0	2	0.40016798276907284
19	1	0	0.4521431785578593
19	1	1	0.03244919716486233
19	1	2	0.032286774831014595
20	0	0	0.677182816679029
20	0	1	0.5574978450867866
20	0	2	0.42338239320904225
20	1	0	0.456950192217159
20	1	1	0.11993328754352368
20	1	2	0.12001545034906497
21	0	0	0.7503393776204239
21	0	1	0.6926683799208492
21	0	2	0.46803686136553757
21	1	0	0.4821413534697899
21	1	1	0.05105117029899264
21	1	2	0.0510511815483832
22	0	0	0.5740449747684766
22	0	1	0.4974375251316079
22	0	2	0.48437673131405495
22	1	0	0.4284658291502925
22	1	1	0.0842041350127505
22	1	2	0.08420413621693738
23	0	0	0.47538661027176576
23	0	1	0.47538765174914066
23	0	2	0.4028728862485932
23	1	0	0.4204692645074941
23	1	1	0.043566638027831395
23	1	2	0.043566642239907416
24	0	0	0.5147063684299843
24	0	1	0.4993355615443578
24	0	2	0.4683626847325437
24	1	0	0.4475697588366657
24	1	1	0.01958470178617469
24	1	2	0.019638650464557095
25	0	0	0.5220303882711246
25	0	1	0.48416887306718825
25	0	2	0.3422971170791854
25	1	0	0.42294152662565626
25	1	1	0.044741712315433474
25	1	2	0.044731152414387465
26	0	0	0.4984885222422647
26	0	1	0.48405855310667556
26	0	2	0.4657886475277666
26	1	0	0.41955988581643466
26	1	1	0.0553682865832531
26	1	2	0.055368895461538406
27	0	0	0.5403122187495717
27	0	1	0.5081597624201708
27	0	2	0.4874132355141189
27	1	0	0.47838218186271186
27	1	1	0.0898310068927862
27	1	2	0.08983981745034918
28	0	0	0.5964072394396982
28	0	1	0.5277434780217674
28	0	2	0.4139287278814133
28	1	0	0.47342774391023806
28	1	1	0.05095507960491008
28	1	2	0.05095507990717704
29	0	0	0.4803555485333399
29	0	1	0.47038671142936184
29	0	2	0.4253191858821297
29	1	0	0.4761325910370133
29	1	1	0.10933680945350403
29	1	2	0.10935841671822737
30	0	0	0.49737513345040696
30	0	1	0.4940949357016225
30	0	2	0.4655132507324079
30	1	0	0.4838689670240253
30	1	1	0.05998075320682948
30	1	2	0.05998075360107219
31	0	0	0.5037167394752984
31	0	1	0.542183270044059
31	0	2	0.47234900417085535
31	1	0	0.43111551117841274
31	1	1	0.03587137402293296
31	1	2	0.03587755158263074
32	0	0	0.491463077187822
32	0	1	0.5099066829577446
32	0	2	0.4226142610333756
32	1	0	0.4240553512586869
32	1	1	0.07410685812190829
32	1	2	0.07410685798579975
33	0	0	0.5075764530380014
33	0	1	0.4933377910871999
33	0	2	0.46388182596897354
33	1	0	0.39824186887405516
33	1	1	0.026528087115526844
33	1	2	0.02657169906194984
34	0	0	0.5779782986063977
34	0	1	0.6142330604709125
34	0	2	0.3860721538717067
34	1	0	0.4529321706094959
34	1	1	0.03648950379994445
34	1	2	0.03648942564790281
35	0	0	0.5093064361976618
35	0	1	0.4957689616492432
35	0	2	0.3280547943174646
35	1	0	0.48640413040713526
35	1	1	0.05290689527831931
