mode_index	log_singular_value
0	1.18172357226869
1	0.753365910494376
2	0.4888614983315208
3	0.3375530640882639
4	0.27563327220454403
5	0.2171751563062256
6	0.1378027009942631
7	0.07968024988044303
8	0.007421373775855499
9	-0.07766653650722569
10	-0.18176341205158902
11	-0.25282603521669467
12	-0.27067856649406
13	-0.3090335671464156
14	-0.3129088236134257
15	-0.33597716018599816
16	-0.40372387792867115
17	-0.4278206948452039
18	-0.45036504183789794
19	-0.4754269556280903
20	-0.5048470630449717
21	-0.5202542061534331
22	-0.5271551527124501
23	-0.5551803354036928
24	-0.5683641130139248
25	-0.5787426228007351
26	-0.596450417656505
27	-0.6257322198830981
28	-0.6459886850233224
29	-0.6521955954029143
30	-0.6646280630328765
31	-0.6780959410246536
32	-0.6957262714443037
33	-0.7173514173970161
34	-0.7367358979604142
35	-0.7577477557137577
36	-0.7638254850943433
37	-0.7750441266473063
38	-0.7953140919804814
39	-0.8162654846692382
40	-0.8171981983199565
41	-0.8391307531476105
42	-0.8444613721614138
43	-0.8610077293337484
44	-0.8646500024816643
45	-0.8840594622791443
46	-0.8904610541829685
47	-0.8974142865470314
48	-0.9060093446462527
49	-0.9169134287266433
50	-0.9240808373989485
51	-0.9338510233943587
52	-0.9493774007838163
53	-0.9550181095912427
54	-0.9585763083267443
55	-0.9689579171659958
56	-0.9734054423773296
57	-0.9785196553695349
58	-0.9947607897539654
59	-0.9992045338511173
60	-1.0026653170909252
61	-1.0156694474121593
62	-1.0167441577465852
63	-1.0330036376890168
64	-1.0383281195035368
65	-1.0484012733577672
66	-1.0544102580355326
67	-1.0599327209761753
68	-1.0691661179577143
69	-1.0722194179727136
70	-1.0772524763024234
71	-1.0865692635079265
72	-1.0962827537569129
73	-1.1058136339048197
74	-1.1160060398979479
75	-1.1209609634813278
76	-1.1284724767515548
77	-1.1346974703978825
78	-1.1383110634555602
79	-1.1439256422333055
80	-1.1474457951952821
81	-1.159722164341968
82	-1.1670723920304922
83	-1.1723349035500221
84	-1.1810156209144167
85	-1.188428015413717
86	-1.1936876856070828
87	-1.1958651913384362
88	-1.2106094277652188
89	-1.2139030071930983
90	-1.2150701774871158
91	-1.2168013708949355
92	-1.22522933635376
93	-1.2299075075447423
94	-1.237842975907714
95	-1.2420409439251343
96	-1.2491371417633408
97	-1.2576815624153561
98	-1.2611324350064208
99	-1.267050336420462
100	-1.26841294630225
101	-1.2816499558994412
102	-1.2901396104208527
103	-1.2950582201944592
104	-1.3010466860863719
105	-1.313671934071463
106	-1.3165411786956835
107	-1.3187070699283154
108	-1.3285174748030084
109	-1.3299326274935468
110	-1.33461247013999
111	-1.3404123355909605
112	-1.3501415613022756
113	-1.358877880067392
114	-1.3631901742502308
115	-1.3646906842175865
116	-1.3676218438624437
117	-1.372602525272597
118	-1.3768291883618888
119	-1.379184001669175
120	-1.3875876133569325
121	-1.3893001409278356
122	-1.3954041212771469
123	-1.402097134504183
124	-1.4073313744242257
125	-1.4102871318600485
126	-1.41786814101783
127	-1.418366696418128
128	-1.4273406885924427
129	-1.4348955746967402
130	-1.4371865891618947
131	-1.4429026322835283
132	-1.4457009411775399
133	-1.4512094777280782
134	-1.4541012366563453
135	-1.4613348826098242
136	-1.4628786982213104
137	-1.4665684647100157
138	-1.472260960707535
139	-1.4783711013850536
140	-1.4823701198889525
141	-1.4860864526944582
142	-1.4882027281154135
143	-1.490717621816358
144	-1.4954179498146891
145	-1.5033711518902226
146	-1.5073349704242678
147	-1.5111916715320441
148	-1.515113870108256
149	-1.5190406797362335
150	-1.5203854245807804
151	-1.5233091556971332
152	-1.5304026934132002
153	-1.5314736605849941
154	-1.5416942852843387
155	-1.5469908727793484
156	-1.5507871372813118
157	-1.5561779925694812
158	-1.5612781534338824
159	-1.563021367756077
160	-1.573326901374019
161	-1.5769502315094368
162	-1.5798407419051914
163	-1.5820485356167993
164	-1.5860708293580372
165	-1.586633121171083
166	-1.5996332629619152
167	-1.6006311926887629
168	-1.6048559831883762
169	-1.6062386112871305
170	-1.6083438090877114
171	-1.6113863528692134
172	-1.6142088656612392
173	-1.6187635414420574
174	-1.62139540436212
175	-1.6278753116468305
176	-1.6314142374404879
177	-1.635214066150275
178	-1.6410253864543716
179	-1.6436467998508983
180	-1.6473094838002813
181	-1.6478144397158845
182	-1.6507561527867014
183	-1.6534556410767856
184	-1.6584587756694373
185	-1.665066004983529
186	-1.665623800166323
187	-1.6687603211573294
188	-1.6727946273229537
189	-1.6736425066034826
190	-1.6802837782550852
191	-1.6821779856169758
192	-1.6867433412444974
193	-1.690618739761693
194	-1.6964849410552532
195	-1.698493994918332
196	-1.7025790089929032
197	-1.7052426512002246
198	-1.707390566319697
199	-1.7112575882191918
200	-1.7120599570316328
201	-1.714023238007984
202	-1.7195674630616302
203	-1.7234691503560469
204	-1.7278314102871084
205	-1.7331475687153008
206	-1.734466068503949
207	-1.7388372353128205
208	-1.7399692931686408
209	-1.7421036574107671
210	-1.7469442900506966
211	-1.7492840363284774
212	-1.7553127824409882
213	-1.7574069233957572
214	-1.7619573317184287
215	-1.7648479040200165
216	-1.7661526397535523
217	-1.7709269723382879
218	-1.773435400211092
219	-1.7796225665952239
220	-1.7845460138103075
221	-1.7864259801036355
222	-1.7881741231851833
223	-1.7918393928162606
224	-1.7956671901607129
225	-1.7970378388889015
226	-1.7987205209969195
227	-1.8020765094875904
228	-1.802467620569728
229	-1.8091875662971526
230	-1.8130209404577475
231	-1.815614722160692
232	-1.817773862177681
233	-1.8232333129443463
234	-1.825205916956281
235	-1.8278807005281283
236	-1.8309924319344675
237	-1.8355617031995848
238	-1.8379231053738603
239	-1.8410953533970718
240	-1.8425606341024334
241	-1.844979400971683
242	-1.8521201312101063
243	-1.8544946820263242
244	-1.8568983003818755
245	-1.8598760640466052
246	-1.8610370325136654
247	-1.8672078416582631
248	-1.8682076159614849
249	-1.8714596632700375
250	-1.8753231145412788
251	-1.8788409764511929
252	-1.8829355377509578
253	-1.88765026398152
254	-1.8884538856467723
255	-1.8901804573966567
256	-1.8932779358237504
257	-1.8969948269500332
258	-1.900558921999135
259	-1.9017795304518796
260	-1.904392897519093
261	-1.9061345414238544
262	-1.9079777846406203
263	-1.9103657265658165
264	-1.9147856644778498
