observation_id	recording_batch_id	animal_age_days	slice_id	condition	anatomical_region_id	mean_amplitude_dff0	mean_time_to_peak_s	mean_peak_width_s	mean_peak_prominence_dff0	mean_peak_frequency_hz	mean_auc_au
cell_observation_0001	recording_batch_02	59	slice_02	baseline	region_1	1.4322764534110282	177.29039999999944	2.305062783557389	0.7590868862384679	0.00332490469991904	304.55734338494574
cell_observation_0002	recording_batch_02	59	slice_02	baseline	region_1	1.248463837508746	157.66182	6.122519929157647	0.5416394794825803	0.00332490469991904	308.15867971969556
cell_observation_0003	recording_batch_02	59	slice_05	baseline	region_1	1.8228562418567311	174.54356999999794	3.874440905268493	1.057307036986124	0.006649781099180996	298.422599053353
cell_observation_0004	recording_batch_02	59	slice_05	baseline	region_1	1.773254250300004	228.27373999999733	2.7494477395106287	0.9803077059854007	0.003324890549590498	302.35671209271806
cell_observation_0005	recording_batch_02	59	slice_05	baseline	region_1	1.2925661518087521	97.60451000000015	3.300763705019776	0.5678755447625339	0.003324890549590498	300.21926296603533
cell_observation_0006	recording_batch_02	59	slice_05	baseline	region_1	1.4953905982552753	21.301310000000015	2.2523774641030485	0.7290161488920208	0.003324890549590498	306.14659149371505
cell_observation_0007	recording_batch_04	41	slice_02	baseline	region_1	2.2322149877420494	127.69530000000016	4.059064189724566	1.3214529733153788	0.0033229037353792366	300.94448092202396
cell_observation_0008	recording_batch_04	41	slice_02	baseline	region_1	1.3826707137672642	207.17132999999436	2.7420978039114914	0.43483627643984957	0.0033229037353792366	300.93469372689583
cell_observation_0009	recording_batch_04	41	slice_05	baseline	region_1	1.1012012635261827	102.77377000000082	9.2411841735628	0.1548165092755328	0.0033232254109235005	300.9194386758097
cell_observation_0010	recording_batch_04	41	slice_05	baseline	region_1	1.4129393864864956	103.15371000000083	4.692702909445913	0.4861773302034048	0.0033232254109235005	300.91934961582604
cell_observation_0011	recording_batch_04	41	slice_05	baseline	region_1	1.112457404112008	163.46918499999896	6.229965174777632	0.18086905973757633	0.006646450821847001	300.9162688141114
cell_observation_0012	recording_batch_06	65	slice_04	baseline	region_1	1.3872104008723736	216.93446000000108	5.316212798517412	0.4848598018125649	0.006649242548210507	300.8194048469571
cell_observation_0013	recording_batch_07	66	slice_06	baseline	region_1	1.2304461292255804	118.87956000000034	6.673593013744281	0.2854144616087755	0.003324173241548934	303.45659452841045
cell_observation_0014	recording_batch_07	66	slice_06	baseline	region_1	1.664593805691414	199.24884000000068	10.312163798047834	0.6847597817506617	0.003324173241548934	310.1546987913206
cell_observation_0015	recording_batch_08	67	slice_04	baseline	region_1	1.7679467374071276	119.52328000000026	8.056214782020731	0.8608463662434872	0.0033279668758138944	300.49278318580207
cell_observation_0016	recording_batch_08	67	slice_05	baseline	region_1	1.8637811227637449	3.35988	4.454059086923968	0.5324629104906986	0.0033254712541941848	300.61601378465883
cell_observation_0017	recording_batch_08	67	slice_05	baseline	region_1	1.2587075469554991	141.1149599999996	18.382073278428265	0.3218677505104449	0.0033254712541941848	300.73840819760426
cell_observation_0018	recording_batch_09	42	slice_05	baseline	region_1	1.7144767616369254	143.59040000000033	6.2973943284548	0.8085403736804083	0.003326210807258043	300.6831165084705
cell_observation_0019	recording_batch_09	42	slice_05	baseline	region_1	1.353906217107943	20.192400000000003	6.7522208544095506	0.4086488491186613	0.003326210807258043	300.6562886647167
cell_observation_0020	recording_batch_09	42	slice_05	baseline	region_1	2.1312730499697814	164.34370000000047	7.105341950574683	1.2076330623433686	0.003326210807258043	300.6695217809837
cell_observation_0021	recording_batch_09	42	slice_05	baseline	region_1	1.472828126106671	275.9628000000012	5.905901956997013	0.6188753920419142	0.006652421614516086	300.6873734720285
cell_observation_0022	recording_batch_09	42	slice_05	baseline	region_1	1.375403733894416	286.6199000000013	6.096352465504367	0.4538002082274204	0.003326210807258043	300.6716548692514
