event_index	event_relative_time	pre_event_signal
1	109.05	-0.4008
2	-15.75	2.1316
3	-5.9	-0.7842
4	27.45	1.0396
5	31.2	-1.0668
6	64.05	-0.8456
7	52.7	-3.7656
8	77.6	-0.1306
9	61.25	0.6924
10	14.2	-3.3165
11	37.95	-4.0332
12	30.9	1.1058
13	38.75	0.3573
14	48.7	1.5735
15	0.15	1.744
16	10.5	-0.4821
17	13.9	1.5103
18	38.05	-0.3628
19	42.5	-1.1962
20	81.3	-1.4402
21	-1.1	-0.2279
22	12.85	2.8006
23	85.95	-1.3557
24	20.3	1.9265
25	42.4	0.4564
26	35.15	-1.7826
27	55.9	4.8735
28	8.45	5.2539
29	67.55	-3.4021
30	44.55	-1.3258
31	27.1	2.8387
32	62.5	-2.1538
33	14.3	-1.5213
34	-9.85	3.0789
35	-0.45	-0.3768
